province_code,province,obtain_medicine_without_doctor_prescription,obtain_medicine_without_doctor_prescription_95%_CI_lower,obtain_medicine_without_doctor_prescription_95%_CI_upper,weighted_n_without_doctor_prescription,licensed_pharmacy,shop_or_supermarkets,gift_from_others,online_purchasing,others,weighted_n_source_medicine
11,Aceh,27.3,25.8,28.8,11581,84.7,42.7,9.0,2.1,1.4,2894
12,Sumatera Utara,32.8,31.2,34.5,32896,74.1,56.6,6.2,1.8,0.6,9900
13,Sumatera Barat,38.6,37.1,40.1,12643,74.2,42.8,3.6,1.3,0.6,4467
14,Riau,33.3,31.4,35.2,14069,76.3,49.0,4.3,1.9,1.0,4287
15,Jambi,29.3,27.3,31.4,7698,72.9,58.9,7.5,1.9,0.4,2065
16,Sumatera Selatan,38.4,36.7,40.2,18842,56.0,63.7,3.7,1.3,0.6,6637
17,Bengkulu,36.4,34.4,38.5,4586,76.3,41.9,5.0,1.6,0.7,1531
18,Lampung,42.5,40.7,44.3,20152,72.3,53.9,4.4,1.2,1.1,7845
19,Kep. Bangka Belitung,44.0,41.7,46.4,3374,73.5,49.6,3.1,1.6,0.6,1362
21,Kepulauan Riau,34.4,31.6,37.3,4672,72.8,42.1,2.9,1.3,0.3,1472
31,DKI Jakarta,52.5,50.3,54.8,24220,62.8,61.1,3.9,2.4,0.4,11659
32,Jawa Barat,56.9,55.8,57.9,110887,70.1,62.3,4.1,2.0,0.4,57779
33,Jawa Tengah,56.1,55.2,57.0,84383,78.1,46.8,3.0,1.3,0.4,43373
34,DI Yogyakarta,57.2,55.0,59.4,8611,87.0,21.9,5.2,1.5,0.3,4513
35,Jawa Timur,49.5,48.5,50.5,95648,76.2,45.5,3.8,1.5,0.5,43369
36,Banten,46.6,44.7,48.6,26985,63.0,65.3,4.0,2.6,0.4,11528
51,Bali,29.5,27.7,31.5,10159,84.3,21.0,3.9,1.9,0.6,2749
52,Nusa Tenggara Barat,44.4,42.3,46.5,11692,67.8,47.3,6.3,1.1,0.7,4755
53,Nusa Tenggara Timur,36.8,35.4,38.2,11447,66.7,37.2,7.3,1.6,0.9,3855
61,Kalimantan Barat,40.6,38.6,42.7,12214,69.5,55.1,4.8,1.6,0.7,4544
62,Kalimantan Tengah,42.2,39.9,44.6,6011,59.8,66.0,8.2,1.9,0.6,2326
63,Kalimantan Selatan,55.7,53.8,57.6,9113,60.7,66.6,4.8,1.5,0.7,4651
64,Kalimantan Timur,47.4,45.2,49.6,8665,79.1,35.3,4.3,2.2,0.4,3765
65,Kalimantan Utara,32.9,30.1,35.9,1616,74.3,27.2,7.7,1.9,1.4,488
71,Sulawesi Utara,45.7,43.8,47.7,6047,64.3,56.2,5.5,1.8,0.6,2532
72,Sulawesi Tengah,53.4,51.7,55.1,6657,56.2,55.7,5.0,1.4,0.7,3257
73,Sulawesi Selatan,47.1,45.9,48.4,20592,72.1,39.8,5.8,1.6,0.6,8892
74,Sulawesi Tenggara,39.6,37.9,41.3,5743,70.3,39.2,6.1,1.8,0.7,2085
75,Gorontalo,57.3,54.3,60.2,2704,54.0,67.6,5.0,1.3,0.4,1419
76,Sulawesi Barat,33.9,31.5,36.3,3093,67.4,41.9,4.9,2.3,1.1,959
82,Maluku,35.9,33.6,38.3,4169,49.5,54.7,9.6,1.6,1.1,1371
81,Maluku Utara,45.3,42.8,47.9,2830,51.0,61.9,7.4,1.8,1.3,1175
92,Papua Barat,27.7,23.9,31.9,1192,89.5,8.0,12.0,1.8,1.3,303
96,Papua Barat Daya,40.6,37.2,44.0,1334,89.0,13.8,7.7,2.1,1.7,496
91,Papua,38.7,36.0,41.5,2026,91.9,7.8,9.5,1.6,1.0,719
93,Papua Selatan,24.5,20.8,28.6,966,80.8,23.8,5.1,1.7,2.7,216
94,Papua Tengah,19.2,12.9,27.6,3206,89.9,6.8,39.4,0.9,1.7,564
95,Papua Pegunungan,7.3,5.7,9.2,3386,66.8,7.1,38.2,2.3,8.2,225
0,INDONESIA,47.1,46.8,47.5,616110,72.0,51.7,4.5,1.7,0.5,266027
