province_code,province,purchase_antibiotic_without_doctor_prescript_and_treat_symptoms_within_1_year,purchase_antibiotic_without_doctor_prescript_and_treat_symptoms_within_1_year_95%_CI_lower,purchase_antibiotic_without_doctor_prescript_and_treat_symptoms_within_1_year_95%_CI_upper,weighted_n
11,Aceh,20.0,18.6,21.5,6461
12,Sumatera Utara,19.8,18.4,21.2,20273
13,Sumatera Barat,17.1,16.0,18.4,9049
14,Riau,12.3,10.9,13.9,9394
15,Jambi,17.6,15.6,19.7,4337
16,Sumatera Selatan,23.2,21.5,24.9,11821
17,Bengkulu,24.5,22.3,26.8,3163
18,Lampung,16.6,15.3,18.1,12503
19,Kep. Bangka Belitung,16.1,14.5,17.8,2765
21,Kepulauan Riau,8.1,6.6,9.9,4209
31,DKI Jakarta,15.5,14.2,17.0,21872
32,Jawa Barat,18.2,17.5,19.0,91264
33,Jawa Tengah,11.5,10.8,12.1,56668
34,DI Yogyakarta,4.0,3.4,4.8,7384
35,Jawa Timur,21.3,20.4,22.2,59199
36,Banten,10.9,9.8,12.2,20417
51,Bali,8.1,7.2,9.1,8105
52,Nusa Tenggara Barat,28.7,26.9,30.5,8905
53,Nusa Tenggara Timur,34.7,33.3,36.2,9888
61,Kalimantan Barat,8.3,7.4,9.4,8873
62,Kalimantan Tengah,33.3,30.8,35.9,4328
63,Kalimantan Selatan,33.8,31.8,35.9,7041
64,Kalimantan Timur,18.9,17.1,20.8,7619
65,Kalimantan Utara,16.0,13.8,18.6,1224
71,Sulawesi Utara,41.2,39.1,43.3,5261
72,Sulawesi Tengah,43.7,41.9,45.6,5193
73,Sulawesi Selatan,35.5,34.2,36.8,15537
74,Sulawesi Tenggara,32.0,30.2,33.8,4322
75,Gorontalo,39.3,36.5,42.2,2234
76,Sulawesi Barat,21.7,19.6,24.0,2208
82,Maluku,34.4,32.0,36.8,3601
81,Maluku Utara,48.7,46.1,51.2,2244
92,Papua Barat,25.4,21.5,29.7,928
96,Papua Barat Daya,28.6,25.3,32.2,1174
91,Papua,23.7,20.8,26.8,1824
93,Papua Selatan,15.4,12.5,18.8,783
94,Papua Tengah,23.4,15.2,34.2,2260
95,Papua Pegunungan,9.8,7.7,12.3,2315
0,INDONESIA,19.4,19.1,19.7,446645
