province_code,province,antibiotic_must_finished,antibiotic_taken_acording_instruction,antibiotics_may_not_be_purchased_without_doctor_prescription,remaining_antibiotic_cant_be_reused,germs_become_resistant_if_not_used_accordingly,antibiotics_only_used_for_bacterial_infections,weighted_n
11,Aceh,69.8,65.0,53.1,61.0,18.7,22.2,6461
12,Sumatera Utara,61.1,69.4,50.7,62.6,16.1,19.4,20273
13,Sumatera Barat,73.3,70.6,49.3,60.9,23.0,25.9,9049
14,Riau,74.7,71.8,47.9,61.0,20.7,21.2,9394
15,Jambi,79.2,74.2,44.0,60.1,19.8,21.1,4337
16,Sumatera Selatan,70.3,65.7,48.3,59.0,20.6,21.6,11821
17,Bengkulu,68.0,65.8,46.6,61.9,16.3,19.7,3163
18,Lampung,65.2,61.4,47.4,55.5,20.1,21.4,12503
19,Kep. Bangka Belitung,74.2,74.0,43.6,58.0,18.7,22.1,2765
21,Kepulauan Riau,83.8,76.3,52.8,66.2,24.5,28.5,4209
31,DKI Jakarta,83.1,81.3,48.7,62.1,33.8,34.1,21872
32,Jawa Barat,74.1,76.7,48.7,56.5,35.4,38.0,91264
33,Jawa Tengah,65.5,69.6,48.0,55.5,31.2,32.1,56668
34,DI Yogyakarta,77.2,81.7,61.1,66.6,48.8,45.6,7384
35,Jawa Timur,58.9,64.5,41.5,50.4,26.6,28.3,59199
36,Banten,80.0,74.7,47.2,57.2,27.3,27.6,20417
51,Bali,81.1,75.5,52.9,56.1,26.4,24.5,8105
52,Nusa Tenggara Barat,51.9,61.7,37.6,47.0,19.2,21.4,8905
53,Nusa Tenggara Timur,61.7,67.8,45.3,52.1,20.4,24.5,9888
61,Kalimantan Barat,75.8,66.7,56.7,59.7,20.2,24.7,8873
62,Kalimantan Tengah,56.2,49.6,39.8,48.7,15.9,18.7,4328
63,Kalimantan Selatan,55.7,53.0,36.7,43.3,19.3,22.4,7041
64,Kalimantan Timur,74.8,76.8,52.7,59.9,33.6,35.2,7619
65,Kalimantan Utara,75.7,65.7,52.0,63.8,18.7,23.6,1224
71,Sulawesi Utara,63.9,59.7,41.8,53.6,16.4,21.4,5261
72,Sulawesi Tengah,47.6,53.6,37.0,46.7,14.6,18.3,5193
73,Sulawesi Selatan,51.5,56.7,40.8,53.1,15.7,19.4,15537
74,Sulawesi Tenggara,54.0,59.8,45.3,53.6,16.8,18.2,4322
75,Gorontalo,52.7,53.0,39.0,49.4,12.1,17.1,2234
76,Sulawesi Barat,45.2,46.5,51.0,56.5,15.2,16.0,2208
82,Maluku,56.8,57.0,46.0,50.4,16.4,21.6,3601
81,Maluku Utara,49.7,52.2,41.8,54.4,11.7,15.0,2244
92,Papua Barat,68.6,69.7,49.9,51.8,18.8,23.1,928
96,Papua Barat Daya,61.3,65.6,57.2,62.8,20.4,25.3,1174
91,Papua,71.2,67.1,52.0,52.3,31.1,35.0,1824
93,Papua Selatan,54.8,50.6,47.1,53.9,7.7,11.6,783
94,Papua Tengah,63.3,58.5,52.0,48.4,24.2,27.1,2260
95,Papua Pegunungan,57.4,53.3,57.8,61.0,25.8,25.0,2315
0,INDONESIA,67.7,69.2,47.1,55.9,26.8,28.7,446645
