province_code,province,med_breaks_has_holes,change_color_smell_taste,container_damaged,creams_become_murky,capsules_moist_mushy,illegible_torn_label,expired_medicine,weighted_n
11,Aceh,47.0,45.2,45.6,22.1,28.5,20.4,74.8,11581
12,Sumatera Utara,41.8,40.6,44.2,22.6,28.1,19.1,77.6,32896
13,Sumatera Barat,37.4,39.6,40.7,18.2,21.6,16.6,74.2,12643
14,Riau,44.6,43.8,48.0,24.1,28.3,20.9,77.1,14069
15,Jambi,49.5,48.2,57.4,27.7,31.6,28.6,80.3,7698
16,Sumatera Selatan,35.0,34.5,41.8,16.3,19.6,16.6,80.0,18842
17,Bengkulu,39.7,36.1,44.4,17.1,20.1,18.5,79.9,4586
18,Lampung,30.6,31.7,40.7,15.6,19.6,14.8,73.8,20152
19,Kep. Bangka Belitung,45.7,46.5,52.0,22.0,24.0,19.6,82.1,3374
21,Kepulauan Riau,31.2,39.8,46.0,12.9,12.7,13.7,81.4,4672
31,DKI Jakarta,26.9,38.1,41.8,10.8,16.4,12.3,75.4,24220
32,Jawa Barat,29.7,36.6,44.9,13.5,20.3,13.8,67.7,110887
33,Jawa Tengah,27.8,33.2,40.6,12.7,16.9,11.1,68.5,84383
34,DI Yogyakarta,21.6,40.9,43.5,10.7,16.6,8.2,70.8,8611
35,Jawa Timur,26.5,29.3,38.8,13.1,17.3,13.1,74.8,95648
36,Banten,28.5,33.0,41.6,13.2,16.4,12.4,75.8,26985
51,Bali,34.4,39.0,41.0,17.1,18.7,15.4,78.4,10159
52,Nusa Tenggara Barat,23.9,30.7,29.7,13.0,14.2,11.6,71.0,11692
53,Nusa Tenggara Timur,41.0,40.8,37.7,19.6,23.2,18.7,66.0,11447
61,Kalimantan Barat,42.5,37.6,46.3,21.5,29.1,19.3,78.3,12214
62,Kalimantan Tengah,45.1,42.5,51.9,27.3,32.1,24.6,75.9,6011
63,Kalimantan Selatan,34.8,32.8,44.5,18.1,23.7,16.9,79.9,9113
64,Kalimantan Timur,31.2,36.7,38.2,13.6,19.3,12.2,75.9,8665
65,Kalimantan Utara,39.1,39.6,38.9,20.9,27.1,16.9,82.2,1616
71,Sulawesi Utara,41.1,39.6,43.7,22.5,29.6,21.1,83.4,6047
72,Sulawesi Tengah,28.3,28.1,32.7,13.2,16.6,11.3,76.5,6657
73,Sulawesi Selatan,32.5,34.3,35.5,14.0,18.6,13.8,75.1,20592
74,Sulawesi Tenggara,31.7,33.1,39.5,18.3,22.1,17.8,78.8,5743
75,Gorontalo,25.4,26.7,35.4,9.2,13.8,11.5,80.0,2704
76,Sulawesi Barat,30.2,33.2,35.5,13.5,18.4,11.7,71.0,3093
82,Maluku,34.5,32.6,37.1,16.1,22.1,13.1,78.0,4169
81,Maluku Utara,37.5,42.5,42.3,23.8,25.3,19.6,77.5,2830
92,Papua Barat,51.0,50.5,52.5,33.3,38.2,26.4,79.6,1192
96,Papua Barat Daya,38.8,37.2,38.6,15.7,25.1,17.8,74.3,1334
91,Papua,45.7,44.6,46.4,30.7,37.2,28.0,77.9,2026
93,Papua Selatan,44.4,37.1,46.3,18.7,27.8,13.8,59.6,966
94,Papua Tengah,58.6,57.0,63.8,46.3,50.3,43.4,68.7,3206
95,Papua Pegunungan,49.7,43.6,45.5,36.3,39.5,31.9,58.5,3386
0,INDONESIA,32.1,35.5,41.9,15.7,20.5,14.9,73.3,616110
