province_code,province,separating_medicine,destroy_medicine,throw_med_directly,burned_buried,entrusted_to_pharmacy,medicine_remains_stored,weighted_n
11,Aceh,10.4,4.9,85.7,22.8,2.4,12.4,11581
12,Sumatera Utara,10.6,5.0,87.9,15.3,1.8,9.3,32896
13,Sumatera Barat,9.4,4.7,86.2,11.7,1.8,11.5,12643
14,Riau,13.9,5.7,87.6,17.7,2.2,10.8,14069
15,Jambi,17.0,9.1,86.1,20.6,2.0,11.7,7698
16,Sumatera Selatan,7.8,3.6,89.8,11.6,1.4,6.6,18842
17,Bengkulu,11.4,5.8,89.4,16.6,2.0,6.6,4586
18,Lampung,9.1,5.2,85.4,20.0,2.5,10.9,20152
19,Kep. Bangka Belitung,14.1,6.7,92.1,9.6,2.1,6.5,3374
21,Kepulauan Riau,10.4,3.0,88.4,5.4,0.9,4.1,4672
31,DKI Jakarta,10.9,10.8,85.1,2.2,1.3,6.9,24220
32,Jawa Barat,7.5,5.7,87.0,10.1,1.3,6.7,110887
33,Jawa Tengah,5.4,3.3,86.1,15.6,1.1,6.8,84383
34,DI Yogyakarta,7.5,6.0,73.5,28.1,1.3,5.1,8611
35,Jawa Timur,6.8,4.4,87.2,15.6,1.3,6.6,95648
36,Banten,9.7,5.5,88.1,9.2,1.1,6.6,26985
51,Bali,9.3,2.4,90.6,6.1,1.3,6.7,10159
52,Nusa Tenggara Barat,5.5,2.6,85.6,10.7,1.4,10.9,11692
53,Nusa Tenggara Timur,10.5,7.0,82.1,18.8,2.7,15.8,11447
61,Kalimantan Barat,12.3,4.0,89.4,16.5,1.3,6.2,12214
62,Kalimantan Tengah,15.5,6.4,87.1,21.5,2.5,8.6,6011
63,Kalimantan Selatan,6.6,3.5,90.1,11.3,1.6,5.9,9113
64,Kalimantan Timur,8.9,5.3,86.8,13.7,1.6,6.5,8665
65,Kalimantan Utara,10.1,4.3,92.0,8.5,1.5,3.9,1616
71,Sulawesi Utara,10.4,4.2,88.5,12.2,1.3,8.7,6047
72,Sulawesi Tengah,9.7,3.8,87.2,10.7,1.5,9.8,6657
73,Sulawesi Selatan,8.2,4.4,88.8,9.8,2.1,10.3,20592
74,Sulawesi Tenggara,13.0,6.2,86.5,13.2,3.4,11.8,5743
75,Gorontalo,7.4,3.0,86.8,11.0,1.5,11.3,2704
76,Sulawesi Barat,11.5,3.7,88.5,10.4,2.2,8.9,3093
82,Maluku,10.1,5.1,90.2,10.0,1.9,8.6,4169
81,Maluku Utara,11.1,5.5,84.2,11.4,3.0,13.3,2830
92,Papua Barat,11.7,4.8,85.3,17.4,1.8,11.6,1192
96,Papua Barat Daya,12.3,3.5,88.6,17.2,1.7,8.0,1334
91,Papua,18.0,7.8,86.2,16.6,2.8,12.9,2026
93,Papua Selatan,9.3,5.6,76.8,20.6,2.9,21.7,966
94,Papua Tengah,29.1,21.6,70.8,36.4,7.3,39.0,3206
95,Papua Pegunungan,20.0,13.6,53.3,48.9,6.4,34.6,3386
0,INDONESIA,8.6,5.1,86.6,13.7,1.6,8.2,616110
