province_code,province,health_worker_in_hospital_or_clinic,independent_practice_of_health_personel,nakestrad_in_griya_sehat,traditional_healers,self_effort,weighted_n
11,Aceh,4.7,3.8,4.5,37.6,77.9,1549
12,Sumatera Utara,3.1,2.3,2.4,50.4,65.6,9223
13,Sumatera Barat,1.9,1.7,3.7,58.2,50.2,3404
14,Riau,2.1,2.2,3.5,46.9,65.2,3383
15,Jambi,1.6,1.4,3.0,59.5,63.5,1530
16,Sumatera Selatan,1.7,1.4,1.8,55.8,57.5,6101
17,Bengkulu,2.7,2.4,3.7,44.9,68.5,1043
18,Lampung,5.0,4.0,3.2,65.1,49.5,7898
19,Kep. Bangka Belitung,2.1,1.8,3.1,54.0,56.0,755
21,Kepulauan Riau,1.6,1.1,5.0,50.0,53.3,1398
31,DKI Jakarta,1.4,1.2,4.5,43.6,67.1,10508
32,Jawa Barat,1.3,1.2,3.9,51.7,59.4,45267
33,Jawa Tengah,1.0,1.3,2.4,45.1,64.8,40344
34,DI Yogyakarta,1.2,1.8,5.2,44.9,62.0,4629
35,Jawa Timur,1.1,1.4,2.0,54.1,58.9,55550
36,Banten,1.3,1.1,3.9,48.5,62.9,10762
51,Bali,1.7,1.9,3.0,30.6,70.3,2113
52,Nusa Tenggara Barat,1.4,1.4,1.8,35.0,76.6,3635
53,Nusa Tenggara Timur,1.7,1.1,1.3,27.2,82.6,2789
61,Kalimantan Barat,2.8,2.7,4.2,44.6,64.3,2421
62,Kalimantan Tengah,3.6,2.8,4.2,50.1,71.0,1925
63,Kalimantan Selatan,1.6,1.5,2.4,55.8,60.7,4914
64,Kalimantan Timur,2.1,2.6,5.8,55.3,56.4,3545
65,Kalimantan Utara,3.2,1.4,6.9,42.2,60.4,263
71,Sulawesi Utara,1.6,1.2,2.0,32.6,75.7,1698
72,Sulawesi Tengah,1.7,1.9,1.5,41.0,67.2,1673
73,Sulawesi Selatan,2.3,1.5,2.9,31.6,70.2,3032
74,Sulawesi Tenggara,1.6,1.2,1.7,36.3,73.7,1079
75,Gorontalo,0.8,0.7,1.3,61.2,48.6,923
76,Sulawesi Barat,3.2,2.5,3.1,24.9,81.4,480
82,Maluku,1.2,2.2,0.8,19.1,86.1,1013
81,Maluku Utara,2.6,2.3,1.8,21.8,85.2,696
92,Papua Barat,1.1,1.3,0.8,22.5,87.7,226
96,Papua Barat Daya,1.8,0.9,1.6,49.9,58.3,289
91,Papua,2.4,2.0,3.4,27.5,79.4,502
93,Papua Selatan,1.8,1.3,1.4,33.8,81.0,214
94,Papua Tengah,6.1,7.7,3.6,14.7,92.3,865
95,Papua Pegunungan,3.1,3.2,3.0,15.8,94.3,228
0,INDONESIA,1.6,1.6,2.9,49.2,62.3,237867
