province_code,province,finished_concoction,homemade_concoction_yankestrad,homemade_concoction_self_made,skill_thought,skill_energy,manual_skill_massage,manual_skill_fractured_bone,manual_skill_acupunture,manual_skill_cupping,manual_skill_others,weighted_n
11,Aceh,38.2,43.9,74.7,1.0,1.2,31.5,1.7,0.6,6.1,1.9,1549
12,Sumatera Utara,44.2,53.7,63.4,0.8,1.0,53.2,1.1,0.4,2.2,1.7,9223
13,Sumatera Barat,19.7,62.5,47.3,0.3,0.9,58.6,1.2,0.5,5.6,2.2,3404
14,Riau,39.7,51.5,62.5,0.5,0.6,43.5,0.8,0.6,5.0,1.9,3383
15,Jambi,50.4,61.7,61.2,0.6,0.3,51.5,0.8,1.3,5.9,2.7,1530
16,Sumatera Selatan,24.6,58.0,55.0,0.4,0.7,68.4,0.8,0.4,5.3,6.8,6101
17,Bengkulu,28.2,48.5,64.9,0.6,1.1,44.1,0.8,0.4,7.6,3.0,1043
18,Lampung,38.7,69.5,46.3,0.3,0.9,59.0,0.6,0.4,2.5,1.5,7898
19,Kep. Bangka Belitung,42.6,58.0,52.0,0.5,0.6,43.5,0.8,0.8,12.1,11.2,755
21,Kepulauan Riau,27.3,54.7,51.9,0.4,0.5,35.1,0.3,0.3,10.6,4.2,1398
31,DKI Jakarta,45.1,47.9,64.1,0.1,0.5,41.0,0.6,0.6,7.0,5.7,10508
32,Jawa Barat,49.2,55.7,57.0,0.6,0.7,44.6,0.8,0.7,6.9,3.9,45267
33,Jawa Tengah,36.4,48.3,61.3,0.2,0.4,45.2,0.5,0.4,2.4,9.2,40344
34,DI Yogyakarta,33.3,50.7,59.4,0.3,0.3,41.2,0.7,0.5,3.8,3.6,4629
35,Jawa Timur,29.4,56.2,56.5,0.2,0.3,68.6,0.5,0.3,2.3,1.9,55550
36,Banten,50.0,52.0,60.3,0.5,0.4,46.5,0.6,0.9,5.6,2.2,10762
51,Bali,21.9,35.5,68.8,0.7,0.5,35.2,0.6,0.8,1.2,2.7,2113
52,Nusa Tenggara Barat,20.1,37.6,74.7,0.3,0.5,37.8,0.7,0.4,5.2,1.7,3635
53,Nusa Tenggara Timur,16.0,29.4,80.6,1.3,0.7,47.5,1.5,0.3,1.6,5.5,2789
61,Kalimantan Barat,36.5,51.3,61.7,0.5,1.0,46.2,0.9,0.9,8.8,2.5,2421
62,Kalimantan Tengah,47.5,54.5,68.9,0.6,0.5,58.0,0.7,0.4,6.8,2.5,1925
63,Kalimantan Selatan,41.4,58.2,57.4,0.4,0.5,75.5,0.4,0.2,2.8,1.2,4914
64,Kalimantan Timur,28.6,60.8,54.0,0.4,0.4,49.9,0.6,0.4,7.5,1.3,3545
65,Kalimantan Utara,35.8,49.1,57.9,0.9,0.9,34.7,0.8,1.1,9.3,1.0,263
71,Sulawesi Utara,19.4,35.3,73.2,0.5,1.2,41.1,1.1,0.2,1.4,4.2,1698
72,Sulawesi Tengah,24.6,44.7,64.7,0.2,0.7,35.6,0.9,0.3,3.2,4.7,1673
73,Sulawesi Selatan,29.9,36.7,68.7,0.5,0.5,14.1,0.4,0.6,6.8,2.4,3032
74,Sulawesi Tenggara,25.8,39.1,71.7,0.5,0.5,33.0,0.8,0.2,2.8,3.1,1079
75,Gorontalo,18.2,62.2,46.3,0.2,0.6,68.8,0.8,0.0,1.9,3.0,923
76,Sulawesi Barat,23.8,29.6,77.9,1.0,0.5,13.2,0.6,0.4,3.4,2.1,480
82,Maluku,21.0,22.3,82.7,0.4,0.9,24.7,0.8,0.5,2.1,2.3,1013
81,Maluku Utara,26.7,25.5,82.4,1.2,1.9,19.8,1.0,0.4,2.0,1.0,696
92,Papua Barat,22.9,24.4,85.2,0.7,0.4,11.3,0.4,0.2,1.8,5.0,226
96,Papua Barat Daya,45.3,52.1,56.4,0.9,1.3,22.4,0.7,0.0,3.8,2.4,289
91,Papua,26.7,31.6,76.5,0.9,0.9,18.3,0.6,1.8,4.8,2.5,502
93,Papua Selatan,20.3,35.7,78.2,0.5,0.4,21.3,1.1,0.2,1.5,5.0,214
94,Papua Tengah,24.7,23.7,90.9,1.0,1.2,29.9,1.3,0.6,3.0,4.4,865
95,Papua Pegunungan,13.9,17.9,83.4,2.6,1.3,6.2,3.2,1.0,25.7,24.1,228
0,INDONESIA,36.9,52.6,59.6,0.4,0.6,51.5,0.7,0.5,4.2,4.0,237867
