province_code,province,receive_med_information,receive_med_information_95%_CI_lower,receive_med_information_95%_CI_upper,weighted_n_receive_med_information,medicine_name_and_content,med_indication,med_dosage,med_instruction,side_effect,expiration_time,med_storage,weighted_n_types_information
11,Aceh,50.9,48.3,53.4,2894,65.8,65.4,52.1,74.5,44.7,52.1,29.1,1474
12,Sumatera Utara,47.2,44.7,49.6,9900,76.1,75.6,57.7,68.1,47.2,56.6,27.9,4674
13,Sumatera Barat,47.7,45.5,49.9,4467,76.1,71.0,54.1,62.8,45.0,46.8,20.9,2132
14,Riau,51.9,48.8,55.0,4287,79.4,74.0,53.2,65.7,46.1,48.8,22.0,2228
15,Jambi,46.7,43.5,49.9,2065,75.8,81.6,59.6,77.3,53.2,60.0,33.3,965
16,Sumatera Selatan,38.7,36.2,41.2,6637,79.4,73.9,49.6,70.9,45.5,56.2,29.6,2569
17,Bengkulu,43.4,40.0,46.9,1531,78.5,67.0,57.2,70.2,47.1,57.8,25.1,665
18,Lampung,42.3,39.6,45.0,7845,78.1,74.1,45.8,59.6,37.4,48.8,17.9,3320
19,Kep. Bangka Belitung,38.1,35.2,41.1,1362,83.2,72.3,60.1,66.8,52.3,56.0,34.9,519
21,Kepulauan Riau,44.6,40.4,49.0,1472,72.4,65.0,52.4,64.9,48.8,54.7,26.4,658
31,DKI Jakarta,39.6,37.0,42.3,11659,67.8,64.4,52.7,60.6,41.1,51.0,21.9,4624
32,Jawa Barat,46.2,44.9,47.4,57779,78.1,71.3,55.5,62.1,43.6,47.2,25.2,26703
33,Jawa Tengah,53.7,52.5,54.9,43373,62.3,58.0,51.7,69.8,32.0,36.7,16.6,23314
34,DI Yogyakarta,51.9,49.5,54.3,4513,72.9,65.7,56.3,65.2,38.7,36.1,19.8,2347
35,Jawa Timur,39.5,38.3,40.8,43369,71.6,65.4,50.9,61.2,35.6,40.4,17.0,17167
36,Banten,40.6,38.0,43.3,11528,80.5,76.3,61.4,67.7,47.7,50.0,25.5,4691
51,Bali,54.3,51.5,57.1,2749,73.6,68.4,62.6,67.7,56.5,58.3,32.0,1495
52,Nusa Tenggara Barat,45.5,42.9,48.1,4755,78.0,72.1,55.7,67.4,48.3,55.9,28.1,2166
53,Nusa Tenggara Timur,47.4,45.5,49.3,3855,74.2,69.0,61.2,70.1,52.2,55.1,32.7,1829
61,Kalimantan Barat,45.7,43.1,48.3,4544,81.8,80.1,65.1,69.0,53.6,54.3,28.7,2078
62,Kalimantan Tengah,42.2,38.9,45.7,2326,75.4,76.9,54.7,68.8,43.0,46.2,21.8,984
63,Kalimantan Selatan,41.7,39.5,44.0,4651,76.6,72.7,60.6,67.5,45.3,47.5,24.5,1943
64,Kalimantan Timur,49.4,46.4,52.3,3765,76.7,68.7,58.3,68.0,44.3,48.1,24.5,1860
65,Kalimantan Utara,51.5,46.0,57.0,488,86.4,79.1,63.9,69.0,57.6,60.9,32.9,251
71,Sulawesi Utara,40.3,37.8,42.8,2532,83.7,69.0,60.3,71.7,52.0,64.4,38.4,1021
72,Sulawesi Tengah,37.9,35.6,40.4,3257,72.8,66.6,53.3,67.0,48.2,56.3,30.1,1237
73,Sulawesi Selatan,49.4,47.7,51.2,8892,75.8,68.4,62.9,67.3,51.3,57.0,30.8,4401
74,Sulawesi Tenggara,49.2,46.6,51.8,2085,81.7,72.5,60.9,70.7,50.9,60.0,29.9,1027
75,Gorontalo,32.8,29.8,35.9,1419,81.7,65.8,52.9,65.7,49.6,68.4,31.2,466
76,Sulawesi Barat,47.2,43.8,50.7,959,72.5,66.3,51.8,62.2,45.0,58.0,23.5,454
82,Maluku,30.4,27.3,33.6,1371,79.2,67.0,47.9,65.0,44.8,57.6,31.2,417
81,Maluku Utara,33.2,30.2,36.4,1175,83.0,68.1,53.8,68.0,55.7,70.1,35.0,391
92,Papua Barat,61.7,56.0,67.1,303,65.7,71.2,60.2,65.6,45.9,63.0,39.1,187
96,Papua Barat Daya,53.3,48.9,57.8,496,80.9,67.9,52.5,72.9,43.6,56.8,32.8,265
91,Papua,48.5,43.6,53.4,719,82.2,74.1,62.1,77.1,56.0,63.7,39.6,349
93,Papua Selatan,54.5,46.7,62.1,216,86.3,75.2,51.1,66.2,52.4,59.8,22.8,118
94,Papua Tengah,56.2,36.6,74.0,564,89.3,83.8,34.5,88.4,32.1,33.7,25.7,317
95,Papua Pegunungan,54.4,43.1,65.2,225,82.4,67.0,63.1,79.7,46.9,62.2,35.3,123
0,INDONESIA,45.6,45.1,46.1,266027,73.4,68.0,54.6,65.7,41.6,46.8,23.0,121426
