province_code,province,hospital_or_health_centers_or_independent_doctor_practices,independent_practices_of_healt_workers_but_not_doctor,licensed_pharmacy,shop,gifts_from_others,online_purchasing,weighted_n
11,Aceh,11.0,22.1,57.2,9.2,0.5,0.0,782
12,Sumatera Utara,6.4,19.8,57.7,15.2,0.9,0.0,2679
13,Sumatera Barat,6.6,16.7,58.5,17.4,0.9,0.0,1264
14,Riau,6.3,21.6,60.4,9.9,1.8,0.0,616
15,Jambi,6.2,30.4,55.7,6.3,1.0,0.3,459
16,Sumatera Selatan,4.9,18.9,55.5,20.0,0.7,0.1,2302
17,Bengkulu,4.7,12.6,69.1,13.1,0.5,0.0,628
18,Lampung,5.5,14.3,66.7,11.5,2.1,0.0,1671
19,Kep. Bangka Belitung,4.6,8.4,74.7,10.3,2.0,0.0,296
21,Kepulauan Riau,6.0,9.8,71.1,12.3,0.8,0.0,187
31,DKI Jakarta,4.3,3.3,69.1,21.2,1.7,0.4,2207
32,Jawa Barat,3.6,11.3,69.2,12.0,3.8,0.1,12507
33,Jawa Tengah,5.7,13.5,70.4,7.1,3.3,0.0,4179
34,DI Yogyakarta,12.3,26.7,39.0,1.0,21.0,0.0,175
35,Jawa Timur,3.2,6.2,78.3,9.5,2.7,0.1,11285
36,Banten,6.2,17.4,65.6,7.6,2.8,0.5,1198
51,Bali,12.2,20.0,61.2,4.6,1.9,0.0,360
52,Nusa Tenggara Barat,3.2,8.0,60.5,25.2,3.0,0.2,2700
53,Nusa Tenggara Timur,4.7,5.2,48.9,36.8,4.4,0.1,3568
61,Kalimantan Barat,6.7,43.2,22.2,23.4,4.4,0.0,453
62,Kalimantan Tengah,3.4,9.0,39.6,47.3,0.7,0.0,1441
63,Kalimantan Selatan,2.2,4.1,41.1,52.0,0.8,0.0,2664
64,Kalimantan Timur,6.6,10.3,56.5,24.4,2.2,0.0,964
65,Kalimantan Utara,4.9,4.6,69.7,19.3,1.5,0.0,138
71,Sulawesi Utara,2.6,3.1,43.7,49.0,1.5,0.0,2148
72,Sulawesi Tengah,2.8,5.2,42.7,48.1,1.2,0.0,2464
73,Sulawesi Selatan,3.5,3.1,61.5,29.0,2.8,0.1,5443
74,Sulawesi Tenggara,3.2,3.3,53.5,38.3,1.6,0.0,1313
75,Gorontalo,1.2,3.2,37.6,56.6,1.4,0.0,969
76,Sulawesi Barat,5.4,5.5,47.2,38.2,3.8,0.0,435
82,Maluku,3.1,6.1,36.5,47.0,7.4,0.0,1352
81,Maluku Utara,2.6,2.4,35.6,56.5,2.9,0.0,1149
92,Papua Barat,5.9,1.5,84.7,2.5,5.5,0.0,206
96,Papua Barat Daya,6.0,2.2,70.7,14.2,6.9,0.0,276
91,Papua,13.7,5.9,66.6,6.3,7.5,0.0,286
93,Papua Selatan,8.8,6.0,46.6,26.2,12.4,0.0,73
94,Papua Tengah,11.1,5.3,71.1,1.5,10.9,0.0,420
95,Papua Pegunungan,47.9,1.9,25.4,7.5,17.3,0.0,197
0,INDONESIA,4.3,9.3,61.3,22.2,2.8,0.1,71452
