province_code,province,children_are_given_exclusive_breast_milk,children_given_breast_milk_for_2_years,children_get_mpasi,immunize_babies,monitor_weight_height_gain_each_month,pregnant_women_drink_blood_increasement_tablet,pregnant_women_regulary_check_pregnancy_6_times,pregnant_women_consume_animal_protein,weighted_n
11,Aceh,61.1,50.6,57.0,44.3,42.3,28.1,22.5,25.2,3085
12,Sumatera Utara,61.3,47.1,63.0,55.9,50.7,30.8,25.8,27.2,6743
13,Sumatera Barat,58.1,47.3,59.0,44.4,40.1,27.6,24.9,29.6,3219
14,Riau,64.8,49.3,63.2,52.4,49.9,30.0,28.4,33.5,3031
15,Jambi,80.5,68.5,68.9,67.4,58.1,38.8,34.0,36.9,2028
16,Sumatera Selatan,57.0,41.8,56.3,49.1,39.6,21.7,19.2,25.8,3203
17,Bengkulu,58.8,50.1,64.1,48.4,44.5,30.3,24.3,27.8,1079
18,Lampung,53.5,43.5,54.6,41.9,40.7,23.4,20.3,24.0,4539
19,Kep. Bangka Belitung,62.1,51.1,60.4,58.2,50.7,32.8,31.3,34.4,981
21,Kepulauan Riau,50.0,39.7,57.1,39.4,32.2,22.5,17.1,23.7,922
31,DKI Jakarta,42.0,31.4,59.3,32.7,32.6,17.0,17.1,25.3,5758
32,Jawa Barat,31.7,25.2,53.6,26.4,26.9,15.9,15.8,20.6,25632
33,Jawa Tengah,33.5,25.2,55.8,25.5,25.7,14.6,14.1,19.6,27788
34,DI Yogyakarta,30.1,23.1,58.9,20.7,24.8,16.1,17.1,27.2,3821
35,Jawa Timur,43.6,34.2,57.9,33.9,34.5,19.6,19.9,25.8,22192
36,Banten,43.2,31.1,56.8,36.1,36.6,20.6,18.7,24.0,488
51,Bali,56.5,41.0,61.2,46.9,44.6,28.1,26.3,27.7,2597
52,Nusa Tenggara Barat,40.6,31.8,51.2,32.9,28.4,18.7,15.1,18.2,2979
53,Nusa Tenggara Timur,53.2,39.8,52.6,36.9,34.4,25.1,20.3,24.8,471
61,Kalimantan Barat,65.2,47.1,62.3,52.2,47.4,31.3,28.1,31.1,3053
62,Kalimantan Tengah,65.6,51.2,63.1,59.6,48.7,35.3,29.5,32.9,1336
63,Kalimantan Selatan,56.5,41.0,55.0,42.4,40.3,24.1,20.6,23.6,2436
64,Kalimantan Timur,49.1,36.9,57.6,43.2,39.6,28.4,25.4,27.4,2397
65,Kalimantan Utara,73.2,54.5,62.7,62.6,56.6,35.0,31.8,32.9,397
71,Sulawesi Utara,65.9,43.6,62.7,57.8,47.6,25.3,24.2,24.7,1513
72,Sulawesi Tengah,39.4,27.4,38.0,31.7,25.0,16.8,15.0,17.2,1951
73,Sulawesi Selatan,45.3,33.6,48.5,36.1,30.1,22.1,19.9,21.4,5064
74,Sulawesi Tenggara,54.7,37.4,48.8,44.5,38.0,25.4,21.5,22.6,1365
75,Gorontalo,54.7,40.5,53.2,46.7,42.3,25.9,24.4,25.2,571
76,Sulawesi Barat,42.1,32.5,42.8,35.1,27.0,20.7,16.1,20.6,777
82,Maluku,54.0,35.6,52.5,50.3,40.8,23.1,20.1,19.5,941
81,Maluku Utara,60.5,48.2,53.8,50.5,47.4,35.7,29.6,28.0,438
92,Papua Barat,78.2,61.6,71.4,73.8,66.6,50.7,49.5,47.6,209
96,Papua Barat Daya,52.3,33.4,53.7,47.1,37.7,24.1,19.7,20.9,281
91,Papua,72.8,57.4,68.4,59.1,58.6,46.1,45.2,44.1,407
93,Papua Selatan,69.4,47.3,52.9,60.2,49.5,42.8,33.0,30.2,114
94,Papua Tengah,82.7,73.3,79.6,81.6,79.0,71.9,70.1,69.2,418
95,Papua Pegunungan,72.5,62.6,68.3,73.1,61.9,55.6,53.8,60.3,213
0,INDONESIA,44.8,34.4,56.5,36.0,34.3,21.0,19.5,24.1,153068
