province_code,province,llins_mosquito_nets_usage,llins_mosquito_nets_usage_95%_CI_lower,llins_mosquito_nets_usage_95%_CI_upper,weighted_n_llins_mosquito_nets_usage,llins_musquito_nets_usage_on_child_under_5,llins_musquito_nets_usage_on_child_under_5_95%_CI_lower,llins_musquito_nets_usage_on_child_under_5_95%_CI_upper,weighted_n_llins_musquito_nets_usage_on_child_under_5
11,Aceh,1.3,1.1,1.6,17271,1.2,0.8,1.7,1930
12,Sumatera Utara,1.2,1.0,1.5,48469,1.7,1.3,2.3,5446
13,Sumatera Barat,0.9,0.7,1.1,18138,1.1,0.7,1.7,1910
14,Riau,0.7,0.5,0.9,20925,1.2,0.7,1.9,2290
15,Jambi,1.0,0.8,1.4,11588,1.3,0.8,2.0,1229
16,Sumatera Selatan,1.3,1.1,1.7,27532,1.4,1.0,2.0,2856
17,Bengkulu,1.1,0.9,1.4,6571,1.4,0.8,2.5,696
18,Lampung,1.8,1.4,2.2,29331,1.8,1.2,2.6,3023
19,Kep. Bangka Belitung,0.8,0.6,1.1,4763,0.7,0.3,1.6,489
21,Kepulauan Riau,0.7,0.5,1.0,6782,0.6,0.3,1.0,738
31,DKI Jakarta,0.2,0.1,0.3,33552,0.3,0.1,0.9,2893
32,Jawa Barat,0.6,0.4,0.8,156977,0.9,0.5,1.4,15291
33,Jawa Tengah,0.4,0.3,0.4,118184,0.4,0.3,0.6,10716
34,DI Yogyakarta,0.6,0.2,1.5,11757,0.3,0.1,1.6,930
35,Jawa Timur,0.3,0.3,0.4,130683,0.2,0.1,0.5,11052
36,Banten,0.4,0.3,0.5,38751,0.1,0.1,0.4,3819
51,Bali,0.4,0.3,0.7,13859,0.5,0.2,1.1,1205
52,Nusa Tenggara Barat,1.1,0.9,1.4,17522,1.9,1.2,3.0,1953
53,Nusa Tenggara Timur,28.2,27.0,29.4,17550,31.5,29.9,33.3,2191
61,Kalimantan Barat,2.4,1.9,3.0,17713,2.0,1.4,2.8,1892
62,Kalimantan Tengah,1.5,1.1,1.9,8737,1.9,1.2,2.9,923
63,Kalimantan Selatan,0.9,0.7,1.2,13299,0.9,0.5,1.6,1389
64,Kalimantan Timur,1.8,1.4,2.2,12360,2.4,1.7,3.2,1247
65,Kalimantan Utara,0.8,0.5,1.2,2300,0.5,0.2,1.0,245
71,Sulawesi Utara,1.2,1.0,1.5,8439,1.8,1.2,2.8,766
72,Sulawesi Tengah,2.0,1.6,2.5,9721,2.1,1.3,3.3,1044
73,Sulawesi Selatan,1.0,0.8,1.3,29481,1.1,0.7,1.7,2990
74,Sulawesi Tenggara,2.4,1.9,3.0,8664,2.1,1.4,3.0,1018
75,Gorontalo,0.7,0.5,1.1,3821,0.6,0.2,1.9,402
76,Sulawesi Barat,0.7,0.5,1.0,4667,1.3,0.8,2.2,553
82,Maluku,13.0,11.6,14.6,6050,14.3,12.0,16.9,682
81,Maluku Utara,8.1,6.9,9.5,4213,9.1,7.5,10.9,477
92,Papua Barat,30.8,27.1,34.6,1795,37.6,32.5,42.9,212
96,Papua Barat Daya,22.1,19.9,24.4,1947,26.2,22.7,30.2,230
91,Papua,30.5,27.7,33.4,3299,35.0,30.5,39.9,433
93,Papua Selatan,38.7,34.3,43.2,1684,43.5,37.2,50.0,288
94,Papua Tengah,23.8,17.9,30.9,4577,24.9,19.0,31.8,467
95,Papua Pegunungan,28.5,23.3,34.4,4563,27.9,21.2,35.7,450
0,INDONESIA,2.0,1.9,2.1,877531,2.6,2.5,2.7,86364
