province_code,province,proper_defecation_behavior,proper_defecation_behavior_95%_CI_lower,proper_defecation_behavior_95%_CI_upper,weighted_n
11,Aceh,92.7,91.7,93.6,16255
12,Sumatera Utara,95.8,95.4,96.3,45584
13,Sumatera Barat,91.1,90.1,92.0,17114
14,Riau,96.5,95.4,97.4,19685
15,Jambi,97.2,96.2,98.0,10955
16,Sumatera Selatan,94.3,93.4,95.1,26003
17,Bengkulu,96.3,95.5,96.9,6210
18,Lampung,96.5,95.8,97.0,27688
19,Kep. Bangka Belitung,97.9,97.4,98.3,4505
21,Kepulauan Riau,96.8,94.8,98.0,6369
31,DKI Jakarta,99.5,99.2,99.6,31861
32,Jawa Barat,97.1,96.7,97.5,148411
33,Jawa Tengah,96.9,96.5,97.3,112057
34,DI Yogyakarta,99.1,98.8,99.4,11225
35,Jawa Timur,94.9,94.3,95.5,124362
36,Banten,94.9,93.7,95.9,36709
51,Bali,97.8,97.2,98.2,13137
52,Nusa Tenggara Barat,96.7,95.8,97.4,16431
53,Nusa Tenggara Timur,95.5,94.9,95.9,16322
61,Kalimantan Barat,96.4,95.8,96.9,16727
62,Kalimantan Tengah,94.1,93.0,95.0,8225
63,Kalimantan Selatan,95.8,94.8,96.7,12523
64,Kalimantan Timur,97.6,96.7,98.3,11651
65,Kalimantan Utara,97.5,96.2,98.3,2162
71,Sulawesi Utara,97.9,97.4,98.3,7994
72,Sulawesi Tengah,93.7,92.7,94.7,9127
73,Sulawesi Selatan,98.2,97.7,98.6,27815
74,Sulawesi Tenggara,94.3,93.2,95.3,8108
75,Gorontalo,96.5,95.3,97.3,3598
76,Sulawesi Barat,95.7,94.0,96.9,4361
82,Maluku,94.6,93.4,95.6,5673
81,Maluku Utara,95.8,94.6,96.8,3955
92,Papua Barat,95.5,93.4,96.9,1674
96,Papua Barat Daya,94.6,91.2,96.7,1808
91,Papua,93.9,92.0,95.3,3058
93,Papua Selatan,84.4,81.1,87.2,1539
94,Papua Tengah,70.2,63.3,76.3,4350
95,Papua Pegunungan,59.6,52.2,66.7,4341
0,INDONESIA,95.8,95.7,96.0,829573
