province_code,province,daily_smoker,daily_smoker_95%_CI_lower,daily_smoker_95%_CI_upper,occasional_smoker,occasional_smoker_95%_CI_lower,occasional_smoker_95%_CI_upper,ex_smoker,ex_smoker_95%_CI_lower,ex_smoker_95%_CI_upper,non_smoker,non_smoker_95%_CI_lower,non_smoker_95%_CI_upper,weighted_n
11,Aceh,2.7,2.0,3.6,3.2,2.4,4.4,0.1,0.1,0.3,94.0,92.5,95.1,2570
12,Sumatera Utara,1.8,1.4,2.4,1.9,1.4,2.6,0.7,0.4,1.1,95.6,94.6,96.5,7184
13,Sumatera Barat,4.3,3.6,5.1,2.8,2.3,3.4,0.9,0.6,1.3,92.0,90.9,92.9,2597
14,Riau,2.2,1.7,2.8,0.8,0.5,1.3,0.4,0.2,0.7,96.7,95.9,97.3,3104
15,Jambi,1.7,1.2,2.5,1.5,1.0,2.3,0.1,0.0,0.3,96.7,95.6,97.5,1641
16,Sumatera Selatan,3.0,2.5,3.6,2.2,1.7,2.8,0.4,0.2,0.7,94.5,93.6,95.2,3912
17,Bengkulu,4.3,3.1,5.8,2.5,1.8,3.5,0.0,0.0,0.1,93.2,91.6,94.5,896
18,Lampung,4.2,3.3,5.2,2.4,1.7,3.5,0.1,0.1,0.2,93.3,91.9,94.5,3954
19,Kep. Bangka Belitung,2.9,2.2,3.8,1.4,1.0,2.1,0.4,0.1,1.7,95.3,94.0,96.3,654
21,Kepulauan Riau,1.6,1.0,2.8,1.7,1.1,2.8,1.3,0.7,2.5,95.3,93.6,96.5,952
31,DKI Jakarta,2.4,1.6,3.5,2.9,1.9,4.3,1.1,0.6,2.0,93.6,91.6,95.2,4253
32,Jawa Barat,7.3,6.3,8.3,3.8,3.2,4.6,1.4,1.1,1.8,87.6,86.3,88.7,21360
33,Jawa Tengah,5.9,5.2,6.8,3.7,3.3,4.3,1.3,1.0,1.6,89.1,88.1,90.0,14751
34,DI Yogyakarta,4.7,3.6,6.2,5.3,3.8,7.3,3.3,2.2,5.1,86.6,84.1,88.8,1374
35,Jawa Timur,5.3,4.6,6.1,2.6,2.2,3.1,0.8,0.6,1.1,91.3,90.3,92.2,15664
36,Banten,5.6,4.4,7.1,4.1,3.0,5.4,1.5,0.4,5.7,88.9,86.1,91.1,5403
51,Bali,2.2,1.5,3.0,1.7,1.2,2.5,0.3,0.1,0.6,95.8,94.6,96.8,1702
52,Nusa Tenggara Barat,6.5,5.1,8.2,3.2,2.3,4.5,0.5,0.2,0.9,89.8,87.8,91.5,2485
53,Nusa Tenggara Timur,3.6,2.9,4.4,2.7,2.1,3.5,0.4,0.2,0.6,93.3,92.3,94.3,2703
61,Kalimantan Barat,2.8,2.0,3.8,1.9,1.2,2.9,0.2,0.1,0.5,95.2,93.8,96.3,2527
62,Kalimantan Tengah,2.5,1.7,3.6,1.1,0.5,2.1,0.2,0.1,0.6,96.2,94.8,97.2,1245
63,Kalimantan Selatan,2.8,2.1,3.7,1.7,1.2,2.6,0.5,0.2,0.9,95.0,93.8,96.0,1861
64,Kalimantan Timur,3.3,2.4,4.6,1.9,1.1,3.2,1.0,0.6,1.7,93.9,92.2,95.1,1716
65,Kalimantan Utara,2.5,1.3,4.8,1.5,0.7,3.6,0.4,0.1,2.5,95.6,92.7,97.4,328
71,Sulawesi Utara,2.9,2.1,4.0,2.2,1.4,3.3,0.6,0.3,1.2,94.3,92.8,95.6,1080
72,Sulawesi Tengah,4.2,3.2,5.4,2.8,2.0,3.9,1.2,0.7,1.9,91.8,90.2,93.2,1409
73,Sulawesi Selatan,4.6,3.9,5.5,1.9,1.4,2.5,1.4,0.9,2.1,92.1,90.9,93.1,4187
74,Sulawesi Tenggara,2.0,1.4,2.7,1.2,0.8,1.7,0.2,0.1,0.5,96.6,95.7,97.3,1349
75,Gorontalo,3.3,2.3,4.8,2.7,1.8,3.9,1.0,0.5,2.0,93.0,91.2,94.5,528
76,Sulawesi Barat,3.2,2.2,4.7,1.6,0.9,2.7,0.5,0.2,1.3,94.7,93.0,96.0,713
82,Maluku,2.3,1.5,3.5,2.4,1.5,3.7,0.7,0.3,1.5,94.6,93.1,95.9,917
81,Maluku Utara,1.4,0.7,2.7,2.1,1.3,3.2,0.3,0.1,0.8,96.3,94.7,97.4,647
92,Papua Barat,2.6,1.2,5.2,1.9,1.0,3.8,0.5,0.2,1.4,95.0,92.0,96.9,253
96,Papua Barat Daya,2.7,1.1,6.0,1.9,0.7,5.0,0.1,0.0,0.5,95.3,91.4,97.5,267
91,Papua,1.3,0.7,2.5,3.4,2.1,5.3,0.8,0.3,2.1,94.5,92.4,96.1,467
93,Papua Selatan,4.8,2.8,8.1,2.5,1.2,4.8,1.3,0.4,4.3,91.5,87.7,94.2,256
94,Papua Tengah,2.7,1.1,6.4,1.1,0.4,3.4,0.2,0.0,1.6,96.0,92.3,97.9,568
95,Papua Pegunungan,1.5,0.5,4.7,2.0,0.7,5.7,0.4,0.1,3.1,96.0,92.2,98.0,507
0,INDONESIA,4.6,4.3,4.9,2.8,2.6,3.0,0.9,0.8,1.1,91.7,91.3,92.0,117983
