province_code,province,daily_smoker,daily_smoker_95%_CI_lower,daily_smoker_95%_CI_upper,occasional_smoker,occasional_smoker_95%_CI_lower,occasional_smoker_95%_CI_upper,ex_smoker,ex_smoker_95%_CI_lower,ex_smoker_95%_CI_upper,non_smoker,non_smoker_95%_CI_lower,non_smoker_95%_CI_upper,weighted_n
11,Aceh,20.0,19.3,20.8,5.2,4.7,5.8,1.3,1.1,1.6,73.4,72.5,74.2,13654
12,Sumatera Utara,18.7,18.0,19.4,4.5,4.1,4.9,2.0,1.8,2.4,74.7,73.9,75.5,38293
13,Sumatera Barat,24.6,23.9,25.4,3.9,3.5,4.3,2.6,2.4,2.9,68.8,68.0,69.6,14601
14,Riau,20.9,20.1,21.8,3.9,3.5,4.3,1.7,1.5,1.9,73.5,72.7,74.4,16528
15,Jambi,16.8,15.9,17.7,4.2,3.8,4.7,1.3,1.0,1.5,77.8,76.8,78.7,9256
16,Sumatera Selatan,22.1,21.4,22.8,4.2,3.8,4.6,1.6,1.4,1.8,72.2,71.4,72.9,21935
17,Bengkulu,23.5,22.4,24.6,4.4,3.8,5.0,1.2,0.9,1.5,71.0,70.0,72.0,5257
18,Lampung,25.3,24.5,26.1,3.9,3.6,4.3,1.8,1.6,2.1,68.9,68.1,69.8,23530
19,Kep. Bangka Belitung,20.8,19.8,21.8,3.1,2.7,3.6,1.3,1.0,1.6,74.9,73.8,75.9,3849
21,Kepulauan Riau,20.2,19.0,21.6,3.4,2.7,4.2,1.9,1.5,2.5,74.5,72.9,76.0,5379
31,DKI Jakarta,19.1,18.0,20.2,5.0,4.5,5.7,4.7,4.1,5.4,71.2,69.9,72.5,27664
32,Jawa Barat,27.0,26.4,27.6,5.0,4.7,5.4,4.1,3.7,4.4,63.9,63.2,64.6,127590
33,Jawa Tengah,23.6,23.1,24.1,4.8,4.5,5.1,3.0,2.8,3.3,68.6,68.0,69.1,97334
34,DI Yogyakarta,19.2,18.1,20.2,5.1,4.5,5.7,6.9,6.1,7.8,68.9,67.6,70.1,9852
35,Jawa Timur,22.8,22.3,23.3,4.2,4.0,4.5,2.5,2.4,2.7,70.4,69.9,70.9,108610
36,Banten,24.4,23.3,25.6,5.0,4.4,5.6,2.9,2.2,3.8,67.7,66.5,68.9,31161
51,Bali,16.0,15.2,16.8,3.7,3.3,4.1,2.3,2.0,2.7,78.0,77.1,78.9,11517
52,Nusa Tenggara Barat,27.7,26.7,28.7,3.6,3.1,4.2,1.5,1.2,1.8,67.2,66.2,68.2,13789
53,Nusa Tenggara Timur,18.7,18.1,19.4,6.3,5.9,6.7,1.3,1.1,1.5,73.7,73.0,74.4,13535
61,Kalimantan Barat,19.6,18.6,20.5,4.3,3.8,4.8,1.6,1.4,1.8,74.6,73.6,75.5,14173
62,Kalimantan Tengah,19.1,18.1,20.2,4.3,3.8,4.9,1.5,1.2,1.7,75.1,74.0,76.2,7033
63,Kalimantan Selatan,16.5,15.8,17.4,3.9,3.5,4.3,1.7,1.5,2.0,77.8,77.0,78.7,10566
64,Kalimantan Timur,18.3,17.2,19.5,3.8,3.3,4.3,3.5,2.9,4.1,74.4,73.1,75.7,9985
65,Kalimantan Utara,16.5,14.6,18.5,4.0,3.3,4.8,1.4,0.9,2.0,78.2,76.2,80.0,1851
71,Sulawesi Utara,19.0,18.1,20.0,5.5,5.0,6.0,3.2,2.8,3.7,72.3,71.1,73.3,6921
72,Sulawesi Tengah,23.1,22.1,24.1,4.8,4.3,5.4,2.7,2.3,3.2,69.4,68.3,70.4,7723
73,Sulawesi Selatan,20.6,19.9,21.3,3.0,2.8,3.3,3.6,3.0,4.0,72.8,72.1,73.5,23925
74,Sulawesi Tenggara,17.5,16.7,18.4,3.9,3.5,4.3,2.0,1.6,2.3,76.7,75.7,77.5,6791
75,Gorontalo,22.3,21.1,23.6,5.7,4.9,6.7,1.6,1.3,2.1,70.3,68.9,71.6,3085
76,Sulawesi Barat,20.1,18.9,21.4,3.3,2.7,3.9,1.6,1.3,2.1,75.0,73.7,76.3,3653
82,Maluku,18.6,17.4,19.8,5.9,5.3,6.7,2.0,1.7,2.4,73.5,72.3,74.6,4831
81,Maluku Utara,19.0,17.8,20.2,6.0,5.4,6.8,1.2,0.9,1.6,73.8,72.5,75.0,3325
92,Papua Barat,15.6,13.4,18.1,6.7,5.6,8.1,1.0,0.6,1.4,76.7,74.0,79.1,1418
96,Papua Barat Daya,18.2,16.3,20.4,6.1,5.0,7.3,1.1,0.8,1.4,74.6,72.2,76.9,1551
91,Papua,16.3,14.6,18.2,6.4,5.3,7.7,2.3,1.7,3.1,75.0,72.7,77.1,2446
93,Papua Selatan,24.9,22.5,27.6,5.0,3.5,7.0,1.5,0.9,2.5,68.6,65.6,71.4,1163
94,Papua Tengah,10.3,8.3,12.8,6.9,5.4,8.6,1.3,0.9,2.1,81.5,78.5,84.1,3708
95,Papua Pegunungan,10.0,8.4,11.9,5.5,4.3,7.2,0.7,0.5,1.2,83.7,81.0,86.1,3803
0,INDONESIA,22.46,22.3,22.6,4.56,4.5,4.7,2.8,2.7,2.9,70.2,70.0,70.4,711286
