province_code,province,age_4_to_9,age_4_to_9_95%_CI_lower,age_4_to_9_95%_CI_upper,age_10_to_14,age_10_to_14_95%_CI_lower,age_10_to_14_95%_CI_upper,age_15_to_19,age_15_to_19_95%_CI_lower,age_15_to_19_95%_CI_upper,age_20_to_24,age_20_to_24_95%_CI_lower,age_20_to_24_95%_CI_upper,age_25_to_29,age_25_to_29_95%_CI_lower,age_25_to_29_95%_CI_upper,age_more_then_30,age_more_then_30_95%_CI_lower,age_more_then_30_95%_CI_upper,weighted_n
11,Aceh,0.5,0.3,0.8,13.3,11.4,15.4,64.6,62.1,66.9,18.0,16.3,19.8,2.7,2.2,3.4,0.9,0.6,1.5,1910
12,Sumatera Utara,0.8,0.6,1.2,12.4,11.1,13.8,61.7,59.6,63.9,20.1,18.3,22.0,3.1,2.5,3.7,1.9,1.5,2.5,5996
13,Sumatera Barat,2.5,2.1,3.0,28.0,26.1,30.0,54.8,52.8,56.7,10.8,9.7,12.1,2.4,2.0,3.0,1.5,1.1,1.9,3129
14,Riau,0.9,0.6,1.5,17.3,15.5,19.2,63.8,61.5,66.0,14.2,12.7,15.9,2.2,1.8,2.8,1.5,1.1,2.1,2451
15,Jambi,0.7,0.4,1.3,15.9,13.4,18.8,61.7,58.7,64.6,17.6,15.5,19.9,2.8,2.1,3.8,1.3,0.9,2.0,1064
16,Sumatera Selatan,1.3,0.9,1.7,17.9,16.4,19.5,61.9,60.0,63.8,14.9,13.5,16.4,2.7,2.2,3.3,1.4,1.1,1.8,3784
17,Bengkulu,1.4,1.0,2.1,19.4,17.1,21.9,62.7,60.2,65.2,11.5,10.1,13.1,3.3,2.6,4.2,1.6,1.2,2.2,1011
18,Lampung,1.1,0.8,1.6,14.7,13.0,16.5,62.1,59.9,64.2,17.6,16.0,19.3,2.9,2.3,3.8,1.6,1.2,2.1,4361
19,Kep. Bangka Belitung,1.1,0.7,1.7,18.0,15.8,20.3,60.7,58.0,63.3,16.3,14.4,18.5,2.1,1.5,2.9,1.9,1.4,2.6,647
21,Kepulauan Riau,1.1,0.7,1.9,16.1,13.6,19.0,57.8,52.8,62.7,19.6,16.2,23.5,3.3,2.3,4.8,2.1,1.3,3.2,916
31,DKI Jakarta,1.7,1.1,2.6,18.6,16.5,21.0,55.6,52.9,58.3,16.5,14.7,18.5,4.3,3.4,5.4,3.2,2.4,4.2,5890
