province_code,province,age_4_to_9,age_4_to_9_95%_CI_lower,age_4_to_9_95%_CI_upper,age_10_to_14,age_10_to_14_95%_CI_lower,age_10_to_14_95%_CI_upper,age_15_to_19,age_15_to_19_95%_CI_lower,age_15_to_19_95%_CI_upper,age_20_to_24,age_20_to_24_95%_CI_lower,age_20_to_24_95%_CI_upper,age_25_to_29,age_25_to_29_95%_CI_lower,age_25_to_29_95%_CI_upper,age_more_then_30,age_more_then_30_95%_CI_lower,age_more_then_30_95%_CI_upper,weighted_n
11,Aceh,0.1,0.0,0.3,7.1,5.8,8.8,49.8,46.6,53.0,34.1,31.0,37.2,6.6,5.3,8.1,2.3,1.7,3.2,1576
12,Sumatera Utara,0.2,0.1,0.4,5.8,4.9,6.9,50.1,47.7,52.5,34.9,32.7,37.1,6.5,5.5,7.6,2.5,2.0,3.2,4699
13,Sumatera Barat,0.7,0.5,1.1,13.5,12.1,15.0,54.8,52.8,56.9,22.3,20.6,24.2,5.4,4.7,6.2,3.2,2.7,3.9,2730
14,Riau,0.3,0.1,0.9,8.3,7.0,9.7,57.3,54.7,59.9,27.0,24.7,29.4,4.9,4.1,5.8,2.3,1.8,2.9,2156
15,Jambi,0.1,0.0,0.4,4.4,3.2,5.9,49.6,46.0,53.2,36.6,33.1,40.2,6.8,5.6,8.3,2.5,1.8,3.5,864
16,Sumatera Selatan,0.6,0.4,0.9,10.0,8.7,11.5,52.5,50.3,54.7,27.8,25.8,30.0,6.0,5.1,7.1,3.1,2.5,3.8,3283
17,Bengkulu,0.4,0.2,0.8,9.2,7.9,10.8,59.0,56.5,61.6,23.8,21.7,26.0,5.1,4.2,6.3,2.4,1.8,3.3,882
18,Lampung,0.6,0.4,1.1,7.3,6.1,8.6,56.3,53.9,58.7,26.2,24.3,28.3,6.4,5.4,7.7,3.1,2.6,3.8,3831
19,Kep. Bangka Belitung,0.3,0.2,0.7,8.3,6.6,10.3,57.0,54.0,60.0,26.2,23.7,28.8,5.3,4.2,6.6,2.9,2.2,3.9,575
21,Kepulauan Riau,0.5,0.2,1.5,4.4,3.2,6.2,47.0,42.4,51.8,38.1,33.8,42.6,6.8,5.1,9.0,3.1,2.3,4.3,799
31,DKI Jakarta,0.3,0.1,0.8,6.7,5.3,8.5,42.1,39.0,45.2,32.8,30.0,35.7,9.4,7.6,11.6,8.7,7.0,10.8,4363
32,Jawa Barat,0.5,0.3,0.7,9.0,8.1,9.9,49.5,48.0,51.0,27.6,26.3,28.9,7.7,7.0,8.5,5.8,5.2,6.3,26587
33,Jawa Tengah,0.5,0.4,0.7,9.8,9.1,10.7,49.6,48.1,51.0,27.6,26.4,28.9,7.6,6.9,8.4,4.8,4.3,5.3,16560
34,DI Yogyakarta,1.5,0.9,2.5,11.6,9.9,13.5,45.8,42.6,49.0,25.2,22.5,28.1,9.2,7.5,11.1,6.8,5.5,8.3,1527
35,Jawa Timur,0.5,0.4,0.7,9.0,8.3,9.8,53.1,51.7,54.5,25.3,24.1,26.5,7.2,6.7,7.9,4.8,4.3,5.4,16907
36,Banten,0.6,0.3,1.1,8.1,6.4,10.2,53.6,50.8,56.2,27.3,24.6,30.2,6.7,5.3,8.4,3.8,2.9,5.0,5024
51,Bali,0.3,0.1,0.8,4.9,3.8,6.2,51.5,48.3,54.7,29.0,26.5,31.7,8.7,7.2,10.6,5.5,4.4,6.8,1418
52,Nusa Tenggara Barat,0.5,0.2,1.2,10.0,8.3,12.0,59.5,56.8,62.1,22.3,20.2,24.6,5.3,4.3,6.4,2.4,1.9,3.1,2385
53,Nusa Tenggara Timur,0.3,0.1,0.6,6.6,5.6,7.8,45.8,43.6,48.0,31.2,29.2,33.2,10.6,9.4,11.9,5.6,4.8,6.4,1752
61,Kalimantan Barat,0.5,0.2,1.1,7.8,5.9,10.2,54.7,51.6,57.7,27.8,25.2,30.6,5.2,4.1,6.6,3.9,3.2,4.9,1755
62,Kalimantan Tengah,0.4,0.2,1.0,7.6,6.0,9.6,55.7,52.6,58.8,26.6,23.8,29.5,4.9,3.8,6.3,4.8,3.7,6.3,758
63,Kalimantan Selatan,0.5,0.2,1.0,7.6,6.1,9.3,44.7,41.8,47.7,34.9,32.2,37.7,8.5,7.1,10.1,3.8,3.0,4.9,1165
64,Kalimantan Timur,0.6,0.3,1.2,9.2,7.5,11.2,46.5,43.3,49.7,31.0,27.9,34.2,8.3,6.9,10.1,4.4,3.4,5.7,1409
65,Kalimantan Utara,0.2,0.0,1.5,12.7,7.2,21.3,49.6,43.2,56.0,24.6,19.7,30.3,7.6,5.2,10.9,5.3,3.4,8.2,193
71,Sulawesi Utara,0.9,0.2,3.3,6.6,5.3,8.2,51.8,48.4,55.1,27.6,24.9,30.5,8.7,7.4,10.1,4.5,3.6,5.5,972
72,Sulawesi Tengah,0.4,0.2,1.0,10.2,8.5,12.1,49.4,46.5,52.3,29.9,27.3,32.6,6.2,5.3,7.3,3.9,3.1,4.8,1161
73,Sulawesi Selatan,0.2,0.1,0.4,10.0,8.7,11.4,51.1,48.9,53.3,26.6,24.9,28.5,7.2,6.3,8.4,4.8,4.2,5.6,3346
74,Sulawesi Tenggara,0.6,0.3,1.0,9.0,7.4,10.8,47.4,44.5,50.4,29.2,26.7,31.9,8.6,7.1,10.4,5.1,4.1,6.4,660
75,Gorontalo,0.3,0.1,1.6,13.5,10.6,17.0,51.5,47.5,55.4,25.7,22.2,29.6,6.0,4.3,8.3,3.0,2.0,4.5,396
76,Sulawesi Barat,0.5,0.1,1.8,7.2,5.6,9.4,52.9,48.7,57.0,29.1,25.5,32.9,6.9,5.2,9.1,3.4,2.3,5.1,472
82,Maluku,0.5,0.2,1.2,6.6,4.9,8.7,49.4,45.1,53.6,30.3,26.7,34.2,8.6,6.8,10.6,4.6,3.5,6.0,608
81,Maluku Utara,0.3,0.1,1.2,4.0,2.9,5.5,49.2,45.3,53.2,31.5,28.3,34.8,11.0,8.7,13.7,4.0,3.1,5.3,434
92,Papua Barat,0.4,0.1,2.3,10.1,5.5,17.8,33.0,25.4,41.6,41.1,32.2,50.6,8.9,6.5,12.0,6.5,4.1,10.4,139
96,Papua Barat Daya,0.2,0.1,0.7,10.1,7.2,14.2,43.2,37.3,49.2,32.8,27.5,38.5,8.7,5.9,12.8,5.0,3.0,8.3,223
91,Papua,0.1,0.0,0.5,13.5,10.1,17.9,46.0,39.3,52.9,26.3,21.2,32.2,9.0,6.2,12.8,5.0,3.3,7.6,307
93,Papua Selatan,2.1,1.0,4.2,22.9,15.8,31.9,44.1,37.4,51.0,22.9,17.6,29.3,6.8,4.7,9.9,1.1,0.6,2.3,184
94,Papua Tengah,0.6,0.1,2.9,5.3,2.3,12.1,60.2,48.8,70.5,24.0,17.3,32.4,7.1,4.2,11.6,2.7,1.3,5.6,167
95,Papua Pegunungan,1.6,0.3,7.9,10.8,6.4,17.6,38.8,27.9,50.8,35.9,23.6,50.4,4.9,2.3,10.0,8.1,3.7,16.5,152
0,INDONESIA,0.5,0.4,0.5,8.8,8.5,9.1,50.9,50.3,51.4,27.9,27.4,28.4,7.3,7.0,7.6,4.7,4.5,4.9,112419
