province_code,province,kretek,kretek_95%_CI_lower,kretek_95%_CI_upper,white,white_95%_CI_lower,white_95%_CI_upper,hand_rolled,hand_rolled_95%_CI_lower,hand_rolled_95%_CI_upper,electronic,electronic_95%_CI_lower,electronic_95%_CI_upper,shisa,shisa_95%_CI_lower,shisa_95%_CI_upper,weighted_n
11,Aceh,61.1,58.5,63.6,46.6,43.9,49.3,2.2,1.8,2.7,0.9,0.6,1.2,0.7,0.4,1.2,3107
12,Sumatera Utara,65.1,62.8,67.3,41.7,39.4,44.0,3.1,2.6,3.7,1.8,1.4,2.4,0.6,0.4,0.8,8267
13,Sumatera Barat,56.3,53.4,59.1,48.8,45.9,51.6,3.4,2.8,4.1,2.0,1.4,2.6,0.8,0.6,1.2,3891
14,Riau,53.9,50.6,57.2,51.7,48.5,55.0,1.9,1.4,2.5,1.6,1.1,2.2,0.6,0.4,1.0,3739
15,Jambi,41.1,37.5,44.8,63.3,59.9,66.7,2.9,2.3,3.7,1.9,1.3,2.8,0.6,0.3,1.1,1759
16,Sumatera Selatan,54.4,52.1,56.8,56.2,53.8,58.7,7.3,6.4,8.4,1.0,0.7,1.4,0.4,0.2,0.6,5221
17,Bengkulu,52.8,50.0,55.5,56.2,53.5,58.8,3.1,2.4,4.0,0.7,0.5,1.1,0.6,0.4,1.0,1303
18,Lampung,52.5,49.9,55.0,60.4,57.8,62.9,14.3,12.8,16.0,1.7,1.3,2.2,0.5,0.3,0.9,6253
19,Kep. Bangka Belitung,42.3,38.9,45.8,64.3,60.7,67.7,1.9,1.4,2.6,1.9,1.3,2.7,0.7,0.4,1.2,827
21,Kepulauan Riau,36.8,31.7,42.2,64.7,59.4,69.8,1.4,0.7,2.5,3.6,2.5,5.3,0.3,0.1,0.8,1174
31,DKI Jakarta,45.6,42.1,49.0,60.8,57.7,63.8,2.9,2.2,3.9,6.3,5.0,7.8,1.4,0.9,2.3,6807
32,Jawa Barat,58.4,56.9,59.9,53.6,52.0,55.3,6.8,6.1,7.6,3.7,3.3,4.3,1.0,0.8,1.3,39381
33,Jawa Tengah,52.6,51.3,54.0,52.8,51.5,54.2,20.5,19.4,21.7,3.3,2.9,3.7,0.5,0.4,0.7,26151
34,DI Yogyakarta,47.6,44.3,50.9,60.8,57.8,63.6,18.0,15.7,20.5,9.6,8.0,11.4,1.2,0.8,1.9,2621
35,Jawa Timur,62.7,61.4,64.0,40.4,39.0,41.9,20.5,19.4,21.7,3.1,2.6,3.5,0.5,0.4,0.7,27441
36,Banten,56.5,53.6,59.4,54.3,51.1,57.5,3.1,2.4,4.2,3.4,2.5,4.5,0.6,0.3,1.0,8596
51,Bali,18.3,16.2,20.5,75.9,73.6,78.1,2.8,2.2,3.5,8.5,7.3,9.8,0.5,0.3,0.8,2166
52,Nusa Tenggara Barat,52.1,48.9,55.4,43.1,39.5,46.7,39.5,36.7,42.3,2.4,1.8,3.2,0.9,0.6,1.4,3863
53,Nusa Tenggara Timur,58.9,56.6,61.2,54.2,51.8,56.5,16.8,15.5,18.3,1.4,1.0,2.0,0.7,0.4,1.1,3043
61,Kalimantan Barat,37.5,34.6,40.5,64.4,61.4,67.3,7.5,6.2,8.9,2.8,1.9,3.9,0.5,0.3,1.0,3080
62,Kalimantan Tengah,44.6,41.2,48.2,63.2,59.7,66.5,5.4,4.3,6.9,2.5,1.8,3.5,0.6,0.3,1.0,1497
63,Kalimantan Selatan,43.4,40.2,46.6,62.4,59.3,65.5,4.6,3.7,5.7,4.5,3.6,5.6,0.4,0.2,0.7,2001
64,Kalimantan Timur,28.1,25.3,31.2,72.2,69.3,74.9,4.5,3.5,5.7,8.1,6.6,9.9,0.7,0.4,1.1,2184
65,Kalimantan Utara,24.1,19.5,29.4,76.7,71.6,81.2,2.1,1.3,3.4,3.8,2.3,6.3,0.4,0.1,1.1,345
71,Sulawesi Utara,53.6,50.8,56.5,64.7,62.0,67.3,8.0,6.8,9.4,2.3,1.7,3.1,0.6,0.3,1.0,1641
