province_code,province,smoking_in_closed_room_every_day,smoking_in_closed_room_every_day_95%_CI_lower,smoking_in_closed_room_every_day_95%_CI_upper,smoking_in_closed_room_occasionally,smoking_in_closed_room_occasionally_95%_CI_lower,smoking_in_closed_room_occasionally_95%_CI_upper,smoking_in_closed_room_never,smoking_in_closed_room_never_95%_CI_lower,smoking_in_closed_room_never_95%_CI_upper,weighted_n
11,Aceh,23.1,21.9,24.4,50.5,48.9,52.0,26.4,25.0,27.8,13654
12,Sumatera Utara,24.7,23.5,26.0,50.1,48.7,51.5,25.2,23.8,26.6,38293
13,Sumatera Barat,38.3,36.7,39.9,40.5,39.1,42.0,21.2,20.0,22.5,14601
14,Riau,30.3,28.7,32.1,48.4,46.7,50.1,21.3,19.8,22.8,16528
15,Jambi,21.2,19.6,22.9,50.4,48.3,52.5,28.4,26.2,30.7,9256
16,Sumatera Selatan,27.7,26.2,29.3,47.4,45.4,49.3,24.9,23.3,26.6,21935
17,Bengkulu,30.9,28.9,32.9,52.5,50.4,54.6,16.6,15.2,18.1,5257
18,Lampung,37.4,35.6,39.2,39.6,37.9,41.4,23.0,21.4,24.6,23530
19,Kep. Bangka Belitung,26.3,24.5,28.1,43.7,41.6,45.9,30.0,28.1,32.0,3849
21,Kepulauan Riau,21.8,18.6,25.4,48.4,45.0,51.9,29.7,27.0,32.7,5379
31,DKI Jakarta,21.4,19.6,23.4,38.2,36.2,40.2,40.3,37.8,42.9,27664
32,Jawa Barat,36.4,35.4,37.4,39.8,38.8,40.8,23.8,22.9,24.7,127590
33,Jawa Tengah,33.0,32.1,33.9,42.1,41.2,43.1,24.9,24.0,25.7,97334
34,DI Yogyakarta,24.3,22.6,26.1,42.7,40.9,44.5,33.0,31.3,34.8,9852
35,Jawa Timur,31.2,30.3,32.2,41.0,40.0,41.9,27.8,26.9,28.8,108610
36,Banten,32.3,30.2,34.4,42.2,40.0,44.4,25.6,23.8,27.4,31161
51,Bali,15.6,14.1,17.2,43.2,41.2,45.3,41.2,39.0,43.4,11517
52,Nusa Tenggara Barat,35.9,33.9,38.0,44.1,42.1,46.1,19.9,18.2,21.8,13789
53,Nusa Tenggara Timur,27.5,26.3,28.6,51.0,49.8,52.3,21.5,20.3,22.8,13535
61,Kalimantan Barat,28.1,26.4,29.8,48.1,46.2,49.9,23.9,22.3,25.5,14173
62,Kalimantan Tengah,26.8,24.9,28.9,47.7,45.5,49.9,25.5,23.6,27.6,7033
63,Kalimantan Selatan,22.5,21.0,24.0,44.7,42.9,46.4,32.9,31.2,34.6,10566
64,Kalimantan Timur,25.1,23.3,26.9,38.9,36.8,41.1,36.0,33.6,38.5,9985
65,Kalimantan Utara,16.9,14.7,19.3,37.7,34.3,41.4,45.4,41.8,49.0,1851
71,Sulawesi Utara,25.2,23.6,26.8,44.5,42.7,46.3,30.4,28.6,32.2,6921
72,Sulawesi Tengah,37.1,35.3,38.9,36.8,35.1,38.5,26.1,24.4,27.8,7723
73,Sulawesi Selatan,30.7,29.4,31.9,40.1,38.7,41.4,29.3,28.0,30.7,23925
74,Sulawesi Tenggara,25.8,24.4,27.3,46.0,44.3,47.8,28.1,26.5,29.8,6791
75,Gorontalo,37.4,35.0,39.8,44.1,41.9,46.5,18.5,16.7,20.4,3085
76,Sulawesi Barat,32.6,30.1,35.3,46.1,43.8,48.5,21.3,19.1,23.6,3653
82,Maluku,23.5,21.7,25.4,49.3,47.3,51.3,27.2,25.3,29.1,4831
81,Maluku Utara,22.0,20.0,24.2,43.8,41.6,46.1,34.1,31.6,36.7,3325
92,Papua Barat,18.0,15.9,20.3,51.8,48.7,54.9,30.3,27.1,33.6,1418
96,Papua Barat Daya,20.8,18.2,23.6,43.9,40.5,47.4,35.3,31.2,39.7,1551
91,Papua,16.9,14.8,19.3,53.3,50.1,56.4,29.8,26.8,33.0,2446
93,Papua Selatan,33.6,29.5,37.9,48.7,44.6,52.9,17.7,15.1,20.7,1163
94,Papua Tengah,12.7,8.4,18.8,36.8,32.3,41.5,50.5,43.7,57.3,3708
95,Papua Pegunungan,14.1,11.5,17.2,48.3,42.0,54.5,37.6,32.2,43.5,3803
0,INDONESIA,30.4,30.1,30.8,42.9,42.5,43.2,26.7,26.3,27.0,711286
