province_code,province,chewing_tobaco_every_day,chewing_tobaco_every_day_95%_CI_lower,chewing_tobaco_every_day_95%_CI_upper,chewing_tobaco_occasionally,chewing_tobaco_occasionally_95%_CI_lower,chewing_tobaco_occasionally_95%_CI_upper,former_chewing_tobaco,former_chewing_tobaco_95%_CI_lower,former_chewing_tobaco_95%_CI_upper,never_chewing_tobaco,never_chewing_tobaco_95%_CI_lower,never_chewing_tobaco_95%_CI_upper,weighted_n
11,Aceh,0.8,0.6,1.0,2.1,1.7,2.5,0.8,0.7,1.0,96.4,95.9,96.8,13654
12,Sumatera Utara,1.4,1.2,1.6,1.7,1.5,1.9,0.9,0.7,1.1,96.0,95.6,96.4,38293
13,Sumatera Barat,0.6,0.4,0.7,1.1,0.9,1.3,0.8,0.7,1.0,97.5,97.2,97.8,14601
14,Riau,0.3,0.3,0.5,0.8,0.6,1.0,0.7,0.6,0.9,98.1,97.8,98.4,16528
15,Jambi,0.4,0.3,0.6,0.7,0.5,0.9,0.8,0.6,1.0,98.1,97.8,98.4,9256
16,Sumatera Selatan,0.5,0.4,0.6,0.6,0.5,0.8,0.3,0.3,0.4,98.6,98.3,98.8,21935
17,Bengkulu,0.4,0.3,0.5,0.7,0.5,0.9,0.6,0.4,0.8,98.4,98.0,98.6,5257
18,Lampung,0.5,0.4,0.7,0.6,0.5,0.8,0.4,0.3,0.5,98.4,98.2,98.7,23530
19,Kep. Bangka Belitung,0.2,0.2,0.4,0.9,0.5,1.4,0.3,0.2,0.5,98.6,98.0,99.0,3849
21,Kepulauan Riau,0.4,0.2,0.8,0.6,0.3,1.0,0.3,0.2,0.6,98.7,98.1,99.1,5379
31,DKI Jakarta,0.2,0.1,0.4,0.3,0.2,0.4,0.4,0.2,0.6,99.2,98.9,99.4,27664
32,Jawa Barat,0.3,0.2,0.3,0.5,0.4,0.6,0.7,0.6,0.8,98.5,98.3,98.7,127590
33,Jawa Tengah,0.5,0.4,0.6,0.4,0.3,0.5,0.5,0.4,0.6,98.6,98.4,98.7,97334
34,DI Yogyakarta,0.5,0.4,0.7,0.4,0.3,0.6,1.0,0.7,1.3,98.1,97.7,98.4,9852
35,Jawa Timur,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.4,99.1,99.0,99.2,108610
36,Banten,0.5,0.3,0.7,0.5,0.4,0.7,0.7,0.5,1.0,98.3,97.9,98.6,31161
51,Bali,1.4,1.1,1.7,0.6,0.4,0.8,0.5,0.4,0.7,97.6,97.2,97.9,11517
52,Nusa Tenggara Barat,1.4,1.1,1.9,1.0,0.7,1.4,0.9,0.6,1.3,96.7,95.9,97.3,13789
53,Nusa Tenggara Timur,9.9,9.3,10.6,10.6,10.0,11.4,1.4,1.2,1.7,78.0,76.9,79.1,13535
61,Kalimantan Barat,1.0,0.8,1.2,1.8,1.5,2.2,0.8,0.6,1.0,96.4,95.9,96.9,14173
62,Kalimantan Tengah,1.6,1.3,2.0,2.7,2.3,3.3,1.7,1.3,2.2,94.0,93.1,94.8,7033
63,Kalimantan Selatan,0.3,0.2,0.4,0.5,0.4,0.7,0.4,0.3,0.6,98.7,98.5,99.0,10566
64,Kalimantan Timur,0.5,0.4,0.7,0.9,0.7,1.1,0.6,0.4,0.8,98.0,97.6,98.4,9985
65,Kalimantan Utara,0.5,0.3,0.9,0.5,0.3,0.8,0.3,0.2,0.6,98.7,98.1,99.1,1851
71,Sulawesi Utara,0.4,0.3,0.6,0.7,0.5,0.9,0.7,0.5,0.8,98.2,97.9,98.5,6921
72,Sulawesi Tengah,0.6,0.5,0.9,0.8,0.6,1.0,0.6,0.4,0.9,97.9,97.4,98.4,7723
73,Sulawesi Selatan,0.4,0.3,0.5,0.5,0.4,0.6,0.6,0.4,0.7,98.6,98.3,98.8,23925
74,Sulawesi Tenggara,0.4,0.3,0.5,0.5,0.3,0.6,0.4,0.3,0.6,98.8,98.5,99.0,6791
75,Gorontalo,0.3,0.2,0.6,0.4,0.3,0.6,0.5,0.3,0.9,98.7,98.3,99.0,3085
76,Sulawesi Barat,0.6,0.4,1.0,0.7,0.5,1.0,0.5,0.3,0.8,98.2,97.6,98.6,3653
82,Maluku,2.4,2.0,2.9,2.9,2.4,3.5,1.2,0.9,1.6,93.4,92.4,94.3,4831
81,Maluku Utara,2.6,2.1,3.2,4.9,4.2,5.7,1.4,1.1,1.8,91.0,89.8,92.1,3325
92,Papua Barat,10.9,8.7,13.5,11.5,9.6,13.8,3.3,2.3,4.7,74.3,70.3,77.9,1418
96,Papua Barat Daya,7.0,5.7,8.6,7.8,6.5,9.4,1.2,0.8,1.8,83.9,81.4,86.2,1551
91,Papua,10.0,8.3,12.2,9.4,7.8,11.2,1.3,0.9,1.9,79.3,75.8,82.4,2446
93,Papua Selatan,9.7,7.4,12.7,7.2,5.8,8.9,2.0,1.3,3.1,81.0,77.1,84.4,1163
94,Papua Tengah,7.7,5.0,11.7,9.9,7.3,13.4,5.2,2.5,10.2,77.2,71.0,82.4,3708
95,Papua Pegunungan,5.8,4.3,7.8,12.5,10.1,15.5,2.9,1.9,4.4,78.7,75.1,82.0,3803
0,INDONESIA,0.8,0.8,0.9,1.1,1.0,1.1,0.7,0.6,0.7,97.4,97.3,97.5,711286
