province_code,province,sweet_consumption_more_than_1_times_per_day,sweet_consumption_1_to_6_times_per_week,sweet_consumption_less_than_3_times_per_month,weighted_n
11,Aceh,48.4,47.4,4.2,16255
12,Sumatera Utara,43.7,48.9,7.4,45584
13,Sumatera Barat,48.4,43.4,8.3,17114
14,Riau,46.5,48.4,5.1,19685
15,Jambi,42.1,53.2,4.7,10955
16,Sumatera Selatan,53.3,42.3,4.4,26003
17,Bengkulu,42.2,49.2,8.5,6210
18,Lampung,49.6,43.0,7.3,27688
19,Kep. Bangka Belitung,33.8,56.8,9.4,4505
21,Kepulauan Riau,37.3,53.2,9.6,6369
31,DKI Jakarta,45.3,44.7,10.0,31861
32,Jawa Barat,48.9,41.1,10.0,148411
33,Jawa Tengah,60.3,32.1,7.6,112057
34,DI Yogyakarta,57.9,31.8,10.3,11225
35,Jawa Timur,41.4,46.1,12.4,124362
36,Banten,44.3,47.7,8.0,36709
51,Bali,19.2,60.0,20.8,13137
52,Nusa Tenggara Barat,38.9,49.5,11.6,16431
53,Nusa Tenggara Timur,44.8,40.2,15.0,16322
61,Kalimantan Barat,45.0,48.7,6.3,16727
62,Kalimantan Tengah,52.2,44.2,3.6,8225
63,Kalimantan Selatan,60.0,35.4,4.6,12523
64,Kalimantan Timur,42.5,47.5,10.0,11651
65,Kalimantan Utara,51.0,45.2,3.8,2162
71,Sulawesi Utara,44.1,46.4,9.5,7994
72,Sulawesi Tengah,42.9,49.1,8.0,9127
73,Sulawesi Selatan,46.5,44.8,8.7,27815
74,Sulawesi Tenggara,43.0,47.8,9.2,8108
75,Gorontalo,40.7,50.9,8.5,3598
76,Sulawesi Barat,49.0,43.8,7.2,4361
82,Maluku,50.6,42.3,7.1,5673
81,Maluku Utara,54.0,40.6,5.4,3955
92,Papua Barat,52.4,40.9,6.7,1674
96,Papua Barat Daya,49.8,40.3,9.8,1808
91,Papua,47.0,44.3,8.7,3058
93,Papua Selatan,40.2,46.6,13.2,1539
94,Papua Tengah,33.0,54.0,12.9,4350
95,Papua Pegunungan,46.8,33.6,19.7,4341
0,INDONESIA,47.5,43.3,9.2,829573
