province_code,province,health_workers,health_workers_95%_CI_lower,health_workers_95%_CI_upper,family_parent_friends,family_parent_friends_95%_CI_lower,family_parent_friends_95%_CI_upper,mass_media,mass_media_95%_CI_lower,mass_media_95%_CI_upper,others,others_95%_CI_lower,others_95%_CI_upper,weighted_n
11,Aceh,56.6,54.3,58.9,9.2,8.1,10.5,32.4,30.2,34.6,1.8,1.4,2.4,3085
12,Sumatera Utara,43.9,41.7,46.2,9.3,8.1,10.8,44.6,42.4,46.9,2.1,1.7,2.7,6743
13,Sumatera Barat,41.8,39.7,44.0,8.7,7.6,10.0,46.0,43.8,48.2,3.5,2.8,4.2,3219
14,Riau,43.4,40.1,46.7,9.2,7.1,11.8,45.3,42.2,48.5,2.1,1.4,3.1,3031
15,Jambi,53.6,50.5,56.8,7.8,6.5,9.2,37.5,34.4,40.8,1.1,0.6,1.8,2028
16,Sumatera Selatan,43.8,41.3,46.4,8.4,7.1,9.8,45.4,42.7,48.1,2.4,1.8,3.2,3203
17,Bengkulu,46.2,42.8,49.6,9.8,8.1,11.9,42.2,38.7,45.7,1.8,1.1,3.1,1079
18,Lampung,52.8,49.9,55.6,8.4,7.0,10.0,36.4,33.8,39.1,2.4,1.8,3.2,4539
19,Kep. Bangka Belitung,35.4,32.1,38.8,12.6,10.6,15.0,50.0,46.1,53.8,2.0,1.4,2.8,981
21,Kepulauan Riau,38.8,34.1,43.8,5.7,4.4,7.4,52.4,47.6,57.2,3.0,2.0,4.5,922
31,DKI Jakarta,30.2,27.3,33.2,4.7,3.5,6.3,61.3,58.2,64.4,3.8,2.7,5.2,5758
32,Jawa Barat,34.8,33.3,36.4,5.9,5.2,6.7,55.6,53.9,57.3,3.7,3.2,4.3,25632
33,Jawa Tengah,43.6,42.3,44.9,9.4,8.7,10.3,42.6,41.3,43.9,4.4,3.9,4.9,27788
34,DI Yogyakarta,38.3,35.8,40.9,6.0,4.9,7.2,50.3,47.6,53.1,5.4,4.2,6.9,3821
35,Jawa Timur,41.4,39.9,42.8,8.2,7.5,9.0,46.2,44.7,47.6,4.2,3.7,4.8,22192
36,Banten,28.5,25.8,31.3,4.6,3.5,6.0,64.5,61.4,67.4,2.4,1.7,3.5,4880
51,Bali,40.3,37.5,43.1,6.5,5.3,7.9,50.4,47.7,53.1,2.8,2.1,3.7,2597
52,Nusa Tenggara Barat,53.9,50.5,57.3,7.4,6.2,8.9,34.4,31.0,37.9,4.3,3.4,5.4,2979
53,Nusa Tenggara Timur,58.5,56.6,60.4,9.1,8.1,10.1,28.3,26.3,30.3,4.2,3.5,5.0,4710
61,Kalimantan Barat,43.8,40.7,46.9,10.4,8.6,12.4,43.6,40.5,46.8,2.2,1.6,2.9,3053
62,Kalimantan Tengah,41.2,37.5,44.9,10.2,7.9,13.1,45.1,41.3,48.9,3.5,2.4,5.2,1336
63,Kalimantan Selatan,46.4,43.6,49.4,9.6,8.3,11.0,41.4,38.4,44.5,2.6,1.9,3.4,2436
64,Kalimantan Timur,36.7,33.1,40.4,8.6,6.7,11.0,51.9,48.0,55.8,2.8,2.1,3.8,2397
65,Kalimantan Utara,62.2,57.0,67.2,6.6,4.8,8.9,29.3,24.6,34.5,1.9,1.0,3.6,397
71,Sulawesi Utara,47.0,43.5,50.5,8.9,7.4,10.7,42.0,38.4,45.7,2.1,1.6,2.8,1513
72,Sulawesi Tengah,54.1,51.1,57.0,9.3,8.1,10.6,32.3,29.7,35.0,4.4,3.4,5.7,1951
73,Sulawesi Selatan,51.1,48.9,53.3,8.7,7.6,9.9,35.7,33.4,38.0,4.5,3.7,5.5,5064
74,Sulawesi Tenggara,50.5,47.6,53.3,8.4,7.2,9.8,37.7,34.8,40.6,3.5,2.7,4.4,1365
75,Gorontalo,56.4,52.5,60.3,7.7,6.0,9.7,31.8,28.3,35.5,4.1,2.9,5.9,571
76,Sulawesi Barat,62.2,58.1,66.0,7.7,6.2,9.5,25.6,22.3,29.2,4.6,3.2,6.5,777
82,Maluku,53.5,49.1,57.9,8.5,6.7,10.7,34.6,30.3,39.3,3.3,2.3,4.7,941
81,Maluku Utara,60.0,56.4,63.6,8.6,6.9,10.7,28.2,25.0,31.6,3.1,1.8,5.4,438
92,Papua Barat,58.2,51.1,65.0,5.1,3.4,7.6,33.8,27.8,40.4,2.8,1.9,4.3,209
96,Papua Barat Daya,49.8,44.0,55.6,5.7,4.0,8.0,40.2,34.1,46.7,4.3,2.7,6.8,281
91,Papua,45.5,40.1,51.0,4.4,2.8,6.8,43.2,37.7,48.8,7.0,4.2,11.2,407
93,Papua Selatan,48.1,38.8,57.6,6.9,4.4,10.8,40.4,32.2,49.2,4.5,1.8,11.1,114
94,Papua Tengah,39.9,20.0,63.8,46.1,22.7,71.4,10.0,5.5,17.3,4.0,1.9,8.2,418
95,Papua Pegunungan,59.5,50.2,68.1,5.9,3.3,10.4,31.4,21.7,43.0,3.3,1.1,9.1,213
0,INDONESIA,42.6,42.1,43.1,8.1,7.8,8.4,45.7,45.2,46.3,3.6,3.4,3.8,153068
