province_code,province,salty_consumption_more_than_1_times_per_day,salty_consumption_1_to_6_times_per_week,salty_consumption_less_than_3_times_per_month,weighted_n
11,Aceh,17.6,58.0,24.4,16255
12,Sumatera Utara,19.2,57.4,23.4,45584
13,Sumatera Barat,14.7,56.9,28.4,17114
14,Riau,24.1,62.7,13.1,19685
15,Jambi,27.1,63.9,9.0,10955
16,Sumatera Selatan,33.3,59.0,7.7,26003
17,Bengkulu,36.0,55.2,8.8,6210
18,Lampung,30.4,56.8,12.8,27688
19,Kep. Bangka Belitung,14.2,65.1,20.7,4505
21,Kepulauan Riau,18.0,64.9,17.1,6369
31,DKI Jakarta,26.9,54.5,18.6,31861
32,Jawa Barat,46.5,43.6,9.9,148411
33,Jawa Tengah,39.1,46.9,14.0,112057
34,DI Yogyakarta,31.6,51.4,17.0,11225
35,Jawa Timur,28.0,53.9,18.1,124362
36,Banten,33.9,55.6,10.5,36709
51,Bali,11.0,62.2,26.7,13137
52,Nusa Tenggara Barat,13.3,58.4,28.2,16431
53,Nusa Tenggara Timur,11.6,46.3,42.1,16322
61,Kalimantan Barat,26.2,63.0,10.8,16727
62,Kalimantan Tengah,25.8,62.2,12.0,8225
63,Kalimantan Selatan,29.1,57.5,13.4,12523
64,Kalimantan Timur,24.4,56.2,19.4,11651
65,Kalimantan Utara,33.2,55.6,11.2,2162
71,Sulawesi Utara,13.3,47.5,39.3,7994
72,Sulawesi Tengah,18.8,52.9,28.3,9127
73,Sulawesi Selatan,23.1,56.5,20.4,27815
74,Sulawesi Tenggara,19.2,46.9,34.0,8108
75,Gorontalo,19.9,44.7,35.4,3598
76,Sulawesi Barat,28.0,58.8,13.1,4361
82,Maluku,17.8,46.3,35.9,5673
81,Maluku Utara,37.2,42.0,20.8,3955
92,Papua Barat,22.3,43.5,34.3,1674
96,Papua Barat Daya,18.3,36.7,45.0,1808
91,Papua,14.2,42.7,43.1,3058
93,Papua Selatan,14.7,51.1,34.1,1539
94,Papua Tengah,14.5,46.8,38.7,4350
95,Papua Pegunungan,20.5,21.9,57.6,4341
0,INDONESIA,30.4,52.2,17.4,829573
