province_code,province,processed_food_consumption_more_than_1_times_per_day,processed_food_consumption_1_to_6_times_per_week,processed_food_consumption_less_than_3_times_per_month,weighted_n
11,Aceh,7.9,37.8,54.3,16255
12,Sumatera Utara,5.3,44.7,49.9,45584
13,Sumatera Barat,5.2,48.6,46.2,17114
14,Riau,5.4,54.6,40.0,19685
15,Jambi,4.5,53.3,42.1,10955
16,Sumatera Selatan,7.9,47.5,44.6,26003
17,Bengkulu,7.4,51.0,41.6,6210
18,Lampung,5.0,44.6,50.4,27688
19,Kep. Bangka Belitung,6.5,42.4,51.2,4505
21,Kepulauan Riau,12.1,55.3,32.6,6369
31,DKI Jakarta,8.6,51.3,40.1,31861
32,Jawa Barat,8.6,50.9,40.5,148411
33,Jawa Tengah,5.4,43.1,51.6,112057
34,DI Yogyakarta,6.7,42.0,51.4,11225
35,Jawa Timur,5.2,41.0,53.7,124362
36,Banten,9.4,56.8,33.7,36709
51,Bali,11.1,49.7,39.3,13137
52,Nusa Tenggara Barat,9.8,46.2,44.0,16431
53,Nusa Tenggara Timur,5.8,29.9,64.3,16322
61,Kalimantan Barat,7.3,51.5,41.2,16727
62,Kalimantan Tengah,9.9,58.7,31.4,8225
63,Kalimantan Selatan,11.3,45.6,43.0,12523
64,Kalimantan Timur,12.0,40.5,47.4,11651
65,Kalimantan Utara,12.9,50.7,36.5,2162
71,Sulawesi Utara,8.5,43.2,48.3,7994
72,Sulawesi Tengah,10.1,35.9,53.9,9127
73,Sulawesi Selatan,16.0,37.9,46.1,27815
74,Sulawesi Tenggara,15.6,27.6,56.8,8108
75,Gorontalo,8.7,24.5,66.8,3598
76,Sulawesi Barat,16.3,35.4,48.4,4361
82,Maluku,19.0,25.2,55.8,5673
81,Maluku Utara,18.9,30.3,50.8,3955
92,Papua Barat,11.5,45.1,43.3,1674
96,Papua Barat Daya,11.2,34.1,54.7,1808
91,Papua,10.0,47.0,42.9,3058
93,Papua Selatan,12.7,48.9,38.4,1539
94,Papua Tengah,12.3,47.9,39.8,4350
95,Papua Pegunungan,13.6,32.0,54.4,4341
0,INDONESIA,7.8,45.4,46.7,829573
