province_code,province,flavor_enhancer_consumption_more_than_1_times_per_day,flavor_enhancer_consumption_1_to_6_times_per_week,flavor_enhancer_consumption_less_than_3_times_per_month,weighted_n
11,Aceh,30.1,34.7,35.3,16255
12,Sumatera Utara,38.0,29.9,32.2,45584
13,Sumatera Barat,54.8,25.7,19.5,17114
14,Riau,69.8,21.5,8.7,19685
15,Jambi,57.0,31.5,11.5,10955
16,Sumatera Selatan,73.3,17.3,9.3,26003
17,Bengkulu,79.0,15.7,5.4,6210
18,Lampung,76.4,17.7,6.0,27688
19,Kep. Bangka Belitung,69.4,19.5,11.1,4505
21,Kepulauan Riau,73.9,19.6,6.5,6369
31,DKI Jakarta,79.0,15.7,5.3,31861
32,Jawa Barat,86.5,10.2,3.3,148411
33,Jawa Tengah,84.9,10.0,5.1,112057
34,DI Yogyakarta,78.0,12.8,9.3,11225
35,Jawa Timur,74.6,15.1,10.3,124362
36,Banten,79.1,16.0,5.0,36709
51,Bali,67.8,26.1,6.1,13137
52,Nusa Tenggara Barat,78.6,15.4,6.0,16431
53,Nusa Tenggara Timur,71.2,15.0,13.8,16322
61,Kalimantan Barat,72.7,20.9,6.4,16727
62,Kalimantan Tengah,62.1,30.9,7.0,8225
63,Kalimantan Selatan,71.6,22.3,6.1,12523
64,Kalimantan Timur,76.4,17.3,6.3,11651
65,Kalimantan Utara,64.7,26.3,9.0,2162
71,Sulawesi Utara,61.8,26.1,12.1,7994
72,Sulawesi Tengah,73.1,17.4,9.5,9127
73,Sulawesi Selatan,73.4,18.0,8.6,27815
74,Sulawesi Tenggara,69.5,18.1,12.4,8108
75,Gorontalo,71.6,18.2,10.3,3598
76,Sulawesi Barat,65.5,23.8,10.7,4361
82,Maluku,71.4,19.0,9.7,5673
81,Maluku Utara,63.8,27.1,9.1,3955
92,Papua Barat,64.3,19.7,16.0,1674
96,Papua Barat Daya,70.1,14.9,14.9,1808
91,Papua,55.1,27.1,17.8,3058
93,Papua Selatan,64.1,22.6,13.3,1539
94,Papua Tengah,37.7,39.1,23.1,4350
95,Papua Pegunungan,51.7,17.9,30.4,4341
0,INDONESIA,73.8,16.8,9.4,829573
