province_code,province,soft_drink_consumption_more_than_1_times_per_day,soft_drink_consumption_1_to_6_times_per_week,soft_drink_consumption_less_than_3_times_per_month,weighted_n
11,Aceh,2.5,17.5,80.0,16255
12,Sumatera Utara,2.6,14.8,82.6,45584
13,Sumatera Barat,2.3,12.2,85.5,17114
14,Riau,3.1,15.2,81.6,19685
15,Jambi,2.0,16.9,81.2,10955
16,Sumatera Selatan,2.6,11.6,85.8,26003
17,Bengkulu,3.3,13.1,83.6,6210
18,Lampung,3.2,12.2,84.6,27688
19,Kep. Bangka Belitung,2.3,16.3,81.4,4505
21,Kepulauan Riau,2.1,14.3,83.6,6369
31,DKI Jakarta,1.5,11.1,87.3,31861
32,Jawa Barat,2.6,11.6,85.8,148411
33,Jawa Tengah,1.6,7.2,91.2,112057
34,DI Yogyakarta,1.3,5.4,93.3,11225
35,Jawa Timur,1.3,6.4,92.3,124362
36,Banten,2.4,12.6,85.1,36709
51,Bali,1.7,17.2,81.1,13137
52,Nusa Tenggara Barat,2.7,14.7,82.7,16431
53,Nusa Tenggara Timur,3.4,10.8,85.8,16322
61,Kalimantan Barat,2.4,19.8,77.8,16727
62,Kalimantan Tengah,3.0,25.4,71.7,8225
63,Kalimantan Selatan,2.6,13.2,84.3,12523
64,Kalimantan Timur,2.9,11.6,85.5,11651
65,Kalimantan Utara,2.4,17.2,80.4,2162
71,Sulawesi Utara,3.8,23.2,72.9,7994
72,Sulawesi Tengah,4.7,16.3,79.0,9127
73,Sulawesi Selatan,3.5,15.9,80.7,27815
74,Sulawesi Tenggara,5.2,15.6,79.3,8108
75,Gorontalo,4.8,22.9,72.3,3598
76,Sulawesi Barat,3.5,13.9,82.7,4361
82,Maluku,6.1,19.5,74.4,5673
81,Maluku Utara,10.0,27.5,62.5,3955
92,Papua Barat,6.2,28.0,65.7,1674
96,Papua Barat Daya,5.6,14.0,80.4,1808
91,Papua,4.9,26.0,69.1,3058
93,Papua Selatan,5.4,22.6,72.0,1539
94,Papua Tengah,6.8,28.7,64.5,4350
95,Papua Pegunungan,8.9,13.9,77.2,4341
0,INDONESIA,2.5,11.9,85.6,829573
