province_code,province,instant_noodle_consumption_more_than_1_times_per_day,instant_noodle_consumption_1_to_6_times_per_week,instant_noodle_consumption_less_than_3_times_per_month,weighted_n
11,Aceh,9.6,63.3,27.1,16255
12,Sumatera Utara,4.9,58.8,36.3,45584
13,Sumatera Barat,3.3,52.0,44.7,17114
14,Riau,5.1,64.7,30.2,19685
15,Jambi,5.3,63.6,31.0,10955
16,Sumatera Selatan,9.5,72.0,18.5,26003
17,Bengkulu,5.0,61.5,33.5,6210
18,Lampung,4.5,59.5,36.0,27688
19,Kep. Bangka Belitung,5.5,64.6,29.9,4505
21,Kepulauan Riau,3.8,60.4,35.8,6369
31,DKI Jakarta,4.9,64.9,30.2,31861
32,Jawa Barat,7.3,66.1,26.7,148411
33,Jawa Tengah,3.1,57.3,39.6,112057
34,DI Yogyakarta,2.5,56.5,41.0,11225
35,Jawa Timur,2.9,52.5,44.6,124362
36,Banten,6.2,63.5,30.3,36709
51,Bali,3.2,57.7,39.0,13137
52,Nusa Tenggara Barat,7.6,65.2,27.1,16431
53,Nusa Tenggara Timur,7.4,57.8,34.8,16322
61,Kalimantan Barat,6.5,68.1,25.5,16727
62,Kalimantan Tengah,8.6,67.6,23.9,8225
63,Kalimantan Selatan,6.5,66.3,27.2,12523
64,Kalimantan Timur,7.8,64.1,28.1,11651
65,Kalimantan Utara,8.4,65.2,26.4,2162
71,Sulawesi Utara,5.3,53.0,41.7,7994
72,Sulawesi Tengah,8.0,63.2,28.8,9127
73,Sulawesi Selatan,11.4,63.8,24.8,27815
74,Sulawesi Tenggara,15.2,60.9,24.0,8108
75,Gorontalo,5.0,52.9,42.0,3598
76,Sulawesi Barat,9.4,63.4,27.2,4361
82,Maluku,12.3,58.6,29.0,5673
81,Maluku Utara,18.2,60.3,21.5,3955
92,Papua Barat,13.6,58.3,28.1,1674
96,Papua Barat Daya,9.9,59.1,31.0,1808
91,Papua,11.7,60.5,27.8,3058
93,Papua Selatan,15.4,58.1,26.5,1539
94,Papua Tengah,16.0,58.0,26.0,4350
95,Papua Pegunungan,17.3,45.0,37.7,4341
0,INDONESIA,5.9,60.7,33.4,829573
