province_code,province,risk_of_suffering_from_NCD,decrease_level_of_intelligence,stunted_physical_growth,hampered_brain_development,low_productivity_level,has_no_impact,weighted_n
11,Aceh,30.3,60.3,72.7,47.5,24.0,14.8,3085
12,Sumatera Utara,30.5,63.3,83.6,52.2,28.0,14.2,6743
13,Sumatera Barat,31.4,58.3,78.9,48.5,27.0,17.2,3219
14,Riau,34.1,63.5,81.9,50.4,27.4,13.4,3031
15,Jambi,42.0,73.6,85.6,60.5,36.1,19.5,2028
16,Sumatera Selatan,25.9,60.8,81.9,47.2,20.7,10.1,3203
17,Bengkulu,31.8,64.5,81.0,55.0,28.3,13.1,1079
18,Lampung,25.0,55.6,75.2,43.8,20.6,10.5,4539
19,Kep. Bangka Belitung,33.0,66.0,85.5,57.7,31.9,14.1,981
21,Kepulauan Riau,22.4,57.0,78.3,47.5,23.9,6.8,922
31,DKI Jakarta,18.6,53.9,79.2,50.9,21.2,4.8,5758
32,Jawa Barat,17.0,40.4,72.5,39.7,19.5,6.1,25632
33,Jawa Tengah,15.5,44.1,73.2,37.2,16.0,4.7,27788
34,DI Yogyakarta,15.3,48.9,77.7,47.2,18.9,2.4,3821
35,Jawa Timur,20.9,47.6,75.1,43.8,21.0,7.3,22192
36,Banten,20.3,46.6,74.6,41.6,21.5,7.0,4880
51,Bali,31.3,56.2,82.3,52.9,26.1,10.0,2597
52,Nusa Tenggara Barat,15.9,38.9,70.9,36.4,16.9,7.9,2979
53,Nusa Tenggara Timur,25.1,49.5,71.7,41.2,19.6,12.3,4710
61,Kalimantan Barat,31.6,59.6,85.2,51.6,29.2,9.7,3053
62,Kalimantan Tengah,35.0,61.7,80.7,48.8,30.0,16.1,1336
63,Kalimantan Selatan,24.9,53.4,80.5,40.7,20.6,9.2,2436
64,Kalimantan Timur,24.5,52.0,77.7,48.4,25.7,10.2,2397
65,Kalimantan Utara,38.5,64.0,85.2,57.8,30.5,8.8,397
71,Sulawesi Utara,28.2,55.1,83.8,48.6,23.5,11.3,1513
72,Sulawesi Tengah,17.7,37.0,66.4,30.9,15.7,7.9,1951
73,Sulawesi Selatan,20.7,45.6,69.8,37.7,18.5,11.1,5064
74,Sulawesi Tenggara,22.5,49.7,73.6,42.9,21.2,11.0,1365
75,Gorontalo,22.8,46.3,75.2,44.5,20.6,9.6,571
76,Sulawesi Barat,19.3,44.7,65.4,35.4,15.9,9.5,777
82,Maluku,21.6,49.2,78.9,42.9,19.0,9.3,941
81,Maluku Utara,25.7,54.9,76.4,53.6,28.7,17.4,438
92,Papua Barat,48.4,71.4,88.6,59.2,45.2,23.2,209
96,Papua Barat Daya,24.1,47.3,75.6,42.1,20.5,7.7,281
91,Papua,46.4,67.7,89.0,65.9,39.2,30.8,407
93,Papua Selatan,25.7,57.9,81.4,56.2,24.1,15.3,114
94,Papua Tengah,61.9,80.1,85.5,76.3,70.0,34.7,418
95,Papua Pegunungan,47.9,77.3,91.6,68.6,52.6,37.1,213
0,INDONESIA,21.8,49.4,75.7,43.4,21.2,8.5,153068
