province_code,province,census_block_target,census_block_visited,census_block_response_rate,household_target,household_visited,household_response_rate,household_member_visited,household_member_interview_measurement
11,Aceh,1460,1460,100.0,14600,13616,93.26,50273,38126
12,Sumatera Utara,2185,2184,99.95,21840,20384,93.29,69841,57317
13,Sumatera Barat,1223,1222,99.92,12220,11448,93.61,41564,35497
14,Riau,836,836,100.0,8360,7840,93.78,28056,22820
15,Jambi,735,735,100.0,7350,6981,94.98,22472,18712
16,Sumatera Selatan,1168,1168,100.0,11674,11444,97.98,38921,34131
17,Bengkulu,636,636,100.0,6358,6010,94.5,19661,16734
18,Lampung,1047,1047,100.0,10470,10060,96.08,33225,28115
19,Kep. Bangka Belitung,449,449,100.0,4490,4329,96.41,14409,13179
21,Kepulauan Riau,443,443,100.0,4427,4106,92.69,13647,11795
31,DKI Jakarta,451,450,99.78,4495,4181,92.71,14128,12580
32,Jawa Barat,2117,2117,100.0,21170,19584,92.51,63878,52305
33,Jawa Tengah,2638,2638,100.0,26380,25399,96.28,84398,73358
34,DI Yogyakarta,369,369,100.0,3690,3561,96.5,11885,10843
35,Jawa Timur,2845,2845,100.0,28450,27393,96.28,85142,75947
36,Banten,618,617,99.84,6180,5669,91.73,20097,15889
51,Bali,620,620,100.0,6197,6018,97.06,21167,19567
52,Nusa Tenggara Barat,695,695,100.0,6950,6516,93.76,21514,19417
53,Nusa Tenggara Timur,1397,1397,100.0,13970,13069,93.55,50151,36283
61,Kalimantan Barat,945,945,100.0,9444,8269,87.5,29232,20121
62,Kalimantan Tengah,891,891,100.0,8907,7399,83.04,24765,17134
63,Kalimantan Selatan,875,875,100.0,8745,8125,92.86,26090,22049
64,Kalimantan Timur,665,665,100.0,6650,5565,83.68,20162,15854
65,Kalimantan Utara,298,294,98.66,2940,2690,90.27,9702,6464
71,Sulawesi Utara,931,931,100.0,9308,8413,90.37,27353,20714
72,Sulawesi Tengah,832,832,100.0,8320,7606,91.42,26750,20012
73,Sulawesi Selatan,1601,1601,100.0,16005,15081,94.2,53806,46514
74,Sulawesi Tenggara,1037,1037,100.0,10370,9363,90.29,34110,27477
75,Gorontalo,381,381,100.0,3810,3362,88.24,11766,9676
76,Sulawesi Barat,381,381,100.0,3810,3563,93.52,13267,9964
82,Maluku,670,670,100.0,6700,6112,91.22,21626,16751
81,Maluku Utara,596,596,100.0,5960,5360,89.93,18916,14199
92,Papua Barat,399,387,96.99,3811,3219,80.68,11879,7935
96,Papua Barat Daya,343,343,100.0,3422,2779,81.02,10260,6524
91,Papua,519,505,97.3,5068,4437,85.49,16482,9626
93,Papua Selatan,241,241,100.0,2410,1835,76.14,6755,4298
94,Papua Tengah,488,295,60.45,3036,2588,53.03,8536,5408
95,Papua Pegunungan,475,267,56.21,2568,2272,47.83,7072,4196
0,INDONESIA,34500,34065,98.74,340555,315646,91.49,1082958,877531
