province_code,province,census_block_target,census_block_visited,census_block_response_rate,household_target,household_visited,household_response_rate,household_member_visited,household_member_measured
11,Aceh,1460,1460,100.0,13941,12982,93.12,15152,14331
12,Sumatera Utara,2184,2180,99.82,20146,19037,94.5,23203,22145
13,Sumatera Barat,1222,1221,99.92,11452,10744,93.82,13139,12595
14,Riau,836,836,100.0,7816,7353,94.08,8549,8212
15,Jambi,735,733,99.73,6057,5782,95.46,6171,6042
16,Sumatera Selatan,1168,1166,99.83,10732,10552,98.32,11773,11568
17,Bengkulu,636,635,99.84,5430,5159,95.01,5837,5499
18,Lampung,1047,1045,99.81,9545,9160,95.97,10055,9729
19,Kep. Bangka Belitung,449,449,100.0,4027,3872,96.15,4348,4192
21,Kepulauan Riau,443,442,99.77,3806,3569,93.77,4158,3957
31,DKI Jakarta,451,444,98.45,3580,3420,95.53,4057,3894
32,Jawa Barat,2117,2114,99.86,20385,19098,93.69,21958,20902
33,Jawa Tengah,2638,2636,99.92,25133,24237,96.43,27335,26591
34,DI Yogyakarta,369,367,99.46,3185,3101,97.36,3505,3423
35,Jawa Timur,2845,2840,99.82,25894,24637,95.15,27324,26427
36,Banten,618,614,99.35,5819,5442,93.52,6224,5856
51,Bali,620,617,99.52,5249,5102,97.2,6011,5887
52,Nusa Tenggara Barat,695,695,100.0,6693,6288,93.95,7184,6867
53,Nusa Tenggara Timur,1397,1396,99.93,13690,12611,92.12,15399,14088
61,Kalimantan Barat,945,937,99.15,8194,7100,86.65,8328,7621
62,Kalimantan Tengah,891,872,97.87,6662,5388,80.88,6371,5703
63,Kalimantan Selatan,875,869,99.31,7513,6956,92.59,7799,7408
64,Kalimantan Timur,665,656,98.65,5705,4968,87.08,6023,5621
65,Kalimantan Utara,294,293,99.66,2454,2309,94.09,2685,2570
71,Sulawesi Utara,931,920,98.82,7072,6228,88.07,7261,6695
72,Sulawesi Tengah,832,829,99.64,7518,6929,92.17,8124,7728
73,Sulawesi Selatan,1601,1600,99.94,14974,14031,93.7,16906,16030
74,Sulawesi Tenggara,1037,1036,99.9,9789,8806,89.96,10986,10217
75,Gorontalo,381,381,100.0,3583,3107,86.72,3943,3562
76,Sulawesi Barat,381,381,100.0,3589,3197,89.08,3930,3581
82,Maluku,670,668,99.7,6149,5513,89.66,6346,5913
81,Maluku Utara,596,596,100.0,5276,4742,89.88,5459,5113
92,Papua Barat,387,378,97.67,3002,2466,82.15,3101,2801
96,Papua Barat Daya,343,327,95.34,2885,2214,76.74,4408,2584
91,Papua,505,503,99.6,3901,3293,84.41,4012,3649
93,Papua Selatan,241,238,98.76,2126,1619,76.15,2265,1817
94,Papua Tengah,303,285,94.06,2374,1924,81.04,2182,2023
95,Papua Pegunungan,268,247,92.16,1552,1241,79.96,1459,1320
0,INDONESIA,34076,33906,99.5,306898,284177,92.6,332970,314161
