province_code,province,lowes_q1,lower_middle_q2,middle_q3,upper_middle_q4,highest_q5
11,Aceh,18.0,23.0,20.5,19.7,18.9
12,Sumatera Utara,29.5,19.8,19.8,15.8,15.1
13,Sumatera Barat,14.5,22.4,17.6,23.8,21.8
14,Riau,9.2,18.4,26.6,23.4,22.4
15,Jambi,11.1,21.5,18.3,24.1,25.0
16,Sumatera Selatan,20.9,22.9,20.9,17.1,18.1
17,Bengkulu,15.1,20.5,20.5,27.2,16.8
18,Lampung,20.7,27.0,21.3,16.7,14.3
19,Kep. Bangka Belitung,4.4,9.8,19.7,27.6,38.5
21,Kepulauan Riau,10.3,13.4,15.7,26.4,34.1
31,DKI Jakarta,1.2,6.2,16.7,34.1,41.9
32,Jawa Barat,9.7,14.5,22.5,28.1,25.3
33,Jawa Tengah,16.3,21.7,22.9,20.6,18.6
34,DI Yogyakarta,12.0,19.9,15.2,25.7,27.2
35,Jawa Timur,15.9,20.3,23.3,21.8,18.7
36,Banten,8.1,11.7,20.6,26.9,32.8
51,Bali,6.7,16.7,21.7,27.3,27.5
52,Nusa Tenggara Barat,24.5,21.6,22.7,18.9,12.3
53,Nusa Tenggara Timur,64.4,12.6,7.0,7.3,8.7
61,Kalimantan Barat,17.4,18.9,20.0,21.0,22.7
62,Kalimantan Tengah,20.6,19.2,21.2,17.5,21.5
63,Kalimantan Selatan,24.5,26.3,18.5,13.3,17.5
64,Kalimantan Timur,10.3,13.4,17.8,19.3,39.3
65,Kalimantan Utara,8.9,24.4,15.6,15.6,35.6
71,Sulawesi Utara,23.4,22.0,21.4,17.3,15.9
72,Sulawesi Tengah,30.3,17.0,15.5,14.2,23.0
73,Sulawesi Selatan,21.2,25.3,19.6,16.6,17.2
74,Sulawesi Tenggara,27.3,22.6,20.0,17.3,12.7
75,Gorontalo,23.5,26.1,19.9,18.1,12.4
76,Sulawesi Barat,33.3,16.3,14.3,17.4,18.6
82,Maluku,38.1,17.2,18.3,13.6,12.8
81,Maluku Utara,25.4,15.2,19.7,21.3,18.4
92,Papua Barat,21.7,15.9,23.2,21.7,17.4
96,Papua Barat Daya,35.8,18.9,26.4,9.4,9.4
91,Papua,17.7,27.4,16.1,19.4,19.4
93,Papua Selatan,28.0,12.0,12.0,16.0,32.0
94,Papua Tengah,17.0,14.9,23.4,14.9,29.8
95,Papua Pegunungan,0.0,50.0,0.0,50.0,0.0
0,INDONESIA,20.1,19.9,20.0,20.0,20.0
