province_code,province,puskesmas,independent_clinic,hospital,none,weighted_n
11,Aceh,63.3,29.3,4.0,3.4,5756
12,Sumatera Utara,38.2,44.4,5.1,12.3,15886
13,Sumatera Barat,49.6,39.0,6.2,5.1,6043
14,Riau,34.9,49.5,7.0,8.6,7052
15,Jambi,53.3,38.5,3.2,5.1,4051
16,Sumatera Selatan,40.6,47.9,5.7,5.8,9402
17,Bengkulu,46.4,42.7,4.1,6.9,2323
18,Lampung,37.4,52.7,3.8,6.2,10424
19,Kep. Bangka Belitung,39.5,38.6,7.9,14.0,1708
21,Kepulauan Riau,33.5,46.1,9.5,11.0,2514
31,DKI Jakarta,46.7,27.6,15.4,10.3,12318
32,Jawa Barat,37.6,46.8,8.2,7.4,58514
33,Jawa Tengah,38.3,44.5,7.3,9.9,44459
34,DI Yogyakarta,40.1,35.0,15.8,9.1,4957
35,Jawa Timur,32.4,46.4,7.2,14.0,50591
36,Banten,37.6,48.0,8.3,6.1,13333
51,Bali,43.4,43.2,9.4,4.0,5149
52,Nusa Tenggara Barat,60.4,22.1,4.4,13.1,6849
53,Nusa Tenggara Timur,72.7,10.2,5.2,11.9,5335
61,Kalimantan Barat,53.1,35.8,3.8,7.3,5784
62,Kalimantan Tengah,54.0,26.3,4.0,15.7,3178
63,Kalimantan Selatan,52.1,25.5,5.5,16.9,5023
64,Kalimantan Timur,52.7,29.9,9.8,7.6,4320
65,Kalimantan Utara,53.7,23.3,7.3,15.7,729
71,Sulawesi Utara,64.3,19.5,7.6,8.6,3031
72,Sulawesi Tengah,62.0,11.7,4.5,21.7,3216
73,Sulawesi Selatan,67.4,16.7,5.1,10.8,9484
74,Sulawesi Tenggara,68.9,8.7,5.6,16.7,2733
75,Gorontalo,60.3,29.6,3.2,6.9,1260
76,Sulawesi Barat,69.5,10.0,3.0,17.6,1467
82,Maluku,61.8,10.8,3.5,23.9,1753
81,Maluku Utara,67.9,6.7,3.9,21.5,1222
92,Papua Barat,72.9,9.7,4.3,13.1,563
96,Papua Barat Daya,77.8,10.7,4.7,6.8,599
91,Papua,70.9,16.4,9.0,3.8,1029
93,Papua Selatan,75.4,12.7,5.2,6.6,546
94,Papua Tengah,70.9,9.0,8.1,12.0,1528
95,Papua Pegunungan,81.4,2.3,5.1,11.2,1516
0,INDONESIA,43.2,39.6,7.2,10.0,315646
