province_code,province,easy_access,comprehensive_facilities,free_service_costs,communicative_health_workers,comfortable_room,quick_precise_accurate_services,services_meet_expectation,weighted_n
11,Aceh,97.2,67.9,72.6,87.8,87.1,85.7,85.1,1325
12,Sumatera Utara,97.5,62.4,75.6,80.9,74.3,78.3,75.5,5546
13,Sumatera Barat,98.1,65.0,81.3,86.6,80.4,84.6,84.9,1856
14,Riau,97.4,60.9,76.5,86.2,80.6,79.2,80.2,2746
15,Jambi,98.0,55.0,81.9,89.9,79.8,82.6,80.5,1226
16,Sumatera Selatan,98.5,70.3,79.5,89.5,85.9,87.0,86.2,3544
17,Bengkulu,97.0,55.8,65.4,76.3,72.3,73.7,76.1,781
18,Lampung,96.5,69.4,75.6,82.1,77.8,77.7,78.7,4318
19,Kep. Bangka Belitung,94.1,64.2,71.8,80.2,77.8,79.0,77.4,518
21,Kepulauan Riau,97.6,77.2,82.9,92.7,88.6,89.5,93.6,911
31,DKI Jakarta,95.4,76.1,75.5,90.0,89.3,90.8,85.7,2674
32,Jawa Barat,96.7,77.0,81.7,88.7,87.6,87.0,86.9,21539
33,Jawa Tengah,97.4,71.1,81.4,87.7,84.0,85.4,86.8,15555
34,DI Yogyakarta,98.6,78.5,86.6,94.2,92.6,92.3,94.2,1366
35,Jawa Timur,95.4,61.8,75.7,82.1,74.3,77.7,81.5,18452
36,Banten,97.5,75.3,80.1,86.3,86.2,86.1,84.3,5032
51,Bali,97.5,73.8,78.7,89.5,87.7,90.1,90.5,1751
52,Nusa Tenggara Barat,96.1,63.8,68.5,77.8,77.6,75.5,75.5,1192
53,Nusa Tenggara Timur,93.3,67.2,67.3,86.3,83.6,88.7,87.1,427
61,Kalimantan Barat,96.8,49.1,66.7,82.2,73.0,79.6,81.3,1627
62,Kalimantan Tengah,96.4,60.6,76.8,85.0,74.1,78.8,80.5,657
63,Kalimantan Selatan,95.6,63.2,70.2,77.4,72.6,74.9,75.3,1009
64,Kalimantan Timur,97.0,79.7,76.9,85.7,84.7,82.7,83.9,1016
65,Kalimantan Utara,96.1,78.6,74.1,91.5,87.7,83.5,84.2,134
71,Sulawesi Utara,94.2,60.9,70.4,83.1,80.3,82.5,80.9,466
72,Sulawesi Tengah,94.8,64.5,70.6,76.2,74.0,75.9,71.8,297
73,Sulawesi Selatan,95.8,75.4,75.9,84.4,82.4,82.6,85.6,1249
74,Sulawesi Tenggara,94.2,73.3,67.4,84.8,85.3,85.8,90.2,187
75,Gorontalo,96.0,70.4,80.8,89.3,86.7,90.7,90.4,293
76,Sulawesi Barat,94.1,62.2,78.5,84.7,81.5,81.8,82.3,115
82,Maluku,96.3,68.2,72.3,92.0,87.5,88.7,91.0,148
81,Maluku Utara,94.6,77.9,74.9,83.1,87.3,83.1,86.5,64
92,Papua Barat,91.5,73.9,57.9,91.2,82.1,90.9,88.3,43
96,Papua Barat Daya,92.2,73.1,67.0,83.8,79.0,82.3,82.6,51
91,Papua,94.1,72.1,60.3,84.9,79.9,86.7,85.9,133
93,Papua Selatan,96.3,70.6,69.5,84.5,82.2,82.3,80.1,55
94,Papua Tengah,88.8,82.4,55.6,87.5,82.3,87.5,86.6,109
95,Papua Pegunungan,42.3,45.1,64.0,61.4,60.0,85.5,84.8,27
0,INDONESIA,96.7,69.3,78.2,85.8,81.9,83.2,83.9,98438
