province_code,province,ukbm,public_place,others,weighted_n
11,Aceh,6.6,88.7,4.7,61
12,Sumatera Utara,3.9,85.9,10.2,283
13,Sumatera Barat,2.1,92.5,5.4,267
14,Riau,4.6,80.8,14.6,163
15,Jambi,8.1,83.6,8.4,77
16,Sumatera Selatan,1.7,90.7,7.6,197
17,Bengkulu,7.2,89.8,3.0,77
18,Lampung,2.0,83.5,14.5,321
19,Kep. Bangka Belitung,2.1,91.8,6.1,89
21,Kepulauan Riau,3.1,92.7,4.1,186
31,DKI Jakarta,1.0,88.3,10.7,1531
32,Jawa Barat,3.4,80.6,16.0,4427
33,Jawa Tengah,3.2,82.3,14.6,2024
34,DI Yogyakarta,2.0,83.9,14.1,300
35,Jawa Timur,4.3,77.8,17.9,2415
36,Banten,5.5,83.0,11.5,958
51,Bali,2.1,89.3,8.6,339
52,Nusa Tenggara Barat,5.3,77.5,17.2,201
53,Nusa Tenggara Timur,5.0,87.8,7.2,234
61,Kalimantan Barat,4.0,83.0,13.0,126
62,Kalimantan Tengah,1.3,86.0,12.7,50
63,Kalimantan Selatan,1.8,86.1,12.1,154
64,Kalimantan Timur,0.6,86.2,13.1,285
65,Kalimantan Utara,4.9,85.0,10.1,56
71,Sulawesi Utara,3.5,86.5,10.0,167
72,Sulawesi Tengah,4.5,83.3,12.2,143
73,Sulawesi Selatan,1.2,90.2,8.5,448
74,Sulawesi Tenggara,1.9,93.3,4.8,78
75,Gorontalo,0.5,93.2,6.3,44
76,Sulawesi Barat,3.1,89.5,7.3,51
82,Maluku,3.3,93.0,3.7,41
81,Maluku Utara,3.1,95.0,1.9,50
92,Papua Barat,2.5,90.2,7.4,26
96,Papua Barat Daya,1.2,92.6,6.2,41
91,Papua,7.0,90.2,2.7,74
93,Papua Selatan,3.0,83.2,13.9,15
94,Papua Tengah,3.9,95.1,0.9,31
95,Papua Pegunungan,2.1,88.1,9.9,27
0,INDONESIA,3.3,83.2,13.5,16055
