province_code,province,yes_have_accessed,never_accessed,weighted_n
11,Aceh,0.3,99.7,5756
12,Sumatera Utara,0.4,99.6,15886
13,Sumatera Barat,0.1,99.9,6043
14,Riau,0.4,99.6,7052
15,Jambi,0.0,100.0,4051
16,Sumatera Selatan,0.1,99.9,9402
17,Bengkulu,0.0,100.0,2323
18,Lampung,0.0,100.0,10424
19,Kep. Bangka Belitung,0.1,99.9,1708
21,Kepulauan Riau,1.3,98.7,2514
31,DKI Jakarta,0.2,99.8,12318
32,Jawa Barat,0.0,100.0,58514
33,Jawa Tengah,0.1,99.9,44459
34,DI Yogyakarta,0.1,99.9,4957
35,Jawa Timur,0.1,99.9,50591
36,Banten,0.2,99.8,13333
51,Bali,0.0,100.0,5149
52,Nusa Tenggara Barat,0.1,99.9,6849
53,Nusa Tenggara Timur,0.0,100.0,5335
61,Kalimantan Barat,0.5,99.5,5784
62,Kalimantan Tengah,0.0,100.0,3178
63,Kalimantan Selatan,0.0,100.0,5023
64,Kalimantan Timur,0.1,99.9,4320
65,Kalimantan Utara,0.2,99.8,729
71,Sulawesi Utara,0.0,100.0,3031
72,Sulawesi Tengah,0.0,100.0,3216
73,Sulawesi Selatan,0.1,99.9,9484
74,Sulawesi Tenggara,0.0,100.0,2733
75,Gorontalo,0.1,99.9,1260
76,Sulawesi Barat,0.0,100.0,1467
82,Maluku,0.0,100.0,1753
81,Maluku Utara,0.0,100.0,1222
92,Papua Barat,0.0,100.0,563
96,Papua Barat Daya,0.0,100.0,599
91,Papua,0.0,100.0,1029
93,Papua Selatan,0.0,100.0,546
94,Papua Tengah,0.0,100.0,1528
95,Papua Pegunungan,0.0,100.0,1516
0,INDONESIA,0.1,99.9,315646
