province_code,province,have_utilized,never_utilized,weighted_n
11,Aceh,0.7,99.3,12053
12,Sumatera Utara,0.9,99.1,33884
13,Sumatera Barat,1.2,98.8,13042
14,Riau,2.0,98.0,14599
15,Jambi,0.6,99.4,8242
16,Sumatera Selatan,0.9,99.1,19474
17,Bengkulu,0.8,99.2,4687
18,Lampung,0.6,99.4,21021
19,Kep. Bangka Belitung,1.4,98.6,3451
21,Kepulauan Riau,0.8,99.2,4780
31,DKI Jakarta,5.4,94.6,24981
32,Jawa Barat,3.2,96.8,114619
33,Jawa Tengah,2.6,97.4,88180
34,DI Yogyakarta,6.4,93.6,8988
35,Jawa Timur,2.5,97.5,98738
36,Banten,2.7,97.3,27784
51,Bali,1.9,98.1,10476
52,Nusa Tenggara Barat,0.7,99.3,12186
53,Nusa Tenggara Timur,0.3,99.7,11853
61,Kalimantan Barat,1.2,98.8,12637
62,Kalimantan Tengah,0.4,99.6,6286
63,Kalimantan Selatan,1.1,98.9,9352
64,Kalimantan Timur,2.9,97.1,8929
65,Kalimantan Utara,2.1,97.9,1654
71,Sulawesi Utara,1.5,98.5,6239
72,Sulawesi Tengah,1.3,98.7,6851
73,Sulawesi Selatan,2.2,97.8,21459
74,Sulawesi Tenggara,0.8,99.2,5977
75,Gorontalo,1.6,98.4,2762
76,Sulawesi Barat,1.4,98.6,3212
82,Maluku,0.3,99.7,4299
81,Maluku Utara,0.6,99.4,2938
92,Papua Barat,0.7,99.3,1259
96,Papua Barat Daya,0.9,99.1,1387
91,Papua,1.4,98.6,2114
93,Papua Selatan,0.9,99.1,987
94,Papua Tengah,1.8,98.2,3304
95,Papua Pegunungan,0.3,99.7,3496
0,INDONESIA,2.2,97.8,638178
