province_code,province,registration,healt_info_and_education,clinical_consultation,telepharmacy_and_preparation_lab_or_radiology,weighted_n
11,Aceh,72.5,58.2,23.3,10.2,87
12,Sumatera Utara,52.2,82.0,10.4,5.8,310
13,Sumatera Barat,59.1,65.8,11.8,4.5,162
14,Riau,72.7,37.7,7.5,6.4,297
15,Jambi,78.1,61.5,9.2,7.7,53
16,Sumatera Selatan,74.6,63.1,15.7,6.0,177
17,Bengkulu,77.0,49.8,12.1,7.5,36
18,Lampung,49.3,75.8,9.3,2.9,131
19,Kep. Bangka Belitung,33.7,87.1,6.7,3.6,49
21,Kepulauan Riau,42.5,89.4,24.9,9.3,40
31,DKI Jakarta,68.0,78.1,15.0,13.5,1340
32,Jawa Barat,63.6,57.5,16.0,9.5,3628
33,Jawa Tengah,70.6,47.2,8.2,4.2,2291
34,DI Yogyakarta,77.9,41.6,6.8,4.9,573
35,Jawa Timur,65.1,55.8,10.8,7.8,2437
36,Banten,50.7,66.0,16.1,13.9,750
51,Bali,80.7,36.4,3.1,2.9,200
52,Nusa Tenggara Barat,58.8,54.1,12.4,10.3,89
53,Nusa Tenggara Timur,29.9,74.9,13.5,9.8,41
61,Kalimantan Barat,52.1,60.2,17.8,3.3,150
62,Kalimantan Tengah,31.4,82.9,14.8,5.5,27
63,Kalimantan Selatan,75.1,50.7,8.2,9.2,102
64,Kalimantan Timur,66.4,62.5,20.6,11.1,263
65,Kalimantan Utara,95.1,34.2,16.4,5.9,34
71,Sulawesi Utara,60.0,66.3,19.7,8.2,95
72,Sulawesi Tengah,20.2,90.6,5.1,2.0,91
73,Sulawesi Selatan,70.6,55.6,18.5,6.6,471
74,Sulawesi Tenggara,44.0,75.9,15.0,3.6,49
75,Gorontalo,39.8,79.8,6.9,5.3,46
76,Sulawesi Barat,44.4,60.4,13.1,6.0,44
82,Maluku,34.8,86.0,6.1,11.6,15
81,Maluku Utara,39.5,72.2,10.6,7.2,18
92,Papua Barat,23.4,76.9,13.5,20.2,9
96,Papua Barat Daya,44.1,73.1,3.7,0.6,13
91,Papua,53.0,78.6,10.8,1.0,29
93,Papua Selatan,77.0,63.8,33.9,33.9,9
94,Papua Tengah,50.3,59.4,37.7,36.1,58
95,Papua Pegunungan,14.0,20.2,14.2,9.0,11
0,INDONESIA,64.8,58.2,12.9,8.2,14226
