province_code,province,bottled_water,refiled_water,piped_water,pump_well,protected_dug_well,unprotected_dug_well,protected_spring,unprotected_spring,rainwater_harvesting,surface_water,water_hydrant,water_terminal,purchased_retail_water,weighted_n
11,Aceh,2.5,45.3,11.4,8.5,18.8,4.3,5.0,1.0,0.3,1.0,0.4,0.4,1.3,5756
12,Sumatera Utara,3.3,36.4,18.5,23.3,7.5,1.6,4.8,1.5,1.9,0.4,0.1,0.4,0.5,15886
13,Sumatera Barat,1.8,42.4,21.0,6.4,15.1,2.1,7.7,2.2,0.9,0.3,0.0,0.1,0.1,6043
14,Riau,2.5,55.0,1.2,12.3,10.1,1.7,0.3,1.4,14.0,0.2,0.0,0.0,1.4,7052
15,Jambi,5.1,28.3,12.7,4.7,36.1,3.9,1.1,0.4,7.6,0.1,0.0,0.0,0.1,4051
16,Sumatera Selatan,1.7,23.8,18.4,9.4,34.2,4.0,1.4,0.7,4.8,1.4,0.1,0.1,0.1,9403
17,Bengkulu,0.6,14.1,19.0,9.3,48.1,6.5,1.1,0.5,0.1,0.6,0.1,0.0,0.0,2323
18,Lampung,5.4,18.4,4.8,14.9,37.1,13.0,3.6,1.1,0.1,0.3,0.1,0.3,0.9,10424
19,Kep. Bangka Belitung,6.7,61.8,1.0,7.2,19.2,3.0,0.7,0.2,0.1,0.1,0.0,0.0,0.2,1708
21,Kepulauan Riau,13.2,65.3,6.7,1.7,7.1,3.6,0.5,0.2,0.1,0.0,0.0,0.4,1.4,2514
31,DKI Jakarta,34.2,44.7,8.1,11.7,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,12318
32,Jawa Barat,13.8,37.0,7.5,14.9,15.8,1.5,7.0,1.7,0.0,0.2,0.2,0.2,0.2,58514
33,Jawa Tengah,10.5,23.7,22.3,11.0,15.4,2.7,10.7,1.2,0.1,0.3,0.2,0.3,1.6,44459
34,DI Yogyakarta,13.9,11.7,15.6,14.4,29.9,8.8,3.3,0.4,1.4,0.1,0.0,0.1,0.5,4957
35,Jawa Timur,18.5,20.3,15.8,20.6,13.5,1.4,7.1,0.8,0.1,0.1,0.3,0.4,1.2,50591
36,Banten,22.1,36.6,3.2,21.9,9.3,0.7,4.1,0.5,0.2,0.2,0.4,0.2,0.5,13333
51,Bali,34.4,17.3,27.9,4.2,3.3,0.2,6.3,3.3,1.6,0.1,0.2,0.3,1.0,5149
52,Nusa Tenggara Barat,7.9,27.0,26.0,14.6,17.6,2.3,3.8,0.3,0.0,0.1,0.1,0.2,0.2,6849
53,Nusa Tenggara Timur,0.9,10.0,38.5,7.0,10.6,6.3,9.2,4.3,1.9,2.2,2.1,2.9,4.0,5335
61,Kalimantan Barat,2.7,28.0,12.6,4.0,5.0,0.9,3.0,2.6,38.6,2.4,0.0,0.0,0.1,5784
62,Kalimantan Tengah,4.4,52.7,5.9,12.9,6.9,1.1,3.1,1.8,5.3,5.4,0.0,0.3,0.2,3178
63,Kalimantan Selatan,4.7,40.5,24.7,8.9,10.1,1.7,1.4,0.4,0.5,4.2,0.0,0.3,2.6,5023
64,Kalimantan Timur,6.0,73.6,9.8,1.9,1.9,0.5,2.4,0.8,1.7,0.7,0.1,0.3,0.4,4320
65,Kalimantan Utara,3.5,70.3,5.5,1.6,0.6,0.3,5.1,0.5,12.3,0.4,0.0,0.0,0.0,729
71,Sulawesi Utara,11.6,44.2,15.2,8.5,9.3,2.3,6.5,0.9,0.7,0.5,0.1,0.1,0.2,3031
72,Sulawesi Tengah,2.6,45.4,20.6,11.4,7.1,1.3,8.6,1.4,0.7,0.8,0.0,0.0,0.1,3216
73,Sulawesi Selatan,3.2,38.2,16.1,17.4,10.5,1.7,9.0,2.3,0.8,0.3,0.0,0.0,0.6,9484
74,Sulawesi Tenggara,3.6,38.8,21.3,12.5,13.2,2.7,4.1,0.7,1.5,0.2,0.1,0.1,1.2,2733
75,Gorontalo,3.3,65.1,5.8,10.8,12.1,1.1,0.9,0.5,0.0,0.3,0.0,0.1,0.1,1260
76,Sulawesi Barat,1.6,32.0,17.2,13.8,10.8,3.3,15.5,2.3,0.7,2.6,0.1,0.1,0.1,1468
82,Maluku,1.0,24.7,36.4,7.3,16.2,5.8,4.4,0.5,1.4,0.4,0.1,0.5,1.5,1753
81,Maluku Utara,1.4,25.0,38.1,8.0,12.7,7.1,3.6,0.6,2.5,1.0,0.0,0.0,0.1,1222
92,Papua Barat,4.5,31.3,12.1,8.2,11.4,1.9,14.5,3.0,10.1,1.9,0.1,1.1,0.1,563
96,Papua Barat Daya,4.2,55.2,8.0,3.6,3.5,4.7,3.2,2.0,11.3,2.9,0.1,0.6,0.8,599
91,Papua,1.5,48.8,24.9,5.3,3.0,1.5,5.0,1.5,6.7,1.9,0.0,0.0,0.0,1030
93,Papua Selatan,8.0,33.1,1.7,3.5,9.6,13.3,2.0,2.2,23.5,2.4,0.0,0.1,0.6,546
94,Papua Tengah,1.9,23.9,10.3,2.8,1.3,0.5,9.6,16.3,29.8,3.5,0.1,0.0,0.0,1528
95,Papua Pegunungan,2.6,10.0,6.7,2.1,1.4,0.9,17.0,22.4,26.0,10.9,0.0,0.1,0.0,1516
0,INDONESIA,11.6,31.7,14.6,13.9,14.5,2.4,6.1,1.4,2.1,0.6,0.2,0.3,0.8,315646
