province_code,province,covered_pot,uncovered_pot,container_with_small_open,gallon,others,weighted_n
11,Aceh,42.1,5.4,49.3,55.7,2.2,5756
12,Sumatera Utara,31.4,3.9,67.3,40.1,2.1,15886
13,Sumatera Barat,24.7,3.9,62.2,47.4,2.1,6043
14,Riau,36.3,4.6,65.4,54.8,2.4,7052
15,Jambi,55.2,6.5,65.7,51.9,2.5,4051
16,Sumatera Selatan,55.9,3.3,62.1,30.6,3.0,9403
17,Bengkulu,37.5,3.9,83.2,26.4,3.2,2323
18,Lampung,59.3,4.1,69.9,30.1,2.5,10424
19,Kep. Bangka Belitung,19.8,2.2,47.3,60.6,2.3,1708
21,Kepulauan Riau,15.3,3.1,49.2,72.8,3.5,2514
31,DKI Jakarta,8.8,0.8,30.3,73.1,3.2,12318
32,Jawa Barat,11.6,1.7,57.3,50.2,2.7,58514
33,Jawa Tengah,18.6,1.9,71.3,35.7,4.8,44459
34,DI Yogyakarta,7.3,1.1,67.5,30.2,14.0,4957
35,Jawa Timur,38.9,2.8,48.1,40.7,3.9,50591
36,Banten,11.4,1.1,53.1,57.0,2.4,13333
51,Bali,17.4,0.9,33.4,60.8,1.8,5149
52,Nusa Tenggara Barat,31.7,1.9,43.0,37.3,5.6,6849
53,Nusa Tenggara Timur,74.7,8.8,60.3,16.7,4.5,5335
61,Kalimantan Barat,40.8,5.6,70.6,36.7,2.8,5784
62,Kalimantan Tengah,32.2,4.6,58.8,65.3,6.0,3178
63,Kalimantan Selatan,32.7,2.7,63.3,49.1,4.2,5023
64,Kalimantan Timur,19.7,1.7,37.6,68.0,6.2,4320
65,Kalimantan Utara,28.5,2.5,45.9,68.8,4.0,729
71,Sulawesi Utara,36.4,3.7,52.4,53.4,2.8,3031
72,Sulawesi Tengah,51.6,5.0,50.1,50.1,2.3,3216
73,Sulawesi Selatan,47.8,2.5,40.7,42.7,3.4,9484
74,Sulawesi Tenggara,54.7,4.5,41.3,47.6,5.1,2733
75,Gorontalo,47.4,1.2,36.0,51.8,4.3,1260
76,Sulawesi Barat,51.6,2.8,50.3,36.1,2.3,1468
82,Maluku,64.7,4.5,53.6,30.6,3.5,1753
81,Maluku Utara,71.7,9.0,64.3,33.2,4.8,1222
92,Papua Barat,54.4,9.2,57.2,44.5,4.1,563
96,Papua Barat Daya,35.0,6.1,47.4,58.0,3.7,599
91,Papua,45.9,7.3,49.1,61.3,5.0,1030
93,Papua Selatan,41.4,10.4,50.1,39.8,7.4,546
94,Papua Tengah,56.9,23.5,48.8,39.5,13.0,1528
95,Papua Pegunungan,70.6,15.5,57.9,22.7,11.6,1516
0,INDONESIA,29.4,2.9,56.5,44.9,3.7,315646
