province_code,province,available_use_household_only,available_use_household_share,available_use_public,available_not_use,no_facility,weighted_n
11,Aceh,88.3,2.6,2.2,0.4,6.6,5756
12,Sumatera Utara,94.5,1.6,1.3,0.1,2.6,15886
13,Sumatera Barat,86.5,3.9,2.0,0.2,7.5,6043
14,Riau,96.1,1.4,0.5,0.1,1.9,7052
15,Jambi,95.3,2.2,0.7,0.0,1.8,4051
16,Sumatera Selatan,92.6,2.6,1.7,0.1,3.1,9403
17,Bengkulu,94.4,1.7,0.7,0.1,3.2,2323
18,Lampung,95.9,2.4,0.4,0.1,1.2,10424
19,Kep. Bangka Belitung,96.1,1.6,0.4,0.2,1.8,1708
21,Kepulauan Riau,97.4,2.0,0.2,0.0,0.4,2514
31,DKI Jakarta,91.4,5.7,2.8,0.0,0.2,12318
32,Jawa Barat,90.8,4.7,2.3,0.2,2.1,58514
33,Jawa Tengah,93.2,3.8,0.8,0.1,2.1,44459
34,DI Yogyakarta,93.7,5.0,0.8,0.0,0.5,4957
35,Jawa Timur,91.5,3.9,1.0,0.1,3.6,50591
36,Banten,87.9,6.3,0.9,0.2,4.7,13333
51,Bali,91.3,7.0,0.3,0.1,1.4,5149
52,Nusa Tenggara Barat,84.2,10.3,1.2,0.2,4.2,6849
53,Nusa Tenggara Timur,86.0,7.2,1.2,0.2,5.5,5335
61,Kalimantan Barat,93.9,1.4,1.2,0.2,3.3,5784
62,Kalimantan Tengah,88.3,5.5,3.8,0.1,2.3,3178
63,Kalimantan Selatan,90.9,4.0,3.0,0.1,2.0,5023
64,Kalimantan Timur,96.5,1.8,0.8,0.1,0.8,4320
65,Kalimantan Utara,96.5,1.7,0.6,0.0,1.2,729
71,Sulawesi Utara,89.9,4.9,2.0,0.1,3.1,3031
72,Sulawesi Tengah,83.8,4.6,2.4,0.3,8.8,3216
73,Sulawesi Selatan,92.0,4.7,1.3,0.1,1.8,9484
74,Sulawesi Tenggara,89.0,5.7,0.9,0.1,4.4,2733
75,Gorontalo,81.4,7.1,5.7,0.2,5.7,1260
76,Sulawesi Barat,85.4,5.0,2.6,0.2,6.8,1468
82,Maluku,83.8,4.8,4.8,0.2,6.4,1753
81,Maluku Utara,80.6,9.1,7.0,0.1,3.1,1222
92,Papua Barat,85.6,4.3,6.7,0.1,3.3,563
96,Papua Barat Daya,80.2,7.8,10.0,0.2,1.9,599
91,Papua,88.4,4.4,4.3,0.3,2.6,1030
93,Papua Selatan,72.3,7.4,7.7,0.9,11.8,546
94,Papua Tengah,71.9,9.1,5.7,1.4,11.8,1528
95,Papua Pegunungan,46.5,16.8,11.1,2.2,23.5,1516
0,INDONESIA,91.1,4.3,1.6,0.2,3.0,315646
