province_code,province,in_house,within_premise,outside_premise,weighted_n
11,Aceh,85.1,11.6,3.3,5315
12,Sumatera Utara,94.4,3.5,2.1,15336
13,Sumatera Barat,91.1,5.5,3.4,5533
14,Riau,88.0,10.7,1.3,6856
15,Jambi,91.8,6.7,1.5,3943
16,Sumatera Selatan,87.4,8.8,3.8,9033
17,Bengkulu,89.2,9.3,1.5,2230
18,Lampung,82.7,14.6,2.7,10203
19,Kep. Bangka Belitung,94.5,4.3,1.2,1660
21,Kepulauan Riau,96.2,3.4,0.4,2484
31,DKI Jakarta,95.6,1.8,2.6,12194
32,Jawa Barat,94.0,2.8,3.2,56725
33,Jawa Tengah,90.2,7.7,2.1,43108
34,DI Yogyakarta,83.0,14.9,2.1,4890
35,Jawa Timur,84.2,13.3,2.6,48325
36,Banten,97.4,1.1,1.5,12579
51,Bali,62.0,37.6,0.4,5031
52,Nusa Tenggara Barat,75.9,21.3,2.9,6495
53,Nusa Tenggara Timur,29.4,63.7,6.9,4995
61,Kalimantan Barat,92.7,5.2,2.1,5538
62,Kalimantan Tengah,84.2,7.6,8.2,3077
63,Kalimantan Selatan,88.4,5.8,5.8,4875
64,Kalimantan Timur,96.1,2.8,1.2,4244
65,Kalimantan Utara,95.6,3.2,1.2,715
71,Sulawesi Utara,83.6,14.1,2.4,2913
72,Sulawesi Tengah,83.9,12.4,3.7,2898
73,Sulawesi Selatan,80.0,17.1,2.9,9225
74,Sulawesi Tenggara,85.6,12.3,2.2,2591
75,Gorontalo,72.9,20.6,6.5,1176
76,Sulawesi Barat,77.6,17.4,5.0,1353
82,Maluku,76.8,16.5,6.7,1624
81,Maluku Utara,75.0,16.8,8.2,1172
92,Papua Barat,77.2,15.1,7.8,540
96,Papua Barat Daya,76.1,12.4,11.5,582
91,Papua,83.3,12.5,4.2,992
93,Papua Selatan,61.0,26.0,13.1,473
94,Papua Tengah,37.1,50.6,12.3,1316
95,Papua Pegunungan,33.6,40.5,26.0,1118
0,INDONESIA,87.2,9.9,2.9,303355
