province_code,province,goose_neck,dammed_up_without_cover,weighted_n
11,Aceh,95.0,5.0,5315
12,Sumatera Utara,94.9,5.1,15336
13,Sumatera Barat,93.9,6.1,5533
14,Riau,92.8,7.2,6856
15,Jambi,96.9,3.1,3943
16,Sumatera Selatan,94.0,6.0,9033
17,Bengkulu,94.9,5.1,2230
18,Lampung,95.8,4.2,10203
19,Kep. Bangka Belitung,95.1,4.9,1660
21,Kepulauan Riau,91.2,8.8,2484
31,DKI Jakarta,96.5,3.6,12194
32,Jawa Barat,93.9,6.1,56725
33,Jawa Tengah,96.6,3.4,43108
34,DI Yogyakarta,97.2,2.8,4890
35,Jawa Timur,94.6,5.4,48325
36,Banten,97.1,3.0,12579
51,Bali,96.9,3.2,5031
52,Nusa Tenggara Barat,96.7,3.3,6495
53,Nusa Tenggara Timur,85.4,14.6,4995
61,Kalimantan Barat,93.2,6.8,5538
62,Kalimantan Tengah,85.5,14.5,3077
63,Kalimantan Selatan,87.7,12.3,4875
64,Kalimantan Timur,91.4,8.6,4244
65,Kalimantan Utara,93.8,6.2,715
71,Sulawesi Utara,96.8,3.2,2913
72,Sulawesi Tengah,95.2,4.8,2898
73,Sulawesi Selatan,97.2,2.8,9225
74,Sulawesi Tenggara,95.3,4.7,2591
75,Gorontalo,97.3,2.7,1176
76,Sulawesi Barat,96.9,3.1,1353
82,Maluku,90.3,9.7,1624
81,Maluku Utara,95.5,4.5,1172
92,Papua Barat,93.8,6.2,540
96,Papua Barat Daya,90.7,9.3,582
91,Papua,90.8,9.2,992
93,Papua Selatan,84.8,15.2,473
94,Papua Tengah,41.2,58.8,1316
95,Papua Pegunungan,48.1,51.9,1118
0,INDONESIA,94.3,5.7,303355
