province_code,province,ipal,septic_tank,tradiotional_pit,covered_pit,uncovered_pit,lake_pond_river,field_or_garden,others,weighted_n
11,Aceh,1.6,92.2,0.6,2.2,0.5,2.5,0.2,0.2,5315
12,Sumatera Utara,1.6,89.5,0.5,2.5,0.5,4.4,0.5,0.4,15336
13,Sumatera Barat,1.7,80.7,1.3,1.6,0.5,13.3,0.5,0.5,5533
14,Riau,1.4,89.8,0.9,4.5,0.6,2.6,0.1,0.1,6856
15,Jambi,1.3,92.7,0.7,1.9,0.2,3.0,0.1,0.1,3943
16,Sumatera Selatan,1.2,90.9,0.5,2.0,0.6,4.3,0.3,0.3,9033
17,Bengkulu,2.1,82.5,0.3,11.3,0.9,2.5,0.2,0.2,2230
18,Lampung,1.4,93.9,0.6,1.7,0.9,1.5,0.1,0.1,10203
19,Kep. Bangka Belitung,1.1,97.3,0.1,0.9,0.1,0.5,0.1,0.0,1660
21,Kepulauan Riau,0.8,88.6,0.2,0.6,0.1,9.8,0.0,0.0,2484
31,DKI Jakarta,1.9,93.1,0.2,0.3,0.0,4.2,0.0,0.2,12194
32,Jawa Barat,1.6,78.4,3.4,1.6,0.3,14.1,0.2,0.3,56725
33,Jawa Tengah,2.5,87.9,0.3,2.3,0.3,6.4,0.2,0.1,43108
34,DI Yogyakarta,8.4,89.2,0.3,0.5,0.1,1.2,0.1,0.1,4890
35,Jawa Timur,1.7,88.3,1.0,4.7,0.7,3.3,0.2,0.0,48325
36,Banten,1.4,92.7,0.4,0.4,0.3,3.7,0.5,0.6,12579
51,Bali,3.0,95.9,0.2,0.4,0.1,0.2,0.1,0.0,5031
52,Nusa Tenggara Barat,2.3,90.6,0.3,3.7,0.0,2.7,0.3,0.1,6495
53,Nusa Tenggara Timur,1.1,57.8,0.9,38.3,1.3,0.2,0.2,0.1,4995
61,Kalimantan Barat,1.3,70.6,8.7,15.4,0.4,3.0,0.1,0.4,5538
62,Kalimantan Tengah,1.6,80.7,1.2,4.7,0.2,11.3,0.2,0.1,3077
63,Kalimantan Selatan,1.0,83.1,1.6,5.2,0.2,8.7,0.1,0.1,4875
64,Kalimantan Timur,1.2,90.3,0.5,2.2,0.1,5.5,0.1,0.1,4244
65,Kalimantan Utara,1.6,89.3,0.7,1.0,0.3,6.6,0.2,0.3,715
71,Sulawesi Utara,1.1,95.3,0.4,0.9,0.1,2.0,0.1,0.2,2913
72,Sulawesi Tengah,3.2,92.4,0.2,1.0,0.2,2.7,0.1,0.2,2898
73,Sulawesi Selatan,1.2,89.3,0.3,7.3,0.5,1.0,0.3,0.1,9225
74,Sulawesi Tenggara,1.4,81.9,0.2,13.7,0.5,2.1,0.2,0.0,2591
75,Gorontalo,1.0,97.3,0.2,0.1,0.1,1.3,0.1,0.0,1176
76,Sulawesi Barat,2.1,89.8,0.7,6.5,0.1,0.4,0.3,0.1,1353
82,Maluku,1.2,95.1,0.2,0.9,0.1,2.4,0.1,0.0,1624
81,Maluku Utara,0.8,95.6,0.2,0.6,0.0,2.7,0.1,0.0,1172
92,Papua Barat,0.8,94.6,0.3,1.5,0.4,2.3,0.1,0.0,540
96,Papua Barat Daya,0.9,91.1,0.3,0.9,0.1,6.6,0.1,0.0,582
91,Papua,2.1,89.0,0.4,2.8,0.1,5.5,0.0,0.1,992
93,Papua Selatan,1.0,78.0,2.2,13.0,1.6,3.3,0.7,0.1,473
94,Papua Tengah,0.7,41.5,1.3,28.9,11.2,14.3,0.8,1.2,1316
95,Papua Pegunungan,2.5,40.1,5.6,40.8,7.8,1.1,1.7,0.4,1118
0,INDONESIA,1.8,86.2,1.3,3.8,0.5,6.0,0.2,0.2,303355
