province_code,province,collected_by_personel,disposed_at_MRF,recycled,composted,deposited_at_waste_banks,disposed_in_rivers,burned,buried,disposed_improperly,weighted_n
11,Aceh,12.9,5.1,0.2,0.1,0.2,2.4,77.3,0.7,1.1,5756
12,Sumatera Utara,23.0,7.0,0.1,0.3,0.2,2.0,63.8,0.9,2.9,15884
13,Sumatera Barat,17.6,10.2,0.1,0.2,0.6,4.5,63.6,0.6,2.5,6042
14,Riau,16.7,7.5,0.1,0.1,0.4,1.4,72.4,0.6,0.7,7051
15,Jambi,8.7,20.0,0.1,0.2,0.2,4.7,64.2,0.3,1.7,4051
16,Sumatera Selatan,16.0,16.6,0.0,0.1,0.3,5.5,57.7,0.7,3.1,9402
17,Bengkulu,17.3,8.1,0.1,0.1,0.4,5.2,63.4,0.9,4.6,2323
18,Lampung,12.2,3.9,0.0,0.2,0.2,0.9,81.1,0.5,1.0,10424
19,Kep. Bangka Belitung,38.2,7.4,0.2,0.1,0.2,1.1,48.0,0.4,4.4,1707
21,Kepulauan Riau,56.0,19.6,0.5,0.0,0.1,1.4,18.5,0.1,3.7,2514
31,DKI Jakarta,81.0,17.2,0.0,0.0,0.1,0.2,1.2,0.1,0.2,12317
32,Jawa Barat,36.4,8.4,0.0,0.2,0.3,2.7,50.7,0.3,1.1,58510
33,Jawa Tengah,22.9,5.0,0.1,0.6,0.4,2.5,66.4,0.7,1.5,44456
34,DI Yogyakarta,31.9,5.8,0.4,1.8,0.7,0.2,57.2,1.6,0.3,4957
35,Jawa Timur,24.0,4.4,0.1,0.4,0.2,2.3,65.8,1.2,1.7,50588
36,Banten,39.1,9.7,0.1,0.1,0.4,2.2,43.0,0.7,4.7,13332
51,Bali,53.2,9.0,0.1,1.0,1.3,0.3,33.9,1.0,0.4,5149
52,Nusa Tenggara Barat,26.6,6.4,0.3,0.1,0.5,11.8,49.9,1.5,3.0,6849
53,Nusa Tenggara Timur,4.9,5.7,0.2,0.4,0.2,1.3,83.6,0.6,3.0,5333
61,Kalimantan Barat,6.7,16.0,0.2,0.1,0.7,2.0,72.6,0.2,1.6,5783
62,Kalimantan Tengah,13.2,17.0,0.1,0.1,0.5,6.2,56.7,0.7,5.5,3178
63,Kalimantan Selatan,36.8,17.8,0.1,0.0,0.2,1.8,38.0,1.2,4.2,5023
64,Kalimantan Timur,23.7,40.6,0.1,0.3,0.3,2.1,30.4,0.5,2.0,4319
65,Kalimantan Utara,39.5,19.4,0.1,0.1,0.1,6.1,29.7,0.8,4.2,729
71,Sulawesi Utara,37.0,7.9,0.1,0.1,0.2,2.6,49.2,0.4,2.5,3031
72,Sulawesi Tengah,15.8,4.6,0.1,0.2,0.2,2.8,69.1,0.4,6.8,3215
73,Sulawesi Selatan,26.9,5.0,0.1,0.1,0.3,3.1,58.7,1.0,4.9,9483
74,Sulawesi Tenggara,11.7,16.4,0.2,0.4,0.6,3.0,58.3,1.1,8.2,2733
75,Gorontalo,14.8,4.1,0.0,0.0,0.1,2.0,77.1,0.0,1.8,1260
76,Sulawesi Barat,7.9,4.6,0.2,0.1,0.3,8.0,68.3,0.8,9.9,1467
82,Maluku,6.3,21.9,0.2,0.1,0.8,10.2,48.0,1.6,10.9,1751
81,Maluku Utara,20.5,9.3,0.2,0.3,1.2,15.3,40.2,2.1,10.9,1222
92,Papua Barat,12.6,15.9,0.1,0.5,1.1,3.1,61.6,0.8,4.3,563
96,Papua Barat Daya,3.2,35.0,0.4,0.3,0.9,7.2,48.5,1.8,2.7,599
91,Papua,17.5,29.4,0.2,0.1,1.0,3.0,44.9,0.7,3.2,1029
93,Papua Selatan,12.7,4.4,0.2,0.1,1.6,1.6,60.4,0.2,18.7,546
94,Papua Tengah,5.5,12.6,0.4,0.9,0.1,7.6,60.4,3.7,8.6,1528
95,Papua Pegunungan,3.4,8.3,0.1,0.0,0.1,5.5,67.3,4.3,11.0,1516
0,INDONESIA,27.6,8.7,0.1,0.3,0.3,2.8,57.2,0.7,2.3,315621
