province_code,province,good,good_95%_CI_lower,good_95%_CI_upper,poor,poor_95%_CI_lower,poor_95%_CI_upper,weighted_n
11,Aceh,19.2,18.0,20.5,80.8,79.5,82.0,5756
12,Sumatera Utara,31.4,29.6,33.3,68.6,66.7,70.4,15884
13,Sumatera Barat,29.4,27.0,31.9,70.6,68.1,73.0,6042
14,Riau,25.5,23.6,27.6,74.5,72.4,76.4,7051
15,Jambi,29.4,27.4,31.4,70.6,68.6,72.6,4051
16,Sumatera Selatan,33.7,32.0,35.5,66.3,64.5,68.0,9402
17,Bengkulu,26.9,24.7,29.2,73.1,70.8,75.3,2323
18,Lampung,17.0,15.7,18.3,83.0,81.7,84.3,10424
19,Kep. Bangka Belitung,46.5,43.4,49.6,53.5,50.4,56.6,1707
21,Kepulauan Riau,76.4,72.9,79.5,23.6,20.5,27.1,2514
31,DKI Jakarta,98.4,97.4,99.0,1.6,1.0,2.6,12317
32,Jawa Barat,45.6,43.9,47.3,54.4,52.7,56.1,58510
33,Jawa Tengah,29.6,28.4,30.9,70.4,69.1,71.6,44456
34,DI Yogyakarta,42.3,39.1,45.6,57.7,54.4,60.9,4957
35,Jawa Timur,30.2,29.0,31.5,69.8,68.5,71.0,50588
36,Banten,50.1,46.6,53.5,49.9,46.5,53.4,13332
51,Bali,65.4,62.2,68.5,34.6,31.5,37.8,5149
52,Nusa Tenggara Barat,35.3,32.4,38.2,64.7,61.8,67.6,6849
53,Nusa Tenggara Timur,12.1,11.0,13.3,87.9,86.7,89.0,5333
61,Kalimantan Barat,23.9,22.0,25.9,76.1,74.1,78.0,5783
62,Kalimantan Tengah,31.6,28.6,34.6,68.4,65.4,71.4,3178
63,Kalimantan Selatan,56.0,53.5,58.5,44.0,41.5,46.5,5023
64,Kalimantan Timur,65.5,62.5,68.5,34.5,31.5,37.5,4319
65,Kalimantan Utara,60.0,55.4,64.4,40.0,35.6,44.6,729
71,Sulawesi Utara,45.7,41.6,49.8,54.3,50.2,58.4,3031
72,Sulawesi Tengah,21.3,19.3,23.5,78.7,76.5,80.7,3215
73,Sulawesi Selatan,33.4,31.4,35.4,66.6,64.6,68.6,9483
74,Sulawesi Tenggara,30.4,26.7,34.4,69.6,65.6,73.3,2733
75,Gorontalo,19.1,16.3,22.3,80.9,77.7,83.7,1260
76,Sulawesi Barat,13.8,11.8,16.2,86.2,83.8,88.2,1467
82,Maluku,30.9,28.3,33.7,69.1,66.3,71.7,1751
81,Maluku Utara,33.6,31.0,36.2,66.4,63.8,69.0,1222
92,Papua Barat,30.9,27.0,35.1,69.1,64.9,73.0,563
96,Papua Barat Daya,41.6,37.3,46.0,58.4,54.0,62.7,599
91,Papua,48.9,44.9,52.9,51.1,47.1,55.1,1029
93,Papua Selatan,19.2,15.2,24.0,80.8,76.0,84.8,546
94,Papua Tengah,23.3,19.1,28.2,76.7,71.8,80.9,1528
95,Papua Pegunungan,16.2,12.9,20.0,83.8,80.0,87.1,1516
0,INDONESIA,37.8,37.2,38.3,62.2,61.7,62.8,315621
