province_code,province,running_water,no_running_water,no_water,weighted_n
11,Aceh,60.6,36.1,3.3,3479
12,Sumatera Utara,66.2,31.7,2.1,11287
13,Sumatera Barat,72.4,26.0,1.7,4269
14,Riau,62.7,34.8,2.5,5185
15,Jambi,70.2,28.2,1.5,3120
16,Sumatera Selatan,51.7,46.4,1.8,7212
17,Bengkulu,62.9,35.5,1.6,1657
18,Lampung,78.9,19.6,1.5,8737
19,Kep. Bangka Belitung,82.3,16.1,1.6,1437
21,Kepulauan Riau,87.4,12.1,0.5,2145
31,DKI Jakarta,93.9,5.8,0.4,10594
32,Jawa Barat,90.1,8.7,1.2,48970
33,Jawa Tengah,91.5,8.0,0.5,39341
34,DI Yogyakarta,95.2,4.5,0.3,4562
35,Jawa Timur,88.8,10.6,0.6,43085
36,Banten,86.1,12.6,1.4,10410
51,Bali,95.5,4.5,0.1,4771
52,Nusa Tenggara Barat,86.2,12.9,0.8,5063
53,Nusa Tenggara Timur,35.3,60.3,4.4,2365
61,Kalimantan Barat,61.3,36.8,1.8,4058
62,Kalimantan Tengah,75.0,23.5,1.5,2334
63,Kalimantan Selatan,84.0,15.1,0.9,4445
64,Kalimantan Timur,88.9,10.0,1.0,3826
65,Kalimantan Utara,87.2,12.2,0.6,609
71,Sulawesi Utara,70.8,27.9,1.3,2581
72,Sulawesi Tengah,73.0,25.3,1.7,2598
73,Sulawesi Selatan,79.4,19.5,1.1,7576
74,Sulawesi Tenggara,59.3,38.7,2.1,1923
75,Gorontalo,84.3,14.9,0.8,913
76,Sulawesi Barat,68.8,30.1,1.1,1076
82,Maluku,44.8,52.4,2.8,1359
81,Maluku Utara,50.6,46.8,2.5,1026
92,Papua Barat,52.6,45.1,2.3,322
96,Papua Barat Daya,49.7,48.3,1.9,464
91,Papua,62.5,35.7,1.8,764
93,Papua Selatan,37.6,58.3,4.1,348
94,Papua Tengah,51.6,44.3,4.1,857
95,Papua Pegunungan,37.4,57.0,5.6,547
0,INDONESIA,82.8,16.1,1.1,255312
