province_code,province,yes,no,weighted_n
11,Aceh,85.0,15.0,3479
12,Sumatera Utara,89.9,10.1,11287
13,Sumatera Barat,92.3,7.7,4269
14,Riau,91.8,8.2,5185
15,Jambi,93.2,6.8,3120
16,Sumatera Selatan,91.6,8.4,7212
17,Bengkulu,93.0,7.0,1657
18,Lampung,89.5,10.5,8737
19,Kep. Bangka Belitung,95.7,4.3,1437
21,Kepulauan Riau,96.3,3.7,2145
31,DKI Jakarta,97.0,3.0,10594
32,Jawa Barat,95.4,4.6,48970
33,Jawa Tengah,93.6,6.4,39341
34,DI Yogyakarta,92.3,7.7,4562
35,Jawa Timur,93.9,6.1,43085
36,Banten,93.9,6.1,10410
51,Bali,94.3,5.7,4771
52,Nusa Tenggara Barat,89.5,10.5,5063
53,Nusa Tenggara Timur,86.5,13.5,2365
61,Kalimantan Barat,94.1,5.9,4058
62,Kalimantan Tengah,92.8,7.2,2334
63,Kalimantan Selatan,93.2,6.8,4445
64,Kalimantan Timur,95.6,4.4,3826
65,Kalimantan Utara,96.6,3.4,609
71,Sulawesi Utara,95.6,4.4,2581
72,Sulawesi Tengah,91.8,8.2,2598
73,Sulawesi Selatan,92.7,7.3,7576
74,Sulawesi Tenggara,92.3,7.7,1923
75,Gorontalo,96.2,3.8,913
76,Sulawesi Barat,91.5,8.5,1076
82,Maluku,94.4,5.6,1359
81,Maluku Utara,93.6,6.4,1026
92,Papua Barat,89.1,10.9,322
96,Papua Barat Daya,90.6,9.4,464
91,Papua,93.1,6.9,764
93,Papua Selatan,78.3,21.7,348
94,Papua Tengah,69.4,30.6,857
95,Papua Pegunungan,62.6,37.4,547
0,INDONESIA,93.3,6.7,255312
