province_code,province,no_access,no_access_95%_CI_lower,no_access_95%_CI_upper,limited_access,limited_access_95%_CI_lower,limited_access_95%_CI_upper,basic_hygiene_access,basic_hygiene_access_95%_CI_lower,basic_hygiene_access_95%_CI_upper,weighted_n
11,Aceh,36.3,34.3,38.4,10.7,9.8,11.7,53.0,51.0,55.0,5756
12,Sumatera Utara,25.1,23.5,26.8,8.4,7.2,9.8,66.5,64.5,68.4,15884
13,Sumatera Barat,25.5,23.5,27.7,6.7,5.6,7.9,67.8,65.5,70.0,6042
14,Riau,22.5,20.6,24.5,7.4,6.5,8.3,70.1,68.1,72.1,7051
15,Jambi,18.8,16.9,20.9,6.4,5.6,7.4,74.8,72.6,76.8,4051
16,Sumatera Selatan,19.1,17.5,20.9,7.7,6.8,8.8,73.1,71.2,75.0,9402
17,Bengkulu,24.8,21.9,28.1,5.9,5.1,6.9,69.3,66.1,72.2,2323
18,Lampung,11.7,10.3,13.2,9.9,8.9,11.0,78.5,76.7,80.1,10424
19,Kep. Bangka Belitung,11.3,9.6,13.2,4.8,4.0,5.7,84.0,81.9,85.8,1707
21,Kepulauan Riau,10.1,7.7,13.0,3.6,2.3,5.7,86.3,83.4,88.8,2514
31,DKI Jakarta,9.3,7.6,11.5,3.0,2.3,3.9,87.6,85.5,89.5,12317
32,Jawa Barat,11.8,10.9,12.7,4.8,4.3,5.3,83.4,82.4,84.4,58510
33,Jawa Tengah,6.7,6.1,7.4,6.4,5.9,6.9,86.9,86.1,87.7,44456
34,DI Yogyakarta,3.0,2.3,3.9,7.6,6.4,9.1,89.4,87.7,90.9,4957
35,Jawa Timur,10.2,9.4,11.1,5.9,5.4,6.4,83.9,82.9,84.8,50588
36,Banten,17.7,16.0,19.6,5.7,4.9,6.6,76.6,74.7,78.4,13332
51,Bali,2.3,1.7,3.2,5.6,4.7,6.7,92.1,90.7,93.2,5149
52,Nusa Tenggara Barat,22.1,19.8,24.5,8.6,7.3,10.0,69.4,66.7,71.9,6849
53,Nusa Tenggara Timur,53.3,51.4,55.2,7.3,6.6,8.0,39.4,37.7,41.2,5333
61,Kalimantan Barat,26.0,24.0,28.2,5.2,4.5,6.0,68.7,66.5,70.9,5783
62,Kalimantan Tengah,22.6,19.9,25.5,6.2,5.3,7.3,71.2,68.3,74.0,3178
63,Kalimantan Selatan,6.7,5.9,7.7,6.8,5.9,7.9,86.4,85.0,87.8,5023
64,Kalimantan Timur,6.6,5.3,8.2,4.9,4.0,5.9,88.5,86.7,90.1,4319
65,Kalimantan Utara,12.0,9.6,14.9,3.5,2.7,4.6,84.5,81.3,87.2,729
71,Sulawesi Utara,10.2,8.2,12.7,4.7,3.9,5.6,85.1,82.0,87.7,3031
72,Sulawesi Tengah,14.8,13.2,16.6,8.0,6.9,9.2,77.2,75.2,79.1,3215
73,Sulawesi Selatan,15.8,14.5,17.2,6.8,6.1,7.6,77.4,75.7,79.0,9483
74,Sulawesi Tenggara,25.8,23.5,28.3,6.7,5.7,7.8,67.5,64.8,70.1,2733
75,Gorontalo,23.6,20.1,27.4,3.3,2.6,4.1,73.1,69.3,76.7,1260
76,Sulawesi Barat,22.7,19.4,26.4,7.0,5.8,8.4,70.3,66.4,73.9,1467
82,Maluku,18.2,15.6,21.2,6.2,5.4,7.1,75.6,72.6,78.4,1751
81,Maluku Utara,11.5,9.3,14.2,7.1,6.0,8.3,81.4,78.5,83.9,1222
92,Papua Barat,39.8,34.5,45.2,7.3,5.6,9.5,52.9,47.6,58.2,563
96,Papua Barat Daya,18.4,15.8,21.3,8.3,6.8,10.1,73.3,69.7,76.6,599
91,Papua,21.8,18.9,25.0,6.2,5.0,7.8,71.9,68.5,75.1,1029
93,Papua Selatan,32.9,28.0,38.2,16.1,13.6,19.0,51.0,46.3,55.6,546
94,Papua Tengah,40.9,35.5,46.4,18.6,15.2,22.5,40.5,35.5,45.8,1528
95,Papua Pegunungan,62.0,54.9,68.6,14.4,10.4,19.6,23.6,19.2,28.8,1516
0,INDONESIA,14.7,14.4,15.1,6.3,6.1,6.5,78.9,78.6,79.3,315621
