province_code,province,less_than_equal_30_minute,more_than_30_minute,weighted_n
11,Aceh,92.1,7.9,3142
12,Sumatera Utara,96.9,3.1,10021
13,Sumatera Barat,97.1,2.9,3527
14,Riau,94.9,5.1,3138
15,Jambi,98.6,1.4,2823
16,Sumatera Selatan,98.3,1.7,7326
17,Bengkulu,98.6,1.5,2072
18,Lampung,96.7,3.3,8310
19,Kep. Bangka Belitung,97.5,2.5,564
21,Kepulauan Riau,95.8,4.2,566
31,DKI Jakarta,97.0,3.0,2716
32,Jawa Barat,93.2,6.9,30082
33,Jawa Tengah,96.1,3.9,30593
34,DI Yogyakarta,98.7,1.3,3859
35,Jawa Timur,95.4,4.6,32371
36,Banten,95.3,4.7,5753
51,Bali,99.5,0.5,2606
52,Nusa Tenggara Barat,96.5,3.5,4659
53,Nusa Tenggara Timur,92.6,7.4,4969
61,Kalimantan Barat,97.2,2.8,4193
62,Kalimantan Tengah,93.1,7.0,1427
63,Kalimantan Selatan,96.2,3.8,2880
64,Kalimantan Timur,97.0,3.0,924
65,Kalimantan Utara,91.3,8.7,201
71,Sulawesi Utara,93.8,6.3,1401
72,Sulawesi Tengah,91.5,8.5,1749
73,Sulawesi Selatan,93.9,6.1,5820
74,Sulawesi Tenggara,87.7,12.3,1646
75,Gorontalo,96.4,3.6,417
76,Sulawesi Barat,88.2,11.8,1020
82,Maluku,93.8,6.2,1362
81,Maluku Utara,94.0,6.0,941
92,Papua Barat,94.2,5.8,378
96,Papua Barat Daya,89.4,10.6,255
91,Papua,92.7,7.3,535
93,Papua Selatan,87.6,12.4,337
94,Papua Tengah,85.0,15.0,1187
95,Papua Pegunungan,77.5,22.5,1386
0,INDONESIA,95.1,4.9,187152
