province_code,province,marble_granite,ceramic,parquet_vinyl_carpet,tiles_terazzo,wood_board,cement_red_brick,bamboo,soil,others,proper_flooring,weighted_n
11,Aceh,3.3,30.8,2.4,1.4,5.3,55.2,0.4,1.3,0.1,98.3,5756
12,Sumatera Utara,1.8,46.9,1.1,2.3,4.8,42.3,0.3,0.4,0.1,99.2,15884
13,Sumatera Barat,2.1,38.0,1.5,2.7,6.1,48.8,0.5,0.3,0.1,99.2,6042
14,Riau,2.6,39.8,1.3,3.5,16.9,35.1,0.3,0.4,0.1,99.2,7051
15,Jambi,2.4,40.1,1.6,2.0,15.2,37.9,0.3,0.5,0.0,99.3,4051
16,Sumatera Selatan,2.2,45.4,0.7,2.7,15.7,32.3,0.3,0.8,0.0,98.9,9402
17,Bengkulu,2.5,52.0,0.3,3.1,3.6,37.9,0.3,0.3,0.0,99.4,2323
18,Lampung,3.5,43.4,0.7,5.8,1.6,42.7,0.6,1.5,0.2,97.7,10424
19,Kep. Bangka Belitung,4.9,66.6,0.9,5.5,1.1,20.6,0.3,0.1,0.0,99.6,1707
21,Kepulauan Riau,2.7,68.9,1.1,1.2,10.2,15.6,0.1,0.2,0.0,99.7,2514
31,DKI Jakarta,2.7,82.5,0.6,11.1,0.7,2.3,0.0,0.0,0.0,99.9,12317
32,Jawa Barat,3.7,77.4,0.6,6.0,4.7,6.1,0.5,0.9,0.1,98.5,58510
33,Jawa Tengah,2.8,61.7,0.6,9.9,0.7,16.8,0.5,6.9,0.1,92.5,44456
34,DI Yogyakarta,2.8,67.4,0.4,11.0,0.1,16.8,0.3,1.0,0.1,98.5,4957
35,Jawa Timur,2.9,68.6,0.7,6.9,0.2,15.5,0.5,4.5,0.3,94.8,50588
36,Banten,3.8,84.6,0.7,3.4,1.4,3.9,1.2,0.9,0.0,97.9,13332
51,Bali,4.0,82.1,0.3,1.5,0.2,11.6,0.1,0.2,0.0,99.6,5149
52,Nusa Tenggara Barat,2.1,51.3,0.6,2.0,6.4,36.4,0.5,0.8,0.0,98.7,6849
53,Nusa Tenggara Timur,1.4,25.5,0.6,3.0,3.4,52.7,3.8,9.4,0.3,86.5,5333
61,Kalimantan Barat,1.4,45.5,0.6,4.5,28.9,18.8,0.2,0.0,0.1,99.7,5783
62,Kalimantan Tengah,0.8,30.3,1.2,1.9,54.8,10.3,0.4,0.2,0.0,99.4,3178
63,Kalimantan Selatan,1.0,28.3,0.7,1.8,58.9,8.7,0.3,0.2,0.2,99.3,5023
64,Kalimantan Timur,0.8,45.5,1.5,2.9,39.0,10.0,0.1,0.1,0.2,99.7,4319
65,Kalimantan Utara,2.6,31.8,1.3,7.7,47.3,8.9,0.2,0.2,0.1,99.6,729
71,Sulawesi Utara,2.3,26.8,0.7,21.4,5.0,41.2,0.4,1.9,0.2,97.5,3031
72,Sulawesi Tengah,1.7,25.1,1.6,17.7,9.3,42.8,0.5,1.2,0.1,98.1,3215
73,Sulawesi Selatan,2.1,21.5,0.8,21.6,31.4,21.8,0.3,0.4,0.1,99.2,9483
74,Sulawesi Tenggara,2.8,30.1,1.7,12.5,15.0,36.1,1.0,0.8,0.2,98.1,2733
75,Gorontalo,1.8,14.8,1.3,31.9,1.5,47.9,0.3,0.2,0.2,99.2,1260
76,Sulawesi Barat,0.9,16.8,1.1,20.8,20.6,38.2,0.6,0.8,0.1,98.5,1467
82,Maluku,1.7,35.6,2.6,23.9,3.7,30.3,1.1,1.1,0.0,97.8,1751
81,Maluku Utara,5.2,24.2,1.6,17.1,3.7,45.2,0.9,2.0,0.2,97.0,1222
92,Papua Barat,1.8,37.4,1.9,14.9,13.3,29.9,0.4,0.2,0.1,99.2,563
96,Papua Barat Daya,0.9,49.2,2.3,6.1,12.1,26.4,0.4,2.3,0.4,97.0,599
91,Papua,1.7,40.5,1.6,8.8,18.4,28.7,0.2,0.1,0.0,99.7,1029
93,Papua Selatan,0.8,20.8,1.5,6.4,40.3,27.8,0.7,1.6,0.2,97.6,546
94,Papua Tengah,0.9,20.5,0.8,3.4,62.3,6.0,3.4,2.4,0.3,93.9,1528
95,Papua Pegunungan,0.1,4.3,2.7,3.0,58.3,17.0,3.6,9.3,1.8,85.4,1516
0,INDONESIA,2.8,58.5,0.8,7.0,7.7,20.2,0.5,2.4,0.1,97.0,315621
