province_code,province,living_space_more_than_7m_square_percapita,safe_drinking_water,adequate_sanitation,adequate_house_durability,adequate_housing,adequate_housing_95%_CI_lower,adequate_housing_95%_CI_upper,weighted_n
11,Aceh,93.3,87.8,84.3,94.5,68.4,66.8,69.9,5756
12,Sumatera Utara,95.3,94.5,86.7,92.4,74.4,72.6,76.0,15884
13,Sumatera Barat,94.9,91.4,74.3,96.3,65.4,63.5,67.2,6042
14,Riau,96.5,91.0,89.2,95.8,76.7,74.6,78.7,7051
15,Jambi,98.6,92.6,91.7,95.8,80.8,78.9,82.6,4051
16,Sumatera Selatan,93.6,89.6,87.5,90.3,69.3,67.4,71.1,9402
17,Bengkulu,96.0,90.8,86.6,97.0,74.3,71.9,76.6,2323
18,Lampung,98.0,82.1,92.8,88.6,67.5,65.3,69.7,10424
19,Kep. Bangka Belitung,96.9,86.4,92.1,38.5,28.8,27.0,30.6,1707
21,Kepulauan Riau,96.7,92.1,86.8,68.8,57.2,52.3,62.0,2514
31,DKI Jakarta,80.7,98.0,89.4,40.8,32.0,29.1,35.0,12317
32,Jawa Barat,94.4,93.8,76.2,80.3,56.7,55.4,58.0,58510
33,Jawa Tengah,98.5,93.7,87.8,84.7,70.1,68.9,71.3,44456
34,DI Yogyakarta,98.1,88.2,94.6,92.1,76.3,73.9,78.6,4957
35,Jawa Timur,97.8,96.3,86.4,85.8,71.2,70.2,72.3,50588
36,Banten,96.8,95.3,87.4,73.8,62.2,59.5,64.8,13332
51,Bali,91.3,95.2,94.6,94.4,78.7,76.5,80.7,5149
52,Nusa Tenggara Barat,93.4,95.1,88.1,82.0,65.3,63.0,67.5,6849
53,Nusa Tenggara Timur,86.8,85.7,72.7,80.6,50.5,48.9,52.2,5333
61,Kalimantan Barat,96.4,88.7,81.5,97.3,69.3,67.1,71.4,5783
62,Kalimantan Tengah,94.9,81.5,79.9,91.6,61.3,58.7,63.9,3178
63,Kalimantan Selatan,95.4,85.9,81.4,85.3,59.6,57.2,61.9,5023
64,Kalimantan Timur,94.9,88.7,86.8,92.7,68.9,66.1,71.6,4319
65,Kalimantan Utara,96.3,93.5,87.9,97.4,78.3,74.3,81.7,729
71,Sulawesi Utara,94.3,92.1,90.2,94.5,76.2,74.0,78.2,3031
72,Sulawesi Tengah,91.6,93.2,82.8,94.4,70.7,68.8,72.5,3215
73,Sulawesi Selatan,94.9,93.0,90.3,88.2,71.7,70.2,73.2,9483
74,Sulawesi Tenggara,95.4,93.4,85.9,91.9,72.5,70.2,74.6,2733
75,Gorontalo,89.7,92.7,85.3,97.1,72.5,70.0,74.9,1260
76,Sulawesi Barat,92.5,89.2,85.8,93.9,68.8,65.5,71.8,1467
82,Maluku,94.6,91.6,79.4,92.7,67.2,64.7,69.6,1751
81,Maluku Utara,96.7,87.0,85.7,94.6,70.6,67.7,73.2,1222
92,Papua Barat,93.3,90.4,83.3,97.5,71.0,66.4,75.2,563
96,Papua Barat Daya,92.6,83.8,79.7,94.1,62.9,58.0,67.6,599
91,Papua,92.8,92.0,82.3,95.1,69.8,65.8,73.6,1029
93,Papua Selatan,88.7,74.5,65.9,88.4,47.2,42.7,51.7,546
94,Papua Tengah,79.4,77.3,28.0,85.7,23.1,18.8,28.0,1528
95,Papua Pegunungan,77.4,63.8,30.3,72.2,21.5,17.7,25.9,1516
0,INDONESIA,95.1,92.6,84.3,84.2,65.1,64.6,65.6,315621
