province_code,province,springkling_larvicide_powder_in_water_storage,installing_mosquito_screens_on_home_ventilation,draining_bathub_buckets,covering_household_water_storage,eliminating_used_items,weighted_n
11,Aceh,4.4,22.2,57.1,30.2,37.7,5756
12,Sumatera Utara,5.1,24.5,58.5,26.0,37.2,15884
13,Sumatera Barat,3.0,9.6,55.2,25.9,37.0,6042
14,Riau,7.4,23.9,51.2,40.1,47.0,7051
15,Jambi,7.5,18.9,61.8,42.6,49.5,4051
16,Sumatera Selatan,6.7,16.8,59.5,26.4,31.9,9402
17,Bengkulu,4.5,12.9,60.6,25.1,35.2,2323
18,Lampung,11.0,18.8,63.8,39.2,37.6,10424
19,Kep. Bangka Belitung,9.0,17.2,71.0,35.9,47.3,1707
21,Kepulauan Riau,8.6,13.5,63.6,23.6,25.5,2514
31,DKI Jakarta,10.1,37.2,58.6,27.8,30.0,12317
32,Jawa Barat,9.8,25.8,66.8,34.1,45.4,58510
33,Jawa Tengah,8.8,11.6,72.0,38.9,48.3,44456
34,DI Yogyakarta,12.0,10.3,75.4,41.6,48.8,4957
35,Jawa Timur,18.2,10.0,72.5,37.5,44.3,50588
36,Banten,4.3,26.8,65.0,24.0,37.0,13332
51,Bali,18.5,8.7,64.2,35.1,42.4,5149
52,Nusa Tenggara Barat,7.9,5.7,54.9,24.8,30.6,6849
53,Nusa Tenggara Timur,24.6,4.5,53.7,45.4,39.3,5333
61,Kalimantan Barat,19.1,10.6,54.9,47.9,44.0,5783
62,Kalimantan Tengah,8.1,20.4,48.8,46.9,46.0,3178
63,Kalimantan Selatan,6.7,18.6,53.2,40.0,38.0,5023
64,Kalimantan Timur,24.3,25.9,66.3,39.1,42.2,4319
65,Kalimantan Utara,18.9,12.5,55.3,50.8,48.7,729
71,Sulawesi Utara,2.1,2.2,55.7,39.3,44.3,3031
72,Sulawesi Tengah,3.6,5.6,50.2,26.5,34.5,3215
73,Sulawesi Selatan,10.5,9.8,64.9,36.3,35.3,9483
74,Sulawesi Tenggara,10.3,9.9,58.6,44.2,42.0,2733
75,Gorontalo,1.3,2.1,60.2,38.9,44.0,1260
76,Sulawesi Barat,5.6,8.0,57.8,43.4,42.8,1467
82,Maluku,6.3,7.1,53.8,36.0,30.5,1751
81,Maluku Utara,8.3,8.6,45.1,35.8,38.2,1222
92,Papua Barat,9.2,23.3,50.7,42.1,42.1,563
96,Papua Barat Daya,7.6,32.1,65.1,44.7,44.8,599
91,Papua,15.8,51.3,67.7,48.4,50.3,1029
93,Papua Selatan,4.8,32.7,35.9,35.1,28.8,546
94,Papua Tengah,6.5,25.5,36.8,21.7,29.2,1528
95,Papua Pegunungan,3.8,25.3,20.3,18.5,28.0,1516
0,INDONESIA,10.6,17.3,64.3,34.9,41.8,315621
