province_code,province,no_3m_or_3m_plus_efforts,no_3m_or_3m_plus_efforts_95%_CI_lower,no_3m_or_3m_plus_efforts_95%_CI_upper,3m_efforts,3m_efforts_95%_CI_lower,3m_efforts_95%_CI_upper,3m_plus_efforts,3m_plus_efforts_95%_CI_lower,3m_plus_efforts_95%_CI_upper,weighted_n
11,Aceh,83.4,81.9,84.9,8.3,7.4,9.3,8.3,7.4,9.3,5756
12,Sumatera Utara,85.1,83.4,86.6,6.6,5.8,7.5,8.3,6.9,10.0,15884
13,Sumatera Barat,85.6,83.8,87.3,10.9,9.5,12.6,3.4,2.9,4.1,6042
14,Riau,80.4,78.5,82.2,11.2,9.8,12.8,8.4,7.3,9.5,7051
15,Jambi,75.8,73.7,77.8,15.3,13.7,17.0,8.9,7.7,10.3,4051
16,Sumatera Selatan,85.9,84.5,87.2,8.0,7.0,9.2,6.0,5.3,6.8,9402
17,Bengkulu,86.6,84.7,88.3,9.1,7.7,10.7,4.3,3.5,5.3,2323
18,Lampung,77.6,75.2,79.8,13.0,11.4,14.8,9.3,7.8,11.1,10424
19,Kep. Bangka Belitung,75.9,73.0,78.5,14.3,12.4,16.5,9.8,8.4,11.5,1707
21,Kepulauan Riau,91.0,88.3,93.2,6.3,4.7,8.5,2.6,1.9,3.6,2514
31,DKI Jakarta,87.9,85.3,90.1,3.7,2.9,4.7,8.4,6.6,10.5,12317
32,Jawa Barat,78.9,77.7,80.0,10.3,9.6,11.1,10.8,10.0,11.6,58510
33,Jawa Tengah,75.9,74.7,77.0,17.4,16.5,18.3,6.7,6.2,7.3,44456
34,DI Yogyakarta,75.2,72.3,77.9,17.7,15.5,20.1,7.1,6.1,8.3,4957
35,Jawa Timur,75.7,74.5,76.9,14.8,13.9,15.8,9.4,8.6,10.3,50588
36,Banten,88.3,86.8,89.6,6.6,5.6,7.7,5.2,4.4,6.1,13332
51,Bali,78.1,75.2,80.8,13.4,11.2,16.1,8.5,7.1,10.1,5149
52,Nusa Tenggara Barat,86.9,84.9,88.6,9.6,8.1,11.4,3.5,2.9,4.2,6849
53,Nusa Tenggara Timur,75.9,74.1,77.6,14.2,12.9,15.6,9.9,8.9,11.0,5333
61,Kalimantan Barat,79.2,77.3,81.1,12.8,11.5,14.3,8.0,6.9,9.2,5783
62,Kalimantan Tengah,82.6,80.8,84.2,9.9,8.7,11.2,7.5,6.5,8.7,3178
63,Kalimantan Selatan,81.7,79.9,83.4,11.4,10.1,12.8,6.9,6.0,7.9,5023
64,Kalimantan Timur,77.9,75.6,80.1,8.4,7.1,9.8,13.7,12.1,15.5,4319
65,Kalimantan Utara,69.5,64.7,73.9,20.8,16.9,25.3,9.8,7.8,12.1,729
71,Sulawesi Utara,79.7,77.4,81.8,19.0,17.0,21.2,1.3,1.0,1.7,3031
72,Sulawesi Tengah,88.7,86.9,90.3,9.5,8.1,11.1,1.8,1.3,2.4,3215
73,Sulawesi Selatan,80.9,79.3,82.4,13.3,12.2,14.6,5.8,5.0,6.8,9483
74,Sulawesi Tenggara,76.3,74.0,78.5,15.3,13.4,17.4,8.4,7.3,9.6,2733
75,Gorontalo,75.4,71.6,78.9,23.5,20.0,27.3,1.1,0.8,1.6,1260
76,Sulawesi Barat,75.5,71.6,79.0,17.9,14.7,21.5,6.6,5.1,8.6,1467
82,Maluku,81.4,78.5,84.1,14.7,12.3,17.4,3.9,3.1,4.9,1751
81,Maluku Utara,82.8,80.5,84.9,10.8,9.2,12.7,6.4,5.3,7.7,1222
92,Papua Barat,76.6,72.9,79.9,12.2,9.9,14.8,11.3,9.2,13.8,563
96,Papua Barat Daya,72.3,68.8,75.5,12.1,10.2,14.3,15.6,13.0,18.7,599
91,Papua,68.3,64.2,72.1,7.9,5.9,10.6,23.8,20.4,27.6,1029
93,Papua Selatan,84.3,80.8,87.2,5.0,3.5,7.1,10.7,8.4,13.5,546
94,Papua Tengah,90.2,86.3,93.1,2.7,1.7,4.3,7.1,4.6,10.8,1528
95,Papua Pegunungan,89.9,86.5,92.5,3.0,2.1,4.2,7.1,5.0,10.0,1516
0,INDONESIA,79.8,79.5,80.2,12.0,11.7,12.3,8.1,7.9,8.4,315621
