province_code,province,no_access,no_access_95%_CI_lower,no_access_95%_CI_upper,inadequate_access,inadequate_access_95%_CI_lower,inadequate_access_95%_CI_upper,adequate_limited_access,adequate_limited_access_95%_CI_lower,adequate_limited_access_95%_CI_upper,adequate_basic_access,adequate_basic_access_95%_CI_lower,adequate_basic_access_95%_CI_upper,weighted_n
11,Aceh,1.6,1.2,2.1,10.6,9.5,11.9,4.6,3.7,5.6,83.2,81.6,84.7,5756
12,Sumatera Utara,0.9,0.7,1.1,4.6,4.0,5.3,1.9,1.4,2.7,92.6,91.5,93.5,15886
13,Sumatera Barat,1.3,1.1,1.7,7.2,6.3,8.3,1.6,1.0,2.7,89.8,88.3,91.1,6043
14,Riau,1.5,1.1,2.0,7.6,6.4,8.9,1.9,1.3,2.8,89.0,87.5,90.4,7052
15,Jambi,0.9,0.5,1.5,6.6,5.5,7.9,1.2,0.8,1.8,91.3,89.9,92.6,4051
16,Sumatera Selatan,4.0,3.2,5.0,6.4,5.6,7.3,1.2,0.9,1.5,88.5,87.1,89.7,9403
17,Bengkulu,0.7,0.4,1.2,8.5,7.1,10.0,1.0,0.6,1.8,89.8,88.2,91.3,2323
18,Lampung,0.4,0.3,0.7,17.5,15.4,19.8,2.9,2.2,3.9,79.1,76.9,81.2,10424
19,Kep. Bangka Belitung,1.4,1.0,2.0,12.2,10.6,13.9,2.2,1.6,3.1,84.2,82.3,86.0,1708
21,Kepulauan Riau,0.4,0.1,2.1,7.5,6.1,9.2,2.0,1.1,3.6,90.1,87.7,92.1,2514
31,DKI Jakarta,0.0,0.0,0.0,2.0,1.5,2.7,1.8,0.7,4.5,96.2,94.1,97.6,12318
32,Jawa Barat,0.5,0.4,0.7,5.7,5.0,6.3,4.0,3.4,4.7,89.8,88.9,90.7,58514
33,Jawa Tengah,0.5,0.2,0.9,5.8,5.2,6.6,3.2,2.7,3.8,90.5,89.5,91.4,44459
34,DI Yogyakarta,0.1,0.0,0.3,11.7,9.9,13.8,1.2,0.7,1.9,87.1,84.9,88.9,4957
35,Jawa Timur,0.1,0.1,0.2,3.6,3.1,4.1,3.0,2.4,3.7,93.3,92.5,94.1,50591
36,Banten,0.3,0.1,0.6,4.4,3.5,5.5,2.5,1.8,3.4,92.9,91.4,94.1,13333
51,Bali,0.2,0.1,0.6,4.6,3.7,5.8,0.2,0.1,0.4,94.9,93.7,95.9,5149
52,Nusa Tenggara Barat,0.3,0.1,0.7,4.6,3.5,5.9,2.6,1.7,3.9,92.5,90.8,94.0,6849
53,Nusa Tenggara Timur,2.4,1.8,3.2,11.8,10.8,13.0,4.7,3.9,5.5,81.1,79.6,82.4,5335
61,Kalimantan Barat,6.1,5.2,7.2,5.2,4.2,6.3,1.7,1.2,2.3,87.1,85.5,88.5,5784
62,Kalimantan Tengah,12.7,10.6,15.1,5.9,4.9,7.1,2.9,2.1,4.0,78.5,75.9,80.9,3178
63,Kalimantan Selatan,9.3,7.8,11.1,4.8,3.9,5.8,2.0,1.4,2.8,83.9,81.9,85.7,5023
64,Kalimantan Timur,5.8,4.3,7.7,5.6,4.5,6.4,1.5,1.1,2.1,87.2,85.1,89.1,4320
65,Kalimantan Utara,3.0,2.0,4.6,3.4,2.3,5.1,4.2,2.7,6.4,89.4,86.7,91.5,729
71,Sulawesi Utara,0.6,0.1,2.8,7.3,6.0,8.8,4.4,3.4,5.8,87.6,85.5,89.5,3031
72,Sulawesi Tengah,1.4,0.9,2.1,5.4,4.5,6.4,5.1,4.1,6.3,88.1,86.4,89.5,3216
73,Sulawesi Selatan,0.6,0.3,1.0,6.5,5.7,7.3,4.1,3.5,4.8,88.9,87.8,89.9,9484
74,Sulawesi Tenggara,0.3,0.2,0.7,6.3,5.3,7.4,9.8,8.2,11.7,83.5,81.3,85.6,2733
75,Gorontalo,0.9,0.3,1.0,6.4,4.9,8.2,1.9,1.3,2.8,90.9,88.8,92.6,1260
76,Sulawesi Barat,2.8,1.6,4.8,8.0,6.2,10.4,6.9,4.9,9.6,82.3,78.7,85.4,1468
82,Maluku,0.5,0.3,0.8,8.0,6.6,9.6,4.4,3.4,5.6,87.2,85.2,89.0,1753
81,Maluku Utara,1.3,0.6,2.7,11.6,9.7,13.9,3.3,2.4,4.5,83.8,81.1,86.1,1222
92,Papua Barat,2.1,1.1,4.2,7.4,5.1,10.7,3.8,2.7,5.4,86.6,82.9,89.6,563
96,Papua Barat Daya,4.4,3.3,5.8,11.8,9.4,14.5,5.8,3.5,9.6,78.0,74.0,81.5,599
91,Papua,2.0,1.3,3.2,6.0,4.9,7.4,5.2,3.4,8.0,86.7,83.9,89.1,1030
93,Papua Selatan,3.4,2.2,5.2,22.1,18.3,26.5,5.1,3.6,7.0,69.5,65.1,73.5,546
94,Papua Tengah,3.6,1.7,7.2,19.2,14.6,24.7,2.6,0.8,7.7,74.7,68.5,80.1,1528
95,Papua Pegunungan,11.0,7.4,16.2,25.1,20.4,30.5,6.3,4.3,9.1,57.5,52.1,62.8,1516
0,INDONESIA,1.2,1.1,1.3,6.2,6.0,6.4,3.0,2.8,3.2,89.6,89.3,89.9,315646
