province_code,province,turbid,colored,has_taste,foamy,smelly,weighted_n
11,Aceh,5.5,3.3,1.8,0.6,1.3,5756
12,Sumatera Utara,3.6,1.8,1.9,0.8,1.2,15886
13,Sumatera Barat,2.7,1.7,1.4,0.7,1.3,6043
14,Riau,1.9,1.5,2.0,0.4,0.7,7052
15,Jambi,2.0,0.8,0.8,0.3,0.6,4051
16,Sumatera Selatan,3.1,1.7,2.1,0.6,1.3,9403
17,Bengkulu,2.1,1.4,1.0,0.6,1.3,2323
18,Lampung,2.2,1.1,1.3,0.8,1.1,10424
19,Kep. Bangka Belitung,0.5,0.3,0.3,0.2,0.3,1708
21,Kepulauan Riau,2.9,0.1,1.4,0.1,0.1,2514
31,DKI Jakarta,1.3,1.2,3.2,0.2,0.5,12318
32,Jawa Barat,2.0,1.0,1.8,0.7,1.4,58514
33,Jawa Tengah,1.9,0.9,1.5,0.6,1.1,44459
34,DI Yogyakarta,3.1,0.8,1.1,0.5,1.0,4957
35,Jawa Timur,1.8,0.9,1.2,0.7,0.8,50591
36,Banten,2.5,1.0,1.9,0.6,1.2,13333
51,Bali,1.7,0.6,1.1,0.5,0.9,5149
52,Nusa Tenggara Barat,1.7,0.8,1.5,0.4,0.8,6849
53,Nusa Tenggara Timur,4.6,2.6,2.5,1.1,1.3,5335
61,Kalimantan Barat,1.6,1.5,3.5,0.5,0.7,5784
62,Kalimantan Tengah,6.3,4.5,4.5,1.1,2.1,3178
63,Kalimantan Selatan,3.9,1.9,2.8,0.6,1.2,5023
64,Kalimantan Timur,3.3,1.9,2.1,0.8,1.6,4320
65,Kalimantan Utara,2.5,1.1,0.9,0.7,1.1,729
71,Sulawesi Utara,1.7,0.6,1.4,0.4,0.5,3031
72,Sulawesi Tengah,3.3,1.6,2.5,0.6,0.9,3216
73,Sulawesi Selatan,3.7,2.2,2.5,1.5,2.1,9484
74,Sulawesi Tenggara,3.1,2.0,2.3,1.3,1.6,2733
75,Gorontalo,1.2,0.4,2.5,0.4,0.6,1260
76,Sulawesi Barat,2.8,1.8,1.9,1.1,1.8,1468
82,Maluku,5.7,1.6,2.9,0.7,1.2,1753
81,Maluku Utara,2.1,0.8,2.0,0.5,0.5,1222
92,Papua Barat,3.8,2.1,1.2,0.4,0.9,563
96,Papua Barat Daya,2.0,1.5,5.8,1.0,1.6,599
91,Papua,4.6,3.2,4.1,1.3,1.9,1030
93,Papua Selatan,4.9,3.2,3.4,1.1,1.4,546
94,Papua Tengah,13.8,5.0,3.2,0.7,1.2,1528
95,Papua Pegunungan,20.3,10.0,18.4,3.9,6.1,1516
0,INDONESIA,2.5,1.3,1.9,0.7,1.1,315646
