province_code,province,symptoms,symptoms_95%_CI_lower,symptoms_95%_CI_upper,symptoms_plus_diagnosis,symptoms_plus_diagnosis_95%_CI_lower,symptoms_plus_diagnosis_95%_CI_upper,weighted_n
11,Aceh,4.6,3.3,6.2,4.0,2.9,5.7,5756
12,Sumatera Utara,1.6,1.1,2.3,1.1,0.7,1.7,15884
13,Sumatera Barat,4.8,3.4,6.7,4.5,3.1,6.4,6042
14,Riau,2.6,1.5,4.4,1.6,0.8,3.2,7051
15,Jambi,2.8,1.4,5.5,2.8,1.4,5.5,4051
16,Sumatera Selatan,3.0,2.0,4.5,2.1,1.4,3.2,9402
17,Bengkulu,2.8,1.6,4.6,2.1,1.2,3.9,2323
18,Lampung,2.8,1.6,4.8,2.0,1.0,4.2,10424
21,Kepulauan Riau,2.6,0.6,10.5,2.6,0.6,10.5,2514
31,DKI Jakarta,4.9,2.8,8.3,4.9,2.8,8.3,12317
32,Jawa Barat,3.8,2.9,4.9,2.4,1.8,3.4,58510
33,Jawa Tengah,6.5,5.4,7.9,5.1,4.1,6.4,44456
34,DI Yogyakarta,9.3,6.1,14.2,7.8,4.9,12.4,4957
35,Jawa Timur,4.2,3.3,5.3,3.0,2.3,4.0,50588
36,Banten,2.0,1.0,4.3,1.1,0.4,2.9,13332
51,Bali,1.4,0.7,2.9,0.9,0.4,2.0,5149
52,Nusa Tenggara Barat,3.7,2.0,6.8,3.0,1.5,6.1,6849
53,Nusa Tenggara Timur,5.5,4.3,7.0,3.4,2.4,4.8,5333
61,Kalimantan Barat,2.7,1.7,4.4,2.2,1.3,3.6,5783
62,Kalimantan Tengah,2.4,1.3,4.4,1.8,0.9,3.9,3178
63,Kalimantan Selatan,4.8,3.2,7.1,3.9,2.5,6.1,5023
64,Kalimantan Timur,3.6,1.9,6.8,3.1,1.6,6.2,4319
65,Kalimantan Utara,1.9,0.7,5.0,1.6,0.5,4.9,729
71,Sulawesi Utara,1.2,0.5,3.1,1.2,0.4,3.1,3031
72,Sulawesi Tengah,3.9,2.5,6.1,3.4,2.1,5.5,3215
73,Sulawesi Selatan,4.8,3.7,6.3,3.1,2.3,4.1,9483
74,Sulawesi Tenggara,2.9,1.9,4.5,2.2,1.4,3.6,2733
75,Gorontalo,2.9,1.4,5.9,2.3,1.1,4.9,1260
76,Sulawesi Barat,5.9,3.2,10.8,4.2,2.1,8.3,1467
82,Maluku,1.3,0.6,2.8,1.2,0.6,2.7,1751
81,Maluku Utara,1.7,0.7,4.3,1.6,0.6,4.3,1222
92,Papua Barat,1.1,0.4,3.0,0.6,0.2,2.6,563
96,Papua Barat Daya,1.3,0.5,3.4,0.7,0.2,3.0,599
91,Papua,3.0,1.0,9.0,1.6,0.5,5.1,1029
93,Papua Selatan,1.0,0.1,7.0,1.0,0.1,7.0,546
94,Papua Tengah,3.0,1.3,6.9,0.4,0.1,2.7,1528
95,Papua Pegunungan,2.2,0.8,6.0,0.2,0.0,1.2,1516
0,INDONESIA,4.0,3.7,4.4,3.0,2.7,3.3,315621
