province_code,province,depression,depression_95%_CI_lower,depression_95%_CI_upper,weighted_n
11,Aceh,0.8,0.6,1.1,11858
12,Sumatera Utara,1.2,0.9,1.6,33667
13,Sumatera Barat,0.8,0.6,1.0,12973
14,Riau,0.6,0.5,0.8,14408
15,Jambi,0.3,0.2,0.4,7890
16,Sumatera Selatan,0.5,0.4,0.6,19282
17,Bengkulu,0.5,0.4,0.8,4674
18,Lampung,0.5,0.4,0.6,20646
21,Kepulauan Riau,0.5,0.3,0.8,4778
31,DKI Jakarta,1.5,1.2,2.0,24697
32,Jawa Barat,3.3,3.0,3.7,113568
33,Jawa Tengah,1.0,0.9,1.2,86668
34,DI Yogyakarta,1.5,1.2,1.8,8827
35,Jawa Timur,0.7,0.6,0.8,97746
36,Banten,1.7,1.3,2.4,27507
51,Bali,0.2,0.1,0.3,10412
52,Nusa Tenggara Barat,1.3,1.0,1.8,11964
53,Nusa Tenggara Timur,1.1,0.9,1.3,11779
61,Kalimantan Barat,0.5,0.4,0.7,12525
62,Kalimantan Tengah,0.3,0.2,0.4,6163
63,Kalimantan Selatan,0.5,0.4,0.7,9301
64,Kalimantan Timur,2.2,1.7,2.7,8850
65,Kalimantan Utara,0.5,0.3,0.9,1637
71,Sulawesi Utara,1.4,1.0,1.8,6178
72,Sulawesi Tengah,1.5,1.1,1.9,6832
73,Sulawesi Selatan,1.7,1.4,2.0,21208
74,Sulawesi Tenggara,0.8,0.6,1.0,5912
75,Gorontalo,1.0,0.7,1.5,2753
76,Sulawesi Barat,0.6,0.4,0.9,3171
82,Maluku,0.7,0.5,0.9,4273
81,Maluku Utara,0.7,0.5,0.9,2920
92,Papua Barat,0.7,0.4,1.1,1219
96,Papua Barat Daya,1.1,0.7,1.7,1359
91,Papua,0.6,0.4,0.9,2059
93,Papua Selatan,0.5,0.3,1.1,982
94,Papua Tengah,1.0,0.5,2.0,3249
95,Papua Pegunungan,0.8,0.4,1.9,3454
0,INDONESIA,1.4,1.3,1.5,630827
