province_code,province,diagnosis,diagnosis_95%_CI_lower,diagnosis_95%_CI_upper,diagnosis_or_symptoms,diagnosis_or_symptoms_95%_CI_lower,diagnosis_or_symptoms_95%_CI_upper,weighted_n
11,Aceh,2.5,2.2,2.9,4.2,3.7,4.7,17271
12,Sumatera Utara,2.3,2.1,2.6,4.7,4.1,5.4,48469
13,Sumatera Barat,2.2,1.9,2.5,3.9,3.5,4.3,18138
14,Riau,1.3,1.1,1.5,2.6,2.2,3.0,20925
15,Jambi,1.4,1.2,1.8,2.3,1.9,2.8,11588
16,Sumatera Selatan,1.8,1.6,2.1,3.1,2.8,3.5,27532
17,Bengkulu,1.8,1.5,2.1,3.5,3.0,4.1,6571
18,Lampung,1.7,1.4,2.0,2.8,2.5,3.2,29331
19,Kep. Bangka Belitung,0.9,0.7,1.1,2.3,1.8,2.8,4763
21,Kepulauan Riau,0.8,0.6,1.2,2.1,1.7,2.7,6782
31,DKI Jakarta,1.3,1.0,1.6,3.4,2.8,4.3,33552
32,Jawa Barat,2.6,2.4,2.8,5.8,5.4,6.2,156977
33,Jawa Tengah,1.6,1.4,1.7,3.6,3.4,3.9,118184
34,DI Yogyakarta,1.1,0.9,1.4,3.2,2.8,3.6,11757
35,Jawa Timur,1.8,1.7,2.0,3.8,3.6,4.1,130683
36,Banten,2.4,2.0,2.8,5.7,4.7,6.9,38751
51,Bali,1.3,1.1,1.6,2.4,2.1,2.8,13859
52,Nusa Tenggara Barat,1.8,1.6,2.2,4.2,3.6,4.8,17522
53,Nusa Tenggara Timur,1.5,1.3,1.6,4.0,3.5,4.5,17550
61,Kalimantan Barat,1.6,1.3,2.0,3.4,2.9,3.9,17713
62,Kalimantan Tengah,1.3,1.1,1.7,2.7,2.3,3.2,8737
63,Kalimantan Selatan,1.5,1.3,1.7,3.2,2.9,3.6,13299
64,Kalimantan Timur,1.6,1.3,1.9,4.2,3.6,4.8,12360
65,Kalimantan Utara,0.9,0.7,1.3,2.2,1.6,3.1,2300
71,Sulawesi Utara,1.3,1.1,1.5,3.6,3.2,4.1,8439
72,Sulawesi Tengah,1.9,1.6,2.2,4.5,3.9,5.2,9721
73,Sulawesi Selatan,1.8,1.6,2.0,5.6,5.1,6.1,29481
74,Sulawesi Tenggara,1.2,1.0,1.4,3.4,3.0,3.8,8664
75,Gorontalo,2.1,1.7,2.6,4.3,3.7,5.0,3821
76,Sulawesi Barat,1.9,1.4,2.6,4.5,3.7,5.4,4667
82,Maluku,0.9,0.8,1.2,2.6,2.1,3.3,6050
81,Maluku Utara,2.0,1.6,2.4,2.9,2.5,3.5,4213
92,Papua Barat,1.4,1.0,1.9,3.1,2.4,3.9,1795
96,Papua Barat Daya,2.4,1.8,3.3,5.1,4.1,6.4,1947
91,Papua,2.2,1.8,2.8,4.1,3.4,4.9,3299
93,Papua Selatan,4.2,3.2,5.4,7.6,6.3,9.2,1684
94,Papua Tengah,13.0,8.7,19.1,16.1,11.5,22.0,4577
95,Papua Pegunungan,10.4,8.5,12.7,14.6,11.9,17.8,4563
0,INDONESIA,2.0,1.9,2.1,4.3,4.2,4.4,877531
