province_code,province,diagnosis,diagnosis_95%_CI_lower,diagnosis_95%_CI_upper,diagnosis_or_symptoms,diagnosis_or_symptoms_95%_CI_lower,diagnosis_or_symptoms_95%_CI_upper,weighted_n
11,Aceh,0.55,0.42,0.73,15.3,14.1,16.6,17271
12,Sumatera Utara,0.36,0.25,0.51,12.9,11.8,14.0,48469
13,Sumatera Barat,0.46,0.36,0.58,12.0,10.8,13.3,18138
14,Riau,0.34,0.22,0.53,11.4,9.8,13.1,20925
15,Jambi,0.29,0.2,0.41,12.5,11.1,14.2,11588
16,Sumatera Selatan,0.24,0.18,0.33,14.0,12.6,15.6,27532
17,Bengkulu,0.43,0.3,0.61,15.3,13.8,17.0,6571
18,Lampung,0.52,0.4,0.66,8.3,7.4,9.4,29331
19,Kep. Bangka Belitung,0.38,0.25,0.58,8.0,6.6,9.7,4763
21,Kepulauan Riau,0.23,0.12,0.45,5.1,4.2,6.1,6782
31,DKI Jakarta,0.66,0.47,0.92,9.0,7.7,10.4,33552
32,Jawa Barat,0.54,0.46,0.63,11.2,10.5,11.9,156977
33,Jawa Tengah,0.41,0.34,0.48,6.8,6.4,7.4,118184
34,DI Yogyakarta,0.48,0.34,0.68,7.4,6.2,8.8,11757
35,Jawa Timur,0.47,0.4,0.56,7.6,7.0,8.2,130683
36,Banten,0.59,0.43,0.8,13.0,11.4,14.8,38751
51,Bali,0.44,0.33,0.59,4.6,4.0,5.4,13859
52,Nusa Tenggara Barat,0.43,0.32,0.58,11.7,10.5,13.2,17522
53,Nusa Tenggara Timur,0.66,0.56,0.77,22.1,20.7,23.5,17550
61,Kalimantan Barat,0.29,0.22,0.4,10.5,9.3,11.9,17713
62,Kalimantan Tengah,0.42,0.29,0.61,9.4,8.1,10.9,8737
63,Kalimantan Selatan,0.4,0.3,0.52,7.4,6.5,8.5,13299
64,Kalimantan Timur,0.49,0.36,0.65,7.4,6.5,8.4,12360
65,Kalimantan Utara,0.5,0.3,0.83,14.1,11.8,16.7,2300
71,Sulawesi Utara,0.39,0.27,0.57,11.9,10.7,13.2,8439
72,Sulawesi Tengah,0.35,0.26,0.46,16.5,14.9,18.1,9721
73,Sulawesi Selatan,0.33,0.26,0.42,15.5,14.4,16.7,29481
74,Sulawesi Tenggara,0.41,0.31,0.52,18.2,16.6,20.0,8664
75,Gorontalo,0.36,0.24,0.54,12.8,10.9,15.0,3821
76,Sulawesi Barat,0.34,0.23,0.5,14.2,12.6,16.1,4667
82,Maluku,0.43,0.31,0.58,12.8,11.5,14.3,6050
81,Maluku Utara,0.57,0.41,0.8,19.4,17.1,21.9,4213
92,Papua Barat,0.82,0.47,1.4,16.4,13.9,19.3,1795
96,Papua Barat Daya,0.93,0.53,1.63,12.1,10.2,14.2,1947
91,Papua,0.9,0.68,1.18,14.4,12.4,16.5,3299
93,Papua Selatan,0.94,0.63,1.4,19.1,15.8,22.9,1684
94,Papua Tengah,3.03,2.16,4.24,25.8,21.5,30.6,4577
95,Papua Pegunungan,2.28,1.53,3.38,36.6,31.1,42.5,4563
0,INDONESIA,0.48,0.46,0.51,10.8,10.5,11.0,877531
