province_code,province,prevalence_malaria,prevalence_malaria_95%_CI_lower,prevalence_malaria_95%_CI_upper,weigted_n_malaria,treat_ACT_1day,treat_ACT_14day,others,weighted_n_treatment
11,Aceh,0.35,0.28,0.46,17271,3.1,3.7,3.3,104
12,Sumatera Utara,0.38,0.28,0.52,48469,6.2,8.0,6.7,315
13,Sumatera Barat,0.21,0.15,0.28,18138,7.9,2.3,0.0,64
14,Riau,0.3,0.22,0.43,20925,9.8,5.3,5.8,108
15,Jambi,0.25,0.17,0.38,11588,12.0,18.4,1.0,50
16,Sumatera Selatan,0.36,0.28,0.47,27532,21.0,15.7,17.5,170
17,Bengkulu,0.63,0.47,0.85,6571,28.9,11.9,11.3,71
18,Lampung,0.48,0.35,0.65,29331,4.0,6.0,8.6,238
19,Kep. Bangka Belitung,0.39,0.28,0.55,4763,16.0,5.4,4.2,32
21,Kepulauan Riau,0.12,0.06,0.25,6782,2.7,2.0,0.0,14
31,DKI Jakarta,0.16,0.08,0.31,33552,0.0,17.7,0.0,89
32,Jawa Barat,0.15,0.11,0.21,156977,10.3,13.7,0.0,414
33,Jawa Tengah,0.13,0.1,0.17,118184,2.0,4.9,4.9,260
34,DI Yogyakarta,0.11,0.05,0.24,11757,9.4,8.9,0.0,23
35,Jawa Timur,0.14,0.11,0.19,130683,2.9,5.6,6.8,319
36,Banten,0.19,0.11,0.31,38751,8.1,0.6,0.0,125
51,Bali,0.09,0.05,0.19,13859,4.5,6.6,0.0,22
52,Nusa Tenggara Barat,0.18,0.1,0.3,17522,30.2,9.9,12.7,53
53,Nusa Tenggara Timur,0.71,0.58,0.86,17550,30.1,28.3,9.9,212
61,Kalimantan Barat,0.2,0.14,0.29,17713,9.2,19.0,2.2,60
62,Kalimantan Tengah,0.28,0.18,0.43,8737,12.4,3.5,3.2,41
63,Kalimantan Selatan,0.25,0.18,0.34,13299,0.8,8.0,2.4,56
64,Kalimantan Timur,0.29,0.19,0.45,12360,25.0,9.3,12.5,61
65,Kalimantan Utara,0.33,0.16,0.71,2300,15.8,0.0,0.0,13
71,Sulawesi Utara,0.46,0.34,0.62,8439,17.0,11.8,17.7,66
72,Sulawesi Tengah,0.67,0.45,0.99,9721,15.4,14.5,9.7,111
73,Sulawesi Selatan,0.23,0.18,0.3,29481,8.8,16.7,3.1,115
74,Sulawesi Tenggara,0.26,0.18,0.38,8664,10.3,12.5,5.2,39
75,Gorontalo,0.25,0.14,0.44,3821,12.6,8.9,3.2,16
76,Sulawesi Barat,0.54,0.37,0.79,4667,13.3,10.1,2.8,43
82,Maluku,0.47,0.34,0.65,6050,5.4,15.0,4.9,49
81,Maluku Utara,0.47,0.32,0.68,4213,9.8,8.2,5.4,34
92,Papua Barat,5.35,3.74,7.6,1795,32.1,51.1,11.2,164
96,Papua Barat Daya,2.57,2.01,3.29,1947,25.9,54.0,6.0,85
91,Papua,21.4,19.24,23.85,3299,69.4,31.2,6.3,1206
93,Papua Selatan,7.73,6.28,9.47,1684,62.9,32.5,11.3,222
94,Papua Tengah,19.3,14.94,24.59,4577,57.5,25.3,11.8,1506
95,Papua Pegunungan,8.82,5.8,13.18,4563,57.8,50.5,3.7,685
0,INDONESIA,0.49,0.45,0.53,877531,36.7,22.9,7.3,7252
