province_code,province,prevalence_faliariasis,prevalence_faliariasis_95%_CI_lower,prevalence_faliariasis_95%_CI_upper,weighted_n
11,Aceh,2.1,1.8,2.4,17271
12,Sumatera Utara,1.4,1.2,1.6,48469
13,Sumatera Barat,1.8,1.6,2.1,18138
14,Riau,1.8,1.6,2.1,20925
15,Jambi,1.5,1.2,1.8,11588
16,Sumatera Selatan,1.7,1.5,2.0,27532
17,Bengkulu,1.6,1.4,1.9,6571
18,Lampung,1.9,1.7,2.3,29331
19,Kep. Bangka Belitung,2.5,2.0,3.2,4763
21,Kepulauan Riau,1.3,1.0,1.8,6782
31,DKI Jakarta,1.2,0.9,1.5,33552
32,Jawa Barat,1.5,1.4,1.7,156977
33,Jawa Tengah,1.5,1.4,1.7,118184
34,DI Yogyakarta,1.4,1.1,1.8,11757
35,Jawa Timur,1.2,1.1,1.3,130683
36,Banten,1.6,1.3,1.9,38751
51,Bali,0.9,0.7,1.2,13859
52,Nusa Tenggara Barat,0.9,0.7,1.2,17522
53,Nusa Tenggara Timur,1.9,1.7,2.2,17550
61,Kalimantan Barat,1.5,1.2,1.8,17713
62,Kalimantan Tengah,2.7,2.3,3.2,8737
63,Kalimantan Selatan,1.9,1.7,2.3,13299
64,Kalimantan Timur,1.9,1.6,2.4,12360
65,Kalimantan Utara,1.1,0.7,1.6,2300
71,Sulawesi Utara,1.3,1.0,1.6,8439
72,Sulawesi Tengah,1.4,1.2,1.6,9721
73,Sulawesi Selatan,1.2,1.1,1.4,29481
74,Sulawesi Tenggara,1.7,1.5,1.9,8664
75,Gorontalo,1.6,1.2,2.2,3821
76,Sulawesi Barat,2.3,1.9,2.8,4667
82,Maluku,1.9,1.6,2.2,6050
81,Maluku Utara,2.1,1.7,2.6,4213
92,Papua Barat,2.3,1.7,3.1,1795
96,Papua Barat Daya,1.7,1.3,2.2,1947
91,Papua,2.7,2.2,3.3,3299
93,Papua Selatan,2.3,1.8,3.0,1684
94,Papua Tengah,4.8,3.1,7.3,4577
95,Papua Pegunungan,2.4,1.7,3.5,4563
0,INDONESIA,1.5,1.5,1.6,877531
