province_code,province,receive_mda_faliariasis,receive_mda_faliariasis_95%_CI_lower,receive_mda_faliariasis_95%_CI_upper,weighted_n
11,Aceh,51.3,48.7,54.0,10840
12,Sumatera Utara,42.7,36.5,49.2,4343
15,Jambi,44.5,34.2,55.3,925
16,Sumatera Selatan,51.3,47.5,55.1,7475
19,Kep. Bangka Belitung,61.5,56.5,66.4,2148
21,Kepulauan Riau,53.9,49.2,58.5,5576
32,Jawa Barat,54.3,50.5,58.1,30901
33,Jawa Tengah,72.4,70.4,74.2,40667
53,Nusa Tenggara Timur,55.1,53.4,56.7,15046
61,Kalimantan Barat,57.8,54.7,60.9,15183
62,Kalimantan Tengah,55.5,51.9,59.1,5050
63,Kalimantan Selatan,61.0,57.3,64.5,3674
64,Kalimantan Timur,29.1,23.8,35.0,2810
65,Kalimantan Utara,65.4,59.4,70.9,1062
72,Sulawesi Tengah,44.4,40.9,47.9,3862
73,Sulawesi Selatan,13.4,8.2,21.1,1396
74,Sulawesi Tenggara,31.0,28.0,34.2,4134
75,Gorontalo,45.8,39.7,52.1,1250
76,Sulawesi Barat,48.4,43.8,53.0,1801
82,Maluku,45.1,42.0,48.4,6279
81,Maluku Utara,21.0,18.4,23.9,2305
92,Papua Barat,60.3,56.0,64.5,2055
96,Papua Barat Daya,54.5,51.3,57.7,2405
91,Papua,33.3,30.3,36.4,3317
93,Papua Selatan,56.4,45.5,66.7,444
94,Papua Tengah,34.2,26.1,43.2,3928
95,Papua Pegunungan,31.6,24.7,39.5,3544
0,INDONESIA,54.9,54.0,55.9,182421
