province_code,province,take_medicine_faliariasis,take_medicine_faliariasis_95%_CI_lower,take_medicine_faliariasis_95%_CI_upper,weighted_n
11,Aceh,60.8,57.8,63.8,5273
12,Sumatera Utara,83.6,78.9,87.5,1758
15,Jambi,79.3,66.7,88.0,390
16,Sumatera Selatan,71.1,67.3,74.7,3635
19,Kep. Bangka Belitung,80.8,77.7,83.6,1253
21,Kepulauan Riau,71.0,66.5,75.0,2849
32,Jawa Barat,65.4,61.5,69.1,15912
33,Jawa Tengah,69.9,67.6,72.2,27892
53,Nusa Tenggara Timur,91.8,90.1,93.2,7850
61,Kalimantan Barat,67.5,63.5,71.3,8322
62,Kalimantan Tengah,68.3,63.3,72.9,2655
63,Kalimantan Selatan,73.8,70.2,77.2,2123
64,Kalimantan Timur,74.9,69.2,79.9,775
65,Kalimantan Utara,72.9,62.6,81.1,658
72,Sulawesi Tengah,76.0,72.2,79.5,1625
73,Sulawesi Selatan,93.6,86.3,97.2,177
74,Sulawesi Tenggara,70.5,65.7,74.8,1215
75,Gorontalo,79.7,74.0,84.4,543
76,Sulawesi Barat,69.9,62.9,76.1,825
82,Maluku,55.8,51.8,59.8,2686
81,Maluku Utara,73.6,69.1,77.7,459
92,Papua Barat,74.2,67.9,79.6,1175
96,Papua Barat Daya,69.3,64.7,73.6,1243
91,Papua,71.1,67.1,74.7,1046
93,Papua Selatan,88.6,83.0,92.6,238
94,Papua Tengah,89.0,83.6,92.7,1272
95,Papua Pegunungan,47.6,33.6,61.9,1062
0,INDONESIA,70.8,69.7,71.9,94912
