province_code,province,currently_pregnant,not_born_yet,not_present,not_given,unaware_distribution,afraid,refused,weighted_n
11,Aceh,0.6,12.4,17.2,2.6,34.3,19.8,10.6,5558
12,Sumatera Utara,0.9,7.7,10.3,11.5,46.9,5.0,1.3,2606
15,Jambi,0.2,9.1,12.2,0.5,61.2,1.2,0.8,542
16,Sumatera Selatan,0.5,12.7,8.2,1.7,63.8,7.2,1.5,3822
19,Kep. Bangka Belitung,0.3,11.6,5.4,1.4,72.2,2.1,1.1,872
21,Kepulauan Riau,0.5,10.5,19.1,0.7,57.9,2.3,3.4,2717
32,Jawa Barat,0.3,11.0,17.3,1.2,48.9,7.3,4.1,14869
33,Jawa Tengah,1.1,13.6,14.5,3.9,48.3,7.2,3.2,11827
53,Nusa Tenggara Timur,0.9,12.2,16.7,3.5,55.1,4.7,1.8,7124
61,Kalimantan Barat,0.4,7.6,8.1,4.4,67.9,2.4,1.6,6726
62,Kalimantan Tengah,0.7,12.3,23.0,3.3,51.6,3.9,2.9,2363
63,Kalimantan Selatan,0.9,12.3,8.7,1.0,64.7,4.5,1.6,1515
64,Kalimantan Timur,0.6,5.7,5.9,24.2,57.5,0.8,1.0,2106
65,Kalimantan Utara,1.0,11.8,14.5,1.5,57.7,4.6,5.1,387
72,Sulawesi Tengah,0.2,8.6,17.7,2.4,60.2,3.2,2.4,2261
73,Sulawesi Selatan,0.2,1.4,1.1,33.8,62.2,0.4,0.9,1277
74,Sulawesi Tenggara,0.4,5.2,7.4,6.3,66.5,3.6,4.4,3011
75,Gorontalo,0.2,9.1,9.1,10.1,68.5,0.6,0.3,715
76,Sulawesi Barat,0.4,8.2,7.1,0.8,75.9,3.0,0.9,975
82,Maluku,0.6,7.8,14.3,7.0,57.8,3.9,1.8,3408
81,Maluku Utara,0.1,6.2,16.1,9.5,56.5,5.9,1.4,1653
92,Papua Barat,0.7,11.6,21.8,1.8,43.4,14.1,4.7,859
96,Papua Barat Daya,0.7,6.2,21.4,2.3,47.9,11.1,4.5,1156
91,Papua,0.2,7.3,15.4,6.9,56.8,4.4,2.7,2330
93,Papua Selatan,0.9,4.2,31.0,0.4,54.7,3.3,2.6,205
94,Papua Tengah,0.1,5.5,19.2,0.8,64.6,4.9,3.7,2717
95,Papua Pegunungan,1.4,6.2,24.6,1.5,47.8,7.5,10.6,2536
0,INDONESIA,0.6,10.0,14.6,4.4,54.4,6.2,3.4,86138
