province_code,province,diagnosis,diagnosis_95%_CI_lower,diagnosis_95%_CI_upper,diagnosis_or_symptoms,diagnosis_or_symptoms_95%_CI_lower,diagnosis_or_symptoms_95%_CI_upper,weighted_n
11,Aceh,1.4,1.1,1.6,16.0,15.0,17.1,17271
12,Sumatera Utara,0.5,0.4,0.6,16.1,15.0,17.1,48469
13,Sumatera Barat,1.8,1.5,2.2,21.8,20.7,22.9,18138
14,Riau,0.8,0.6,1.0,13.6,12.5,14.7,20925
15,Jambi,0.9,0.7,1.1,14.1,12.9,15.5,11588
16,Sumatera Selatan,1.7,1.4,2.0,16.8,15.8,17.9,27532
17,Bengkulu,1.9,1.5,2.3,18.2,16.9,19.6,6571
18,Lampung,1.9,1.6,2.3,16.9,15.8,18.1,29331
19,Kep. Bangka Belitung,0.6,0.4,0.9,12.4,11.3,13.6,4763
21,Kepulauan Riau,1.0,0.8,1.2,11.4,10.1,13.0,6782
31,DKI Jakarta,2.6,2.0,3.2,22.6,21.1,24.2,33552
32,Jawa Barat,2.2,1.9,2.4,31.3,30.4,32.2,156977
33,Jawa Tengah,2.5,2.3,2.7,24.9,24.2,25.6,118184
34,DI Yogyakarta,0.9,0.7,1.2,31.5,29.8,33.3,11757
35,Jawa Timur,3.2,3.0,3.5,22.7,22.0,23.5,130683
36,Banten,3.6,3.1,4.3,27.6,25.9,29.4,38751
51,Bali,2.1,1.7,2.5,18.1,16.6,19.7,13859
52,Nusa Tenggara Barat,1.9,1.4,2.5,26.2,24.6,27.9,17522
53,Nusa Tenggara Timur,3.1,2.8,3.5,36.3,35.0,37.6,17550
61,Kalimantan Barat,1.0,0.8,1.3,18.7,17.3,20.1,17713
62,Kalimantan Tengah,1.3,1.1,1.6,15.4,13.8,17.0,8737
63,Kalimantan Selatan,0.7,0.6,0.9,16.7,15.6,17.9,13299
64,Kalimantan Timur,1.3,1.1,1.7,21.5,19.9,23.1,12360
65,Kalimantan Utara,1.0,0.7,1.5,18.5,16.2,21.0,2300
71,Sulawesi Utara,1.3,1.1,1.6,19.6,18.3,20.9,8439
72,Sulawesi Tengah,0.9,0.7,1.3,23.4,22.1,24.7,9721
73,Sulawesi Selatan,0.4,0.3,0.5,25.1,23.9,26.3,29481
74,Sulawesi Tenggara,0.6,0.5,0.7,19.0,17.9,20.1,8664
75,Gorontalo,0.5,0.3,0.8,15.3,13.7,17.0,3821
76,Sulawesi Barat,0.4,0.3,0.7,19.3,17.8,20.8,4667
82,Maluku,1.0,0.8,1.3,16.3,14.9,17.7,6050
81,Maluku Utara,1.2,0.9,1.7,14.5,13.2,15.9,4213
92,Papua Barat,2.3,1.8,3.0,23.3,20.6,26.2,1795
96,Papua Barat Daya,2.7,2.1,3.6,21.5,19.3,23.9,1947
91,Papua,4.9,4.0,6.1,25.6,23.2,28.2,3299
93,Papua Selatan,3.6,2.9,4.6,27.7,24.5,31.2,1684
94,Papua Tengah,18.8,13.8,25.1,39.4,34.2,44.8,4577
95,Papua Pegunungan,10.7,7.6,14.9,41.7,37.9,45.6,4563
0,INDONESIA,2.2,2.1,2.3,23.5,23.3,23.8,877531
